,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.32525058638686305,-0.05263157894736838,-0.2574141364459007,0.0,-0.2574141364459007
1,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.3205998305459856,-0.21052631578947353,-0.13756103040371936,0.0,-0.13756103040371936
2,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.3267449155705104,-0.25,-0.2533656291787839,0.0,-0.2533656291787839
3,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.3216594275805911,-0.3,-0.45285181443572026,0.0,-0.45285181443572026
4,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.3278033810781376,0.0,-0.13992791522027,0.0,-0.13992791522027
5,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45048760009999317,-0.6896551724137935,-0.6371786038069815,0.0,-0.6371786038069815
6,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.32598935017533553,0.23529411764705885,-0.20951884556865666,0.0,-0.20951884556865666
7,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.32353003930517177,-0.4000000000000002,-0.181409646692785,0.0,-0.181409646692785
8,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.32213952111935346,-0.7647058823529417,-0.46008913639666194,0.0,-0.46008913639666194
9,com.alpha_aps.naked_scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.43550689188505964,-0.8999999999999996,-0.412097825919053,0.0,-0.412097825919053
10,com.alpha_aps.naked_scanner,READ_PHONE_STATE,TARGETED_ADS,-0.32190137663038987,-0.3499999999999998,-0.33595212571735567,0.0,-0.33595212571735567
11,com.androp.cube.dolphin,READ_PHONE_STATE,TARGETED_ADS,-0.3272061322981178,0.0,-0.5851178379387075,0.0,-0.5851178379387075
12,com.animoca.prettyPetSalonSeasons,READ_PHONE_STATE,TARGETED_ADS,-0.31414310069281215,-0.31578947368421056,-0.09618244917540211,0.0,-0.09618244917540211
13,com.appmania.ironwars.hd,READ_PHONE_STATE,TARGETED_ADS,-0.3242237183830152,-0.10000000000000005,-0.4175085200370311,0.0,-0.4175085200370311
14,com.appmox.jgirl,READ_PHONE_STATE,TARGETED_ADS,-0.3143588435486777,-1.2999999999999998,-0.23610548740298304,0.0,-0.23610548740298304
15,com.artofbytes.gravedefence.hd.free,READ_PHONE_STATE,TARGETED_ADS,-0.32075854107589635,-0.5,-0.22796710449073104,0.0,-0.22796710449073104
16,com.berobo.android.scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4617067751706991,-0.26315789473684226,-0.7897628604885593,0.0,-0.7897628604885593
17,com.berobo.android.scanner,READ_PHONE_STATE,TARGETED_ADS,-0.31985578705329776,-0.4499999999999998,-0.4205256953354365,0.0,-0.4205256953354365
18,com.bestcoolfungames.antsmasher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4396388934904633,-0.8000000000000004,-0.7054676109250557,0.0,-0.7054676109250557
19,com.bestcoolfungames.antsmasher,RECORD_AUDIO,TARGETED_ADS,-0.82,-1.3500000000000008,-0.82,1.0,-0.7185680458801026
20,com.bigbluebubble.fatfree,READ_PHONE_STATE,TARGETED_ADS,-0.3221211260511526,-0.1875,-0.33985485467448573,0.0,-0.33985485467448573
21,com.bodyfitness.health.bnht,READ_PHONE_STATE,TARGETED_ADS,-0.3214129056389259,-0.15,-0.3006483506921019,0.0,-0.3006483506921019
22,com.breakapps.breakdotcom,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.44808547675981036,-0.31578947368421056,-0.2580976114606028,0.0,-0.2580976114606028
23,com.codemonkey.titanturret,READ_PHONE_STATE,TARGETED_ADS,-0.3257183137391142,-0.10000000000000005,-0.0942708602888999,0.0,-0.0942708602888999
24,com.codingcaveman.SoloTrial,READ_PHONE_STATE,TARGETED_ADS,-0.3233902362956875,-0.11764705882352942,-0.3059712789807252,0.0,-0.3059712789807252
25,com.com2us.imo.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32434419688244714,-0.1875,-0.12524355496344428,0.0,-0.12524355496344428
26,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3230675540255625,-0.05263157894736838,-0.3025426639612858,0.0,-0.3025426639612858
27,com.com2us.minigameparadise.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32829091935972415,-0.16666666666666666,-0.1146388575351094,0.0,-0.1146388575351094
28,com.com2us.ovenbreak.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3215355345805255,-0.26315789473684226,-0.18498776840678177,0.0,-0.18498776840678177
29,com.cracked.android.lite,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.46591627432684185,-0.23529411764705885,-0.30193681268195355,0.0,-0.30193681268195355
30,com.creativemobile.DragRacing,READ_PHONE_STATE,TARGETED_ADS,-0.31837169726108683,-0.8500000000000003,-0.6080370672645671,0.0,-0.6080370672645671
31,com.darksummoner,READ_PHONE_STATE,TARGETED_ADS,-0.31787157686802653,-0.47368421052631554,-0.12800841386007558,0.0,-0.12800841386007558
32,com.dedalord.runningfred,READ_PHONE_STATE,TARGETED_ADS,-0.32094928857801747,-0.31578947368421056,-0.30545537683821244,0.0,-0.30545537683821244
33,com.dogsbestlivewallpaper.dogs,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4600458900984251,-0.5500000000000003,-0.6534742124538079,0.0,-0.6534742124538079
34,com.dogsbestlivewallpaper.dogs,READ_PHONE_STATE,TARGETED_ADS,-0.3226777626175706,-0.4000000000000002,-0.1771446281720368,0.0,-0.1771446281720368
35,com.dragonplay.liveholdempro,READ_PHONE_STATE,TARGETED_ADS,-0.3199045222506881,-0.6,-0.7848584784240239,0.0,-0.7848584784240239
36,com.dreamcortex.talkingPet_android,READ_PHONE_STATE,TARGETED_ADS,-0.32084757491057553,-0.5500000000000003,-0.5232078361439156,0.0,-0.5232078361439156
37,com.dreamfabpapaya.savingyello,READ_PHONE_STATE,TARGETED_ADS,-0.32696149067783387,-0.050000000000000024,-0.08534550798056899,0.0,-0.08534550798056899
38,com.droidhen.game.speedhiker,READ_PHONE_STATE,TARGETED_ADS,-0.3186065368824695,-0.5789473684210529,-0.03522209580766567,0.0,-0.03522209580766567
39,com.duckygo.shoottheducks,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4483529105064161,-0.5789473684210529,-0.54400327865193,0.0,-0.54400327865193
40,com.emrosswar,READ_PHONE_STATE,TARGETED_ADS,-0.3310730955523853,0.050000000000000024,-0.1454504287628912,0.0,-0.1454504287628912
41,com.er.popularfunny,READ_PHONE_STATE,TARGETED_ADS,-0.32274353212069123,-0.15,-0.32553031356230994,0.0,-0.32553031356230994
42,com.er.scary,READ_PHONE_STATE,TARGETED_ADS,-0.3238796077459357,-0.26315789473684226,-0.3194006784188161,0.0,-0.3194006784188161
43,com.expedition107.bells.light,READ_PHONE_STATE,TARGETED_ADS,-0.31964036389334627,-0.5,-0.3721887232641306,0.0,-0.3721887232641306
44,com.favoritemedium,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4709272325184822,-0.10000000000000005,-0.3720642597643467,0.0,-0.3720642597643467
45,com.favoritemedium,READ_PHONE_STATE,TARGETED_ADS,-0.32673973386097893,0.10000000000000005,-0.13372780820188834,0.0,-0.13372780820188834
46,com.feelingtouch.FlyMan,READ_PHONE_STATE,TARGETED_ADS,-0.32716833634088366,-0.050000000000000024,0.03844499803031423,0.0,0.03844499803031423
47,com.feelingtouch.bugswar,READ_PHONE_STATE,TARGETED_ADS,-0.3290994368868228,0.6999999999999996,-0.24460675929469203,0.0,-0.24460675929469203
48,com.feelingtouch.dragon.ice,READ_PHONE_STATE,TARGETED_ADS,-0.32465938368381747,-0.050000000000000024,-0.07987189832997159,0.0,-0.07987189832997159
49,com.fingersoft.nightvisioncamera,READ_PHONE_STATE,TARGETED_ADS,-0.31831867881652864,-0.5263157894736845,-0.2901222239272443,0.0,-0.2901222239272443
50,com.fivemobile.cineplex,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4783903941660193,0.3,-0.33353770099013225,0.0,-0.33353770099013225
51,com.forrestheller.trippingfest.free,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.43630307402205604,-0.9444444444444439,-0.5741287998390945,0.0,-0.5741287998390945
52,com.forrestheller.trippingfest.free,READ_PHONE_STATE,TARGETED_ADS,-0.32922790443184186,-0.2222222222222223,-0.48834486684134204,0.0,-0.48834486684134204
53,com.forshared,READ_PHONE_STATE,TARGETED_ADS,-0.3179905891666433,-0.9411764705882354,-0.7758630821947228,0.0,-0.7758630821947228
54,com.fractiv.lanesplitter,READ_PHONE_STATE,TARGETED_ADS,-0.32317171583867005,0.0,-0.328172748422767,0.0,-0.328172748422767
55,com.fridgecat.android.atiltlite,READ_PHONE_STATE,TARGETED_ADS,-0.3225504074555098,-0.4000000000000002,-0.19144112670173252,0.0,-0.19144112670173252
56,com.funny.meme,READ_PHONE_STATE,TARGETED_ADS,-0.3260502794013445,-0.4000000000000002,-0.6636586797954614,0.0,-0.6636586797954614
57,com.gamecircus.PrizeClaw,READ_PHONE_STATE,TARGETED_ADS,-0.3229549716936557,-0.3,-0.16805873544319982,0.0,-0.16805873544319982
58,com.gameforge.xmobile.war,READ_PHONE_STATE,TARGETED_ADS,-0.3276507415613841,0.15,-0.09406704755126492,0.0,-0.09406704755126492
59,com.gameinsight.crimestory,READ_PHONE_STATE,TARGETED_ADS,-0.32834213520342603,-0.050000000000000024,-0.27635265605528575,0.0,-0.27635265605528575
60,com.gameinsight.funnylovetest,READ_PHONE_STATE,TARGETED_ADS,-0.3274932442368483,0.0,-0.31022819593267215,0.0,-0.31022819593267215
61,com.gameinsight.kingdom,READ_PHONE_STATE,TARGETED_ADS,-0.3168300498554278,-0.7894736842105264,0.010489398655255335,0.0,0.010489398655255335
62,com.gameinsight.myclinic,READ_PHONE_STATE,TARGETED_ADS,-0.32190894793610386,0.0625,-0.24740312594569047,0.0,-0.24740312594569047
63,com.gamelion.ck,READ_PHONE_STATE,TARGETED_ADS,-0.3191243168900584,-0.5500000000000003,-0.23135825021447823,0.0,-0.23135825021447823
64,com.gameloft.android.ANMP.GloftDMHM,READ_PHONE_STATE,TARGETED_ADS,-0.3190662537276128,-0.8000000000000004,-0.6342046534836674,0.0,-0.6342046534836674
65,com.gameloft.android.ANMP.GloftIAHM,READ_PHONE_STATE,TARGETED_ADS,-0.3228677197024636,-0.6999999999999996,-0.7710532468025577,0.0,-0.7710532468025577
66,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,TARGETED_ADS,-0.3245144824154986,-0.15,-0.5657618415048806,0.0,-0.5657618415048806
67,com.gamevil.cartoonwars.two.global,READ_PHONE_STATE,TARGETED_ADS,-0.32358213992399415,-0.3333333333333333,-0.20189372113261744,0.0,-0.20189372113261744
