,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.32294939699605135,-0.05263157894736838,-0.3336672563312793,0.0,-0.3336672563312793
1,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.3232529248301734,-0.21052631578947353,-0.19097188533902423,0.0,-0.19097188533902423
2,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.32359467054021585,-0.25,-0.2509960412470374,0.0,-0.2509960412470374
3,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.32607028070908906,-0.3,-0.42185465344258033,0.0,-0.42185465344258033
4,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.3196503745897226,0.0,-0.1914533545839517,0.0,-0.1914533545839517
5,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.44359436875871855,-0.6896551724137935,-0.5987895364381526,0.0,-0.5987895364381526
6,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.32681815913808715,0.23529411764705885,-0.18926801222472622,0.0,-0.18926801222472622
7,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.3234392059262577,-0.4000000000000002,-0.10602242275351699,0.0,-0.10602242275351699
8,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.3192784898119747,-0.7647058823529417,-0.3727053879941645,0.0,-0.3727053879941645
9,com.alpha_aps.naked_scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4430959827728854,-0.8999999999999996,-0.4347880963986565,0.0,-0.4347880963986565
10,com.alpha_aps.naked_scanner,READ_PHONE_STATE,TARGETED_ADS,-0.3204517796524472,-0.3499999999999998,-0.301968371958903,0.0,-0.301968371958903
11,com.androp.cube.dolphin,READ_PHONE_STATE,TARGETED_ADS,-0.3233190894306427,0.0,-0.5281690288943973,0.0,-0.5281690288943973
12,com.animoca.prettyPetSalonSeasons,READ_PHONE_STATE,TARGETED_ADS,-0.3228631182106012,-0.31578947368421056,-0.11279110335397856,0.0,-0.11279110335397856
13,com.appmania.ironwars.hd,READ_PHONE_STATE,TARGETED_ADS,-0.32412773964182195,-0.10000000000000005,-0.2800697659005918,0.0,-0.2800697659005918
14,com.appmox.jgirl,READ_PHONE_STATE,TARGETED_ADS,-0.3167142673790068,-1.2999999999999998,-0.3352991244774327,0.0,-0.3352991244774327
15,com.artofbytes.gravedefence.hd.free,READ_PHONE_STATE,TARGETED_ADS,-0.31924038826252027,-0.5,-0.15623205948594598,0.0,-0.15623205948594598
16,com.berobo.android.scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4656981966235569,-0.26315789473684226,-0.8382535974998183,0.0,-0.8382535974998183
17,com.berobo.android.scanner,READ_PHONE_STATE,TARGETED_ADS,-0.3227697646718263,-0.4499999999999998,-0.3335527839318251,0.0,-0.3335527839318251
18,com.bestcoolfungames.antsmasher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4413641202565765,-0.8000000000000004,-0.69647391073083,0.0,-0.69647391073083
19,com.bestcoolfungames.antsmasher,RECORD_AUDIO,TARGETED_ADS,-0.8063659024022302,-1.3500000000000008,-0.8063659024022302,1.0,-0.6751056313597361
20,com.bigbluebubble.fatfree,READ_PHONE_STATE,TARGETED_ADS,-0.3261749572235743,-0.1875,-0.19378890151071648,0.0,-0.19378890151071648
21,com.bodyfitness.health.bnht,READ_PHONE_STATE,TARGETED_ADS,-0.32416818602694725,-0.15,-0.2968279618383864,0.0,-0.2968279618383864
22,com.breakapps.breakdotcom,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.46300036290051005,-0.31578947368421056,-0.32130532637765713,0.0,-0.32130532637765713
23,com.codemonkey.titanturret,READ_PHONE_STATE,TARGETED_ADS,-0.32279069384781034,-0.10000000000000005,-0.16456286996046218,0.0,-0.16456286996046218
24,com.codingcaveman.SoloTrial,READ_PHONE_STATE,TARGETED_ADS,-0.3223144674757877,-0.11764705882352942,-0.3307017077849642,0.0,-0.3307017077849642
25,com.com2us.imo.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3229116339479661,-0.1875,-0.18538546180546495,0.0,-0.18538546180546495
26,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.31987635770489525,-0.05263157894736838,-0.20979389468928725,0.0,-0.20979389468928725
27,com.com2us.minigameparadise.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3223939398007664,-0.16666666666666666,-0.14659925811441193,0.0,-0.14659925811441193
28,com.com2us.ovenbreak.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32373794223662067,-0.26315789473684226,-0.19517036880946692,0.0,-0.19517036880946692
29,com.cracked.android.lite,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45690428294550606,-0.23529411764705885,-0.30703518894148474,0.0,-0.30703518894148474
30,com.creativemobile.DragRacing,READ_PHONE_STATE,TARGETED_ADS,-0.31708417269783407,-0.8500000000000003,-0.673711005447839,0.0,-0.673711005447839
31,com.darksummoner,READ_PHONE_STATE,TARGETED_ADS,-0.31971612386160064,-0.47368421052631554,-0.18088820210928974,0.0,-0.18088820210928974
32,com.dedalord.runningfred,READ_PHONE_STATE,TARGETED_ADS,-0.32222309400789323,-0.31578947368421056,-0.2910196485976397,0.0,-0.2910196485976397
33,com.dogsbestlivewallpaper.dogs,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4500184245424228,-0.5500000000000003,-0.622532342923614,0.0,-0.622532342923614
34,com.dogsbestlivewallpaper.dogs,READ_PHONE_STATE,TARGETED_ADS,-0.3231778549335826,-0.4000000000000002,-0.28626584075789513,0.0,-0.28626584075789513
35,com.dragonplay.liveholdempro,READ_PHONE_STATE,TARGETED_ADS,-0.3209840222947582,-0.6,-0.7008552568258986,0.0,-0.7008552568258986
36,com.dreamcortex.talkingPet_android,READ_PHONE_STATE,TARGETED_ADS,-0.324868683655051,-0.5500000000000003,-0.3996542054237939,0.0,-0.3996542054237939
37,com.dreamfabpapaya.savingyello,READ_PHONE_STATE,TARGETED_ADS,-0.32248648692869586,-0.050000000000000024,-0.19922766759037144,0.0,-0.19922766759037144
38,com.droidhen.game.speedhiker,READ_PHONE_STATE,TARGETED_ADS,-0.31842183375655025,-0.5789473684210529,-0.12158557298542873,0.0,-0.12158557298542873
39,com.duckygo.shoottheducks,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4326527885369023,-0.5789473684210529,-0.4589035296851767,0.0,-0.4589035296851767
40,com.emrosswar,READ_PHONE_STATE,TARGETED_ADS,-0.32490558983021806,0.050000000000000024,-0.19924889499214424,0.0,-0.19924889499214424
41,com.er.popularfunny,READ_PHONE_STATE,TARGETED_ADS,-0.32710076684210826,-0.15,-0.3300429826241319,0.0,-0.3300429826241319
42,com.er.scary,READ_PHONE_STATE,TARGETED_ADS,-0.3255558805127373,-0.26315789473684226,-0.3197601059662343,0.0,-0.3197601059662343
43,com.expedition107.bells.light,READ_PHONE_STATE,TARGETED_ADS,-0.316509172287487,-0.5,-0.38395594774030734,0.0,-0.38395594774030734
44,com.favoritemedium,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.46061628845049485,-0.10000000000000005,-0.41208593413602057,0.0,-0.41208593413602057
45,com.favoritemedium,READ_PHONE_STATE,TARGETED_ADS,-0.33178439174611385,0.10000000000000005,-0.21854671004227494,0.0,-0.21854671004227494
46,com.feelingtouch.FlyMan,READ_PHONE_STATE,TARGETED_ADS,-0.32297442956173955,-0.050000000000000024,-0.14658653954516845,0.0,-0.14658653954516845
47,com.feelingtouch.bugswar,READ_PHONE_STATE,TARGETED_ADS,-0.3290116065806009,0.6999999999999996,-0.21947824272121216,0.0,-0.21947824272121216
48,com.feelingtouch.dragon.ice,READ_PHONE_STATE,TARGETED_ADS,-0.3239269959777747,-0.050000000000000024,-0.1249646456155664,0.0,-0.1249646456155664
49,com.fingersoft.nightvisioncamera,READ_PHONE_STATE,TARGETED_ADS,-0.3193298189589006,-0.5263157894736845,-0.32584608256346576,0.0,-0.32584608256346576
50,com.fivemobile.cineplex,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.48124863077651664,0.3,-0.3306825262685383,0.0,-0.3306825262685383
51,com.forrestheller.trippingfest.free,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4333448464463395,-0.9444444444444439,-0.5343790123406005,0.0,-0.5343790123406005
52,com.forrestheller.trippingfest.free,READ_PHONE_STATE,TARGETED_ADS,-0.3220152996667806,-0.2222222222222223,-0.4472475820124579,0.0,-0.4472475820124579
53,com.forshared,READ_PHONE_STATE,TARGETED_ADS,-0.32349299529274306,-0.9411764705882354,-0.640223041148681,0.0,-0.640223041148681
54,com.fractiv.lanesplitter,READ_PHONE_STATE,TARGETED_ADS,-0.3255030692047586,0.0,-0.28259110541816607,0.0,-0.28259110541816607
55,com.fridgecat.android.atiltlite,READ_PHONE_STATE,TARGETED_ADS,-0.3206485759639048,-0.4000000000000002,-0.21174028022142535,0.0,-0.21174028022142535
56,com.funny.meme,READ_PHONE_STATE,TARGETED_ADS,-0.3179565444359332,-0.4000000000000002,-0.4636904745349174,0.0,-0.4636904745349174
57,com.gamecircus.PrizeClaw,READ_PHONE_STATE,TARGETED_ADS,-0.3249899947095364,-0.3,-0.2151713682638328,0.0,-0.2151713682638328
58,com.gameforge.xmobile.war,READ_PHONE_STATE,TARGETED_ADS,-0.32775671677286766,0.15,-0.19959674555690324,0.0,-0.19959674555690324
59,com.gameinsight.crimestory,READ_PHONE_STATE,TARGETED_ADS,-0.3272652980553386,-0.050000000000000024,-0.1756401907499047,0.0,-0.1756401907499047
60,com.gameinsight.funnylovetest,READ_PHONE_STATE,TARGETED_ADS,-0.3259824464243316,0.0,-0.3503086568375768,0.0,-0.3503086568375768
61,com.gameinsight.kingdom,READ_PHONE_STATE,TARGETED_ADS,-0.32021359066841965,-0.7894736842105264,-0.12273480671051097,0.0,-0.12273480671051097
62,com.gameinsight.myclinic,READ_PHONE_STATE,TARGETED_ADS,-0.3260668092230468,0.0625,-0.2803304086732436,0.0,-0.2803304086732436
63,com.gamelion.ck,READ_PHONE_STATE,TARGETED_ADS,-0.32514212623581007,-0.5500000000000003,-0.1976516524651828,0.0,-0.1976516524651828
64,com.gameloft.android.ANMP.GloftDMHM,READ_PHONE_STATE,TARGETED_ADS,-0.3182961099943364,-0.8000000000000004,-0.6289545632664614,0.0,-0.6289545632664614
65,com.gameloft.android.ANMP.GloftIAHM,READ_PHONE_STATE,TARGETED_ADS,-0.3238299022913382,-0.6999999999999996,-0.6794602673109351,0.0,-0.6794602673109351
