,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.3257870418850329,-0.05263157894736838,-0.3165597412948814,0.0,-0.3165597412948814
1,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.3295206001553871,-0.21052631578947353,-0.20129920640929563,0.0,-0.20129920640929563
2,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.3218585261241688,-0.25,-0.2513493332225241,0.0,-0.2513493332225241
3,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.32082858942484044,-0.3,-0.4154852498023461,0.0,-0.4154852498023461
4,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.32533860669478093,0.0,-0.1964774249334695,0.0,-0.1964774249334695
5,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4499112927742025,-0.6896551724137935,-0.6142957423129798,0.0,-0.6142957423129798
6,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.3276416391775453,0.23529411764705885,-0.19540362278195295,0.0,-0.19540362278195295
7,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.31926021495817364,-0.4000000000000002,-0.1124111458596442,0.0,-0.1124111458596442
8,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.32224372715889854,-0.7647058823529417,-0.37379024950246603,0.0,-0.37379024950246603
9,com.alpha_aps.naked_scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4356820518901597,-0.8999999999999996,-0.42228986511853367,0.0,-0.42228986511853367
10,com.alpha_aps.naked_scanner,READ_PHONE_STATE,TARGETED_ADS,-0.32361840411484716,-0.3499999999999998,-0.33379491470126005,0.0,-0.33379491470126005
11,com.androp.cube.dolphin,READ_PHONE_STATE,TARGETED_ADS,-0.32425707192463876,0.0,-0.5203384491915333,0.0,-0.5203384491915333
12,com.animoca.prettyPetSalonSeasons,READ_PHONE_STATE,TARGETED_ADS,-0.32482049032847804,-0.31578947368421056,-0.11321873110606616,0.0,-0.11321873110606616
13,com.appmania.ironwars.hd,READ_PHONE_STATE,TARGETED_ADS,-0.32782986222972654,-0.10000000000000005,-0.2956900614473403,0.0,-0.2956900614473403
14,com.appmox.jgirl,READ_PHONE_STATE,TARGETED_ADS,-0.31835274572244837,-1.2999999999999998,-0.3544336328894357,0.0,-0.3544336328894357
15,com.artofbytes.gravedefence.hd.free,READ_PHONE_STATE,TARGETED_ADS,-0.3227411059579046,-0.5,-0.1525776243529158,0.0,-0.1525776243529158
16,com.berobo.android.scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.46183000970563887,-0.26315789473684226,-0.8271995318385136,0.0,-0.8271995318385136
17,com.berobo.android.scanner,READ_PHONE_STATE,TARGETED_ADS,-0.3265056930367041,-0.4499999999999998,-0.33150930083487806,0.0,-0.33150930083487806
18,com.bestcoolfungames.antsmasher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4459103009099966,-0.8000000000000004,-0.7162451250159811,0.0,-0.7162451250159811
