,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.3249571380588668,-0.05263157894736838,-0.27530883196332684,0.0,-0.27530883196332684
1,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.31715610272559797,-0.21052631578947353,-0.23724120276224583,0.0,-0.23724120276224583
2,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.32277781589415094,-0.25,-0.24839541813610422,0.0,-0.24839541813610422
3,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.3181512680241584,-0.3,-0.3293987577544087,0.0,-0.3293987577544087
4,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.3281879082223831,0.0,-0.22826445336086756,0.0,-0.22826445336086756
5,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.44589456289713364,-0.6896551724137935,-0.5685183831265834,0.0,-0.5685183831265834
6,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.3271125170947323,0.23529411764705885,-0.223447420377964,0.0,-0.223447420377964
7,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.32324663875992443,-0.4000000000000002,-0.2562983792041483,0.0,-0.2562983792041483
8,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.3209206799653502,-0.7647058823529417,-0.3521260264695281,0.0,-0.3521260264695281
9,com.alpha_aps.naked_scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.43560819793353284,-0.8999999999999996,-0.46188938506453897,0.0,-0.46188938506453897
10,com.alpha_aps.naked_scanner,READ_PHONE_STATE,TARGETED_ADS,-0.3255251973822847,-0.3499999999999998,-0.3838384242174241,0.0,-0.3838384242174241
11,com.androp.cube.dolphin,READ_PHONE_STATE,TARGETED_ADS,-0.3222306150311489,0.0,-0.39782058204425025,0.0,-0.39782058204425025
12,com.animoca.prettyPetSalonSeasons,READ_PHONE_STATE,TARGETED_ADS,-0.32937502840289706,-0.31578947368421056,-0.2404644740761097,0.0,-0.2404644740761097
13,com.appmania.ironwars.hd,READ_PHONE_STATE,TARGETED_ADS,-0.32667769811093367,-0.10000000000000005,-0.2691863242434193,0.0,-0.2691863242434193
14,com.appmox.jgirl,READ_PHONE_STATE,TARGETED_ADS,-0.3133199576001857,-1.2999999999999998,-0.3354478190860163,0.0,-0.3354478190860163
15,com.artofbytes.gravedefence.hd.free,READ_PHONE_STATE,TARGETED_ADS,-0.318708137054357,-0.5,-0.22586661454918958,0.0,-0.22586661454918958
16,com.berobo.android.scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4611633478464545,-0.26315789473684226,-0.4511336938071949,0.0,-0.4511336938071949
17,com.berobo.android.scanner,READ_PHONE_STATE,TARGETED_ADS,-0.31804366721929617,-0.4499999999999998,-0.3476810015884283,0.0,-0.3476810015884283
18,com.bestcoolfungames.antsmasher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4464386129212389,-0.8000000000000004,-0.5605779643249703,0.0,-0.5605779643249703
19,com.bestcoolfungames.antsmasher,RECORD_AUDIO,TARGETED_ADS,-0.808888888888889,-1.3500000000000008,-0.808888888888889,1.0,-0.5899393347100123
20,com.bigbluebubble.fatfree,READ_PHONE_STATE,TARGETED_ADS,-0.3238840951382309,-0.1875,-0.2693768220602609,0.0,-0.2693768220602609
21,com.bodyfitness.health.bnht,READ_PHONE_STATE,TARGETED_ADS,-0.32701482500666873,-0.15,-0.3371361201046908,0.0,-0.3371361201046908
22,com.breakapps.breakdotcom,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45345301319328185,-0.31578947368421056,-0.3108549253895061,0.0,-0.3108549253895061
23,com.codemonkey.titanturret,READ_PHONE_STATE,TARGETED_ADS,-0.3274738586261543,-0.10000000000000005,-0.21964008127837467,0.0,-0.21964008127837467
24,com.codingcaveman.SoloTrial,READ_PHONE_STATE,TARGETED_ADS,-0.3269129368733704,-0.11764705882352942,-0.31066667406945825,0.0,-0.31066667406945825
25,com.com2us.imo.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3289378494465541,-0.1875,-0.22660578318601804,0.0,-0.22660578318601804
26,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32445844747645286,-0.05263157894736838,-0.2913864409686103,0.0,-0.2913864409686103
27,com.com2us.minigameparadise.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3221827844936092,-0.16666666666666666,-0.19130736666427747,0.0,-0.19130736666427747
28,com.com2us.ovenbreak.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32580097945002434,-0.26315789473684226,-0.21343497994848892,0.0,-0.21343497994848892
29,com.cracked.android.lite,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4527171996409696,-0.23529411764705885,-0.3059171487210915,0.0,-0.3059171487210915
30,com.creativemobile.DragRacing,READ_PHONE_STATE,TARGETED_ADS,-0.3185579455131919,-0.8500000000000003,-0.5714589193609598,0.0,-0.5714589193609598
31,com.darksummoner,READ_PHONE_STATE,TARGETED_ADS,-0.3251273192503335,-0.47368421052631554,-0.2229786939409862,0.0,-0.2229786939409862
32,com.dedalord.runningfred,READ_PHONE_STATE,TARGETED_ADS,-0.32891830094956087,-0.31578947368421056,-0.22506791854309535,0.0,-0.22506791854309535
33,com.dogsbestlivewallpaper.dogs,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45817766668922894,-0.5500000000000003,-0.4905612045005675,0.0,-0.4905612045005675
