,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.3272702213078845,-0.05263157894736838,-0.30354789175930735,0.0,-0.30354789175930735
1,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.3217718737156069,-0.21052631578947353,-0.22505695938159223,0.0,-0.22505695938159223
2,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.31906735290812743,-0.25,-0.28063568965201313,0.0,-0.28063568965201313
3,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.3265428112743321,-0.3,-0.37377805057477914,0.0,-0.37377805057477914
4,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.32296780435272937,0.0,-0.18802965765053473,0.0,-0.18802965765053473
5,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.43949440809876,-0.6896551724137935,-0.6990189249205514,0.0,-0.6990189249205514
6,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.32759995259086133,0.23529411764705885,-0.18319183865599553,0.0,-0.18319183865599553
7,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.32265337426468493,-0.4000000000000002,-0.242231057173309,0.0,-0.242231057173309
8,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.3208605967781811,-0.7647058823529417,-0.32798273828283425,0.0,-0.32798273828283425
9,com.alpha_aps.naked_scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4316817785552031,-0.8999999999999996,-0.4380075009264749,0.0,-0.4380075009264749
10,com.alpha_aps.naked_scanner,READ_PHONE_STATE,TARGETED_ADS,-0.32304341087953375,-0.3499999999999998,-0.4353123215430398,0.0,-0.4353123215430398
11,com.androp.cube.dolphin,READ_PHONE_STATE,TARGETED_ADS,-0.32760537618677,0.0,-0.5082062783742404,0.0,-0.5082062783742404
12,com.animoca.prettyPetSalonSeasons,READ_PHONE_STATE,TARGETED_ADS,-0.3224786102135547,-0.31578947368421056,-0.1860119417058423,0.0,-0.1860119417058423
13,com.appmania.ironwars.hd,READ_PHONE_STATE,TARGETED_ADS,-0.3237652118837241,-0.10000000000000005,-0.3664271026822261,0.0,-0.3664271026822261
14,com.appmox.jgirl,READ_PHONE_STATE,TARGETED_ADS,-0.316725219308196,-1.2999999999999998,-0.31742790706252,0.0,-0.31742790706252
15,com.artofbytes.gravedefence.hd.free,READ_PHONE_STATE,TARGETED_ADS,-0.3251157726278367,-0.5,-0.21975502853904713,0.0,-0.21975502853904713
16,com.berobo.android.scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45542965994047413,-0.26315789473684226,-0.6608360976527313,0.0,-0.6608360976527313
17,com.berobo.android.scanner,READ_PHONE_STATE,TARGETED_ADS,-0.3236437866613228,-0.4499999999999998,-0.426777468989419,0.0,-0.426777468989419
18,com.bestcoolfungames.antsmasher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.43698747429998464,-0.8000000000000004,-0.6677894781063258,0.0,-0.6677894781063258
19,com.bestcoolfungames.antsmasher,RECORD_AUDIO,TARGETED_ADS,-0.81,-1.3500000000000008,-0.81,1.0,-0.7551495743011328
20,com.bigbluebubble.fatfree,READ_PHONE_STATE,TARGETED_ADS,-0.3187047334211815,-0.1875,-0.2886314234216938,0.0,-0.2886314234216938
21,com.bodyfitness.health.bnht,READ_PHONE_STATE,TARGETED_ADS,-0.32603762704002803,-0.15,-0.29981122971684904,0.0,-0.29981122971684904
22,com.breakapps.breakdotcom,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4599084020997457,-0.31578947368421056,-0.26118821967944744,0.0,-0.26118821967944744
23,com.codemonkey.titanturret,READ_PHONE_STATE,TARGETED_ADS,-0.31947000796898606,-0.10000000000000005,-0.18537476864766247,0.0,-0.18537476864766247
24,com.codingcaveman.SoloTrial,READ_PHONE_STATE,TARGETED_ADS,-0.3248049302887202,-0.11764705882352942,-0.307572027724394,0.0,-0.307572027724394
25,com.com2us.imo.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32270129149869425,-0.1875,-0.1595987276775195,0.0,-0.1595987276775195
26,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3244174244500485,-0.05263157894736838,-0.328935524889971,0.0,-0.328935524889971
27,com.com2us.minigameparadise.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3248492769452436,-0.16666666666666666,-0.15488588592922717,0.0,-0.15488588592922717
28,com.com2us.ovenbreak.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32235445686499037,-0.26315789473684226,-0.17406232477359745,0.0,-0.17406232477359745
29,com.cracked.android.lite,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4633057793565258,-0.23529411764705885,-0.2704106339138427,0.0,-0.2704106339138427
30,com.creativemobile.DragRacing,READ_PHONE_STATE,TARGETED_ADS,-0.3177917466528744,-0.8500000000000003,-0.6746847686078319,0.0,-0.6746847686078319
31,com.darksummoner,READ_PHONE_STATE,TARGETED_ADS,-0.3246926440056353,-0.47368421052631554,-0.17442959883936546,0.0,-0.17442959883936546
32,com.dedalord.runningfred,READ_PHONE_STATE,TARGETED_ADS,-0.3210190597169747,-0.31578947368421056,-0.2156195673019362,0.0,-0.2156195673019362
33,com.dogsbestlivewallpaper.dogs,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4415960993511772,-0.5500000000000003,-0.5475164703753024,0.0,-0.5475164703753024
34,com.dogsbestlivewallpaper.dogs,READ_PHONE_STATE,TARGETED_ADS,-0.32176801452978093,-0.4000000000000002,-0.2800891570421611,0.0,-0.2800891570421611
35,com.dragonplay.liveholdempro,READ_PHONE_STATE,TARGETED_ADS,-0.31731770666812625,-0.6,-0.6823390901042211,0.0,-0.6823390901042211
36,com.dreamcortex.talkingPet_android,READ_PHONE_STATE,TARGETED_ADS,-0.3212498415547825,-0.5500000000000003,-0.2768488751462834,0.0,-0.2768488751462834
37,com.dreamfabpapaya.savingyello,READ_PHONE_STATE,TARGETED_ADS,-0.3244926567640342,-0.050000000000000024,-0.17159340422912364,0.0,-0.17159340422912364
38,com.droidhen.game.speedhiker,READ_PHONE_STATE,TARGETED_ADS,-0.3223074081804164,-0.5789473684210529,-0.078512898284756,0.0,-0.078512898284756
39,com.duckygo.shoottheducks,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4472343374783287,-0.5789473684210529,-0.4743644810769498,0.0,-0.4743644810769498
40,com.emrosswar,READ_PHONE_STATE,TARGETED_ADS,-0.3255668903317643,0.050000000000000024,-0.14630829418980912,0.0,-0.14630829418980912
41,com.er.popularfunny,READ_PHONE_STATE,TARGETED_ADS,-0.32321972044627906,-0.15,-0.2860568735792933,0.0,-0.2860568735792933
42,com.er.scary,READ_PHONE_STATE,TARGETED_ADS,-0.32339212206907686,-0.26315789473684226,-0.25145917848390853,0.0,-0.25145917848390853
43,com.expedition107.bells.light,READ_PHONE_STATE,TARGETED_ADS,-0.3243862059276081,-0.5,-0.38676382031752876,0.0,-0.38676382031752876
44,com.favoritemedium,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.46996886727179343,-0.10000000000000005,-0.3808920776098733,0.0,-0.3808920776098733
45,com.favoritemedium,READ_PHONE_STATE,TARGETED_ADS,-0.32537058053019163,0.10000000000000005,-0.23897186253495814,0.0,-0.23897186253495814
46,com.feelingtouch.FlyMan,READ_PHONE_STATE,TARGETED_ADS,-0.32293965773816286,-0.050000000000000024,-0.022262674883254074,0.0,-0.022262674883254074
47,com.feelingtouch.bugswar,READ_PHONE_STATE,TARGETED_ADS,-0.32990493933727383,0.6999999999999996,-0.15169467814562126,0.0,-0.15169467814562126
48,com.feelingtouch.dragon.ice,READ_PHONE_STATE,TARGETED_ADS,-0.325907446992167,-0.050000000000000024,-0.10446316034982205,0.0,-0.10446316034982205
49,com.fingersoft.nightvisioncamera,READ_PHONE_STATE,TARGETED_ADS,-0.3184936946042095,-0.5263157894736845,-0.32227816886087646,0.0,-0.32227816886087646
50,com.fivemobile.cineplex,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4752118188503979,0.3,-0.3264001839143333,0.0,-0.3264001839143333
51,com.forrestheller.trippingfest.free,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.43941956258490317,-0.9444444444444439,-0.5661163513957189,0.0,-0.5661163513957189
52,com.forrestheller.trippingfest.free,READ_PHONE_STATE,TARGETED_ADS,-0.3229884148691576,-0.2222222222222223,-0.43000058178415296,0.0,-0.43000058178415296
53,com.forshared,READ_PHONE_STATE,TARGETED_ADS,-0.3240276446041291,-0.9411764705882354,-0.642354365433564,0.0,-0.642354365433564
54,com.fractiv.lanesplitter,READ_PHONE_STATE,TARGETED_ADS,-0.3232684018770122,0.0,-0.29312038630653325,0.0,-0.29312038630653325
55,com.fridgecat.android.atiltlite,READ_PHONE_STATE,TARGETED_ADS,-0.32174940466198837,-0.4000000000000002,-0.20988896215032612,0.0,-0.20988896215032612
56,com.funny.meme,READ_PHONE_STATE,TARGETED_ADS,-0.3229874207629904,-0.4000000000000002,-0.6759950474455745,0.0,-0.6759950474455745
57,com.gamecircus.PrizeClaw,READ_PHONE_STATE,TARGETED_ADS,-0.3226876528468154,-0.3,-0.23323523566088422,0.0,-0.23323523566088422
58,com.gameforge.xmobile.war,READ_PHONE_STATE,TARGETED_ADS,-0.32639665741583884,0.15,-0.18523602868960837,0.0,-0.18523602868960837
59,com.gameinsight.crimestory,READ_PHONE_STATE,TARGETED_ADS,-0.32546759017781385,-0.050000000000000024,-0.2010092105939255,0.0,-0.2010092105939255
60,com.gameinsight.funnylovetest,READ_PHONE_STATE,TARGETED_ADS,-0.32694595227603224,0.0,-0.3341050525389096,0.0,-0.3341050525389096
61,com.gameinsight.kingdom,READ_PHONE_STATE,TARGETED_ADS,-0.32041075126622587,-0.7894736842105264,-0.03308343363658508,0.0,-0.03308343363658508
62,com.gameinsight.myclinic,READ_PHONE_STATE,TARGETED_ADS,-0.3253503837560268,0.0625,-0.24863885216745335,0.0,-0.24863885216745335
63,com.gamelion.ck,READ_PHONE_STATE,TARGETED_ADS,-0.32309566781522403,-0.5500000000000003,-0.24708451884703683,0.0,-0.24708451884703683
64,com.gameloft.android.ANMP.GloftDMHM,READ_PHONE_STATE,TARGETED_ADS,-0.32489608869793335,-0.8000000000000004,-0.6567879211676887,0.0,-0.6567879211676887
65,com.gameloft.android.ANMP.GloftIAHM,READ_PHONE_STATE,TARGETED_ADS,-0.32063620325087866,-0.6999999999999996,-0.7759585126346075,0.0,-0.7759585126346075
66,com.gamevil.cartoonwars.one.global,READ_PHONE_STATE,TARGETED_ADS,-0.3265188135602285,-0.15,-0.3574173108797298,0.0,-0.3574173108797298
67,com.gamevil.cartoonwars.two.global,READ_PHONE_STATE,TARGETED_ADS,-0.3241764639479116,-0.3333333333333333,-0.18805919293665077,0.0,-0.18805919293665077
68,com.geogame.event,READ_PHONE_STATE,TARGETED_ADS,-0.32488148174711984,0.0,-0.288513564966772,0.0,-0.288513564966772
69,com.gjmatw.android.app,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45703665046303926,-0.23529411764705885,-0.3701820123788871,0.0,-0.3701820123788871
70,com.glu.android.ck,READ_PHONE_STATE,TARGETED_ADS,-0.32465439650766575,0.10000000000000005,-0.19897853280696895,0.0,-0.19897853280696895
71,com.glu.android.gunbros_free,READ_PHONE_STATE,TARGETED_ADS,-0.3232912561952903,-0.050000000000000024,-0.18783652379818042,0.0,-0.18783652379818042
72,com.gridmob.android.funnycall,READ_PHONE_STATE,TARGETED_ADS,-0.32465218635249615,-0.25,-0.2816375275370782,0.0,-0.2816375275370782
73,com.halfbrick.fruitninjafree,ACCESS_COARSE_LOCATION,TARGETED_ADS,-0.5238019978106184,-0.6499999999999999,-0.5238019978106184,1.0,-0.7450241663241771
74,com.halfbrick.fruitninjafree,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4341224867788653,-1.1499999999999992,-0.578558768148435,0.0,-0.578558768148435
75,com.halfbrick.fruitninjafree,READ_PHONE_STATE,TARGETED_ADS,-0.3193172129332971,-0.5263157894736845,-0.6733217620323475,0.0,-0.6733217620323475
76,com.halfbrick.jetpackjoyride,ACCESS_COARSE_LOCATION,TARGETED_ADS,-0.5209835592333324,-0.6,-0.5209835592333324,1.0,-0.5996841256642443
77,com.halfbrick.jetpackjoyride,READ_PHONE_STATE,TARGETED_ADS,-0.32003106867645487,-0.5500000000000003,-0.6186585056776515,0.0,-0.6186585056776515
78,com.hyperkani.hyppely,READ_PHONE_STATE,TARGETED_ADS,-0.3216417349567747,-0.2000000000000001,-0.20235864208118096,0.0,-0.20235864208118096
79,com.ielfgame.ironRusher,READ_PHONE_STATE,TARGETED_ADS,-0.32493973764521306,-0.31578947368421056,-0.16141758519902658,0.0,-0.16141758519902658
80,com.igg.castleclash,READ_PHONE_STATE,TARGETED_ADS,-0.31519976259342536,-1.2,-0.4391050337554346,0.0,-0.4391050337554346
