,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.3261084105295116,-0.05263157894736838,-0.25963390480853427,0.0,-0.25963390480853427
1,amep.games.af_final,READ_PHONE_STATE,INTERNAL,0.2647168358580626,0.9499999999999995,0.5495520752738953,0.0,0.5495520752738953
2,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.3204271122950215,-0.21052631578947353,-0.2014556497661397,0.0,-0.2014556497661397
3,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.3284784867514748,-0.25,-0.18033831085333482,0.0,-0.18033831085333482
4,br.com.jera.vikings,ACCESS_FINE_LOCATION,MOBILE_ANALYTICS,-0.09541156102330128,-0.3,0.019960736939109134,0.0,0.019960736939109134
5,br.com.jera.vikings,READ_PHONE_STATE,INTERNAL,0.2693608597636835,0.6,0.46818166496718305,0.0,0.46818166496718305
6,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.3253218058701158,0.0,-0.19501373572699132,0.0,-0.19501373572699132
7,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4529046729931056,-0.6896551724137935,-0.449724105439893,0.0,-0.449724105439893
8,cn.otlive.games.android.CashOut,SEND_SMS,GAME_ENGINE,-0.9097776723892841,-1.2,-0.9097776723892841,1.0,-0.4296396258316046
9,cn.otlive.games.android.CashOut_Pad,SEND_SMS,GAME_ENGINE,-0.8397776723892836,-1.2999999999999998,-0.8397776723892836,1.0,-0.49497021768251037
10,com.Ama.PanicFlightFree,ACCESS_FINE_LOCATION,MOBILE_ANALYTICS,-0.09568531041225355,-0.050000000000000024,-0.3145354962233127,0.0,-0.3145354962233127
11,com.Ama.PanicFlightFree,ACCESS_FINE_LOCATION,SOCIAL_GAMING,-0.019285723484517583,0.21052631578947353,-0.019285723484517583,1.0,-0.03607362100284692
12,com.Ama.PanicFlightFree,GET_ACCOUNTS,INTERNAL,0.8506622214577837,0.4705882352941177,0.401617495050986,0.0,0.401617495050986
13,com.Ama.PanicFlightFree,READ_PHONE_STATE,INTERNAL,0.27024800462083054,0.41176470588235314,0.4456988160931003,0.0,0.4456988160931003
14,com.Ama.PanicFlightFree,READ_PHONE_STATE,MOBILE_ANALYTICS,-0.4122572643199342,-0.125,-0.2312714632361153,0.0,-0.2312714632361153
15,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.32634568566951805,0.23529411764705885,-0.2507939848662958,0.0,-0.2507939848662958
