,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.3238266990536435,-0.05263157894736838,-0.3098583758004262,0.0,-0.3098583758004262
1,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.32413530785117656,-0.21052631578947353,-0.2225231256351529,0.0,-0.2225231256351529
2,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.32704374315671214,-0.25,-0.2737881275241136,0.0,-0.2737881275241136
3,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.3208814565292764,-0.3,-0.3646984571450448,0.0,-0.3646984571450448
4,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.3305394045928003,0.0,-0.18204942810455585,0.0,-0.18204942810455585
5,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4442433435187872,-0.6896551724137935,-0.7123420060435545,0.0,-0.7123420060435545
6,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.3278578792804143,0.23529411764705885,-0.1494918764313514,0.0,-0.1494918764313514
7,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.32098542989204676,-0.4000000000000002,-0.22918978222035397,0.0,-0.22918978222035397
8,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.31773068548667394,-0.7647058823529417,-0.36489347077516837,0.0,-0.36489347077516837
9,com.alpha_aps.naked_scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4405640491368191,-0.8999999999999996,-0.42913967828495786,0.0,-0.42913967828495786
10,com.alpha_aps.naked_scanner,READ_PHONE_STATE,TARGETED_ADS,-0.3241080059720543,-0.3499999999999998,-0.38283069954294097,0.0,-0.38283069954294097
11,com.androp.cube.dolphin,READ_PHONE_STATE,TARGETED_ADS,-0.325019970488797,0.0,-0.4876396184172652,0.0,-0.4876396184172652
12,com.animoca.prettyPetSalonSeasons,READ_PHONE_STATE,TARGETED_ADS,-0.32109246478639053,-0.31578947368421056,-0.21737631047504385,0.0,-0.21737631047504385
13,com.appmania.ironwars.hd,READ_PHONE_STATE,TARGETED_ADS,-0.32205462374565685,-0.10000000000000005,-0.36031541536346645,0.0,-0.36031541536346645
14,com.appmox.jgirl,READ_PHONE_STATE,TARGETED_ADS,-0.3164219175130682,-1.2999999999999998,-0.2970447866939449,0.0,-0.2970447866939449
15,com.artofbytes.gravedefence.hd.free,READ_PHONE_STATE,TARGETED_ADS,-0.3255331201819967,-0.5,-0.2243420872683873,0.0,-0.2243420872683873
16,com.berobo.android.scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45110532087886707,-0.26315789473684226,-0.6492439438927443,0.0,-0.6492439438927443
17,com.berobo.android.scanner,READ_PHONE_STATE,TARGETED_ADS,-0.32276709852053354,-0.4499999999999998,-0.3790451045577276,0.0,-0.3790451045577276
18,com.bestcoolfungames.antsmasher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4477859636318996,-0.8000000000000004,-0.6872132985253384,0.0,-0.6872132985253384
19,com.bestcoolfungames.antsmasher,RECORD_AUDIO,TARGETED_ADS,-0.37412176473822567,-1.3500000000000008,-0.37412176473822567,1.0,-0.7548192975204207
20,com.bigbluebubble.fatfree,READ_PHONE_STATE,TARGETED_ADS,-0.32485606032130765,-0.1875,-0.3131851544008989,0.0,-0.3131851544008989
21,com.bodyfitness.health.bnht,READ_PHONE_STATE,TARGETED_ADS,-0.32041853879255056,-0.15,-0.27543762791557,0.0,-0.27543762791557
22,com.breakapps.breakdotcom,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45022794197080596,-0.31578947368421056,-0.28514290431718886,0.0,-0.28514290431718886
23,com.codemonkey.titanturret,READ_PHONE_STATE,TARGETED_ADS,-0.32359982367200446,-0.10000000000000005,-0.17478799453063404,0.0,-0.17478799453063404
24,com.codingcaveman.SoloTrial,READ_PHONE_STATE,TARGETED_ADS,-0.32231342738677804,-0.11764705882352942,-0.3211845266581408,0.0,-0.3211845266581408
25,com.com2us.imo.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32722128476289847,-0.1875,-0.17966974773025185,0.0,-0.17966974773025185
26,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3215313281860118,-0.05263157894736838,-0.34308845807976834,0.0,-0.34308845807976834
27,com.com2us.minigameparadise.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32614240699643715,-0.16666666666666666,-0.1410674179207575,0.0,-0.1410674179207575
28,com.com2us.ovenbreak.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.3261232003785153,-0.26315789473684226,-0.160883584423517,0.0,-0.160883584423517
29,com.cracked.android.lite,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4578807528534556,-0.23529411764705885,-0.26347831516997416,0.0,-0.26347831516997416
30,com.creativemobile.DragRacing,READ_PHONE_STATE,TARGETED_ADS,-0.319766784768739,-0.8500000000000003,-0.6540278937121691,0.0,-0.6540278937121691
31,com.darksummoner,READ_PHONE_STATE,TARGETED_ADS,-0.3134736041537444,-0.47368421052631554,-0.18200761363945064,0.0,-0.18200761363945064
32,com.dedalord.runningfred,READ_PHONE_STATE,TARGETED_ADS,-0.32751308930561074,-0.31578947368421056,-0.1832224605005576,0.0,-0.1832224605005576
33,com.dogsbestlivewallpaper.dogs,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4508460087975004,-0.5500000000000003,-0.5564269904676619,0.0,-0.5564269904676619
34,com.dogsbestlivewallpaper.dogs,READ_PHONE_STATE,TARGETED_ADS,-0.323027527961669,-0.4000000000000002,-0.3450161928920604,0.0,-0.3450161928920604
35,com.dragonplay.liveholdempro,READ_PHONE_STATE,TARGETED_ADS,-0.32043776172993904,-0.6,-0.6725527868228286,0.0,-0.6725527868228286
36,com.dreamcortex.talkingPet_android,READ_PHONE_STATE,TARGETED_ADS,-0.32148790285849704,-0.5500000000000003,-0.3079758436683238,0.0,-0.3079758436683238
37,com.dreamfabpapaya.savingyello,READ_PHONE_STATE,TARGETED_ADS,-0.3262936580313111,-0.050000000000000024,-0.16032093667713715,0.0,-0.16032093667713715
38,com.droidhen.game.speedhiker,READ_PHONE_STATE,TARGETED_ADS,-0.3214494732157637,-0.5789473684210529,-0.05085171411798744,0.0,-0.05085171411798744
39,com.duckygo.shoottheducks,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4521424732000999,-0.5789473684210529,-0.49472051255799426,0.0,-0.49472051255799426
40,com.emrosswar,READ_PHONE_STATE,TARGETED_ADS,-0.3278334694803134,0.050000000000000024,-0.1922385954113826,0.0,-0.1922385954113826
41,com.er.popularfunny,READ_PHONE_STATE,TARGETED_ADS,-0.32739858781749287,-0.15,-0.26105260522215423,0.0,-0.26105260522215423
42,com.er.scary,READ_PHONE_STATE,TARGETED_ADS,-0.3250557922277146,-0.26315789473684226,-0.253333672351509,0.0,-0.253333672351509
43,com.expedition107.bells.light,READ_PHONE_STATE,TARGETED_ADS,-0.31695166509859907,-0.5,-0.39720973959149847,0.0,-0.39720973959149847
44,com.favoritemedium,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4522471549079596,-0.10000000000000005,-0.3609361968253666,0.0,-0.3609361968253666
45,com.favoritemedium,READ_PHONE_STATE,TARGETED_ADS,-0.3284404777383379,0.10000000000000005,-0.23053756177866383,0.0,-0.23053756177866383
46,com.feelingtouch.FlyMan,READ_PHONE_STATE,TARGETED_ADS,-0.3268402666011607,-0.050000000000000024,-0.04142353477942556,0.0,-0.04142353477942556
47,com.feelingtouch.bugswar,READ_PHONE_STATE,TARGETED_ADS,-0.32900165728210407,0.6999999999999996,-0.1627764111471954,0.0,-0.1627764111471954
48,com.feelingtouch.dragon.ice,READ_PHONE_STATE,TARGETED_ADS,-0.32274552859369254,-0.050000000000000024,-0.13667797761599534,0.0,-0.13667797761599534
49,com.fingersoft.nightvisioncamera,READ_PHONE_STATE,TARGETED_ADS,-0.3209374359802291,-0.5263157894736845,-0.31328555345517145,0.0,-0.31328555345517145
50,com.fivemobile.cineplex,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.47131644575580983,0.3,-0.3467146536979558,0.0,-0.3467146536979558
51,com.forrestheller.trippingfest.free,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4411276971584535,-0.9444444444444439,-0.594294491673331,0.0,-0.594294491673331
52,com.forrestheller.trippingfest.free,READ_PHONE_STATE,TARGETED_ADS,-0.3223568697188366,-0.2222222222222223,-0.4499544904416239,0.0,-0.4499544904416239
