"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.packageName"	"Answer.permissionType"	"Answer.purposeType"	"Answer.permissionText"	"Answer.purposeText"	"Answer.Q1categoryQuestion"	"Answer.Q1realCategry"	"Answer.Q2comfortQuestion"	"Answer.Q2comment"
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ZAZR5XV01IRKWMYDWABEOD1ZXTCZ5"	"A340DZFTU1OSQQ"	"Submitted"	"Sun Apr 13 13:01:29 EDT 2014"	"Sun Apr 06 12:56:09 EDT 2014"	"Sun Apr 06 13:01:29 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"GAME"	"GAME"	"1"	""
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3S0TNUHWKTIM5SRP4259LAYFLO28D0"	"A1TH8X83SGT5ZE"	"Submitted"	"Sun Apr 13 13:19:52 EDT 2014"	"Sun Apr 06 13:18:57 EDT 2014"	"Sun Apr 06 13:19:52 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"GAME"	"GAME"	"-1"	""
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3TE3O8573085KN856MRSG82GEP1R2M"	"A4J4GGMKJ68L0"	"Submitted"	"Sun Apr 13 13:21:01 EDT 2014"	"Sun Apr 06 13:18:59 EDT 2014"	"Sun Apr 06 13:21:01 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"GAME"	"GAME"	"-2"	""
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"337RC3OW0523EGBUPCE7W1QS5V7LV0"	"A1IA4CST74I1Q8"	"Submitted"	"Sun Apr 13 13:31:46 EDT 2014"	"Sun Apr 06 13:31:15 EDT 2014"	"Sun Apr 06 13:31:46 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"GAME"	"GAME"	"-2"	""
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"33L7PJKHCGYTMHNMQS5OQEG1OART85"	"A2BLIB4GCCK3J5"	"Submitted"	"Sun Apr 13 13:32:26 EDT 2014"	"Sun Apr 06 13:32:20 EDT 2014"	"Sun Apr 06 13:32:26 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"GAME"	"GAME"	"-1"	""
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ZGVPD4G6TH86DO9ZI513YD5NJ1TZD"	"A3G00Q5JV2BE5G"	"Submitted"	"Sun Apr 13 13:45:45 EDT 2014"	"Sun Apr 06 13:44:09 EDT 2014"	"Sun Apr 06 13:45:45 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"GAME"	"GAME"	"1"	""
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ERET4BTVM9UX3G91BXAPJOGP3N9K9"	"AKLV0WIZZ356X"	"Submitted"	"Sun Apr 13 13:57:11 EDT 2014"	"Sun Apr 06 13:56:45 EDT 2014"	"Sun Apr 06 13:57:11 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"GAME"	"GAME"	"1"	""
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3M68NM076H7T2OR6TO3V6LJSUU96RO"	"A21753FQKCM5DQ"	"Submitted"	"Sun Apr 13 13:58:01 EDT 2014"	"Sun Apr 06 13:57:50 EDT 2014"	"Sun Apr 06 13:58:01 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"GAME"	"GAME"	"-1"	"it doesn't seem like this feature would be necessary to make sure the app is running effectively "
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3TVSS0C0E104CIJ4OVLU4UJN6HYWTR"	"A167HNWLG22UFD"	"Submitted"	"Sun Apr 13 13:58:43 EDT 2014"	"Sun Apr 06 13:49:52 EDT 2014"	"Sun Apr 06 13:58:43 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"APPLICATION"	"GAME"	"-1"	""
"3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Sun Apr 06 12:50:18 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"51"	"900"	"604800"	"Sun Apr 20 12:50:18 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3EHVO81VN5LIJOEC1BAJ81VMC22H12"	"3OB0CAO74HPIWEN932MTB81F6V6YHL"	"A646R8SV0S04Y"	"Submitted"	"Sun Apr 13 14:16:13 EDT 2014"	"Sun Apr 06 14:15:53 EDT 2014"	"Sun Apr 06 14:16:13 EDT 2014"	""	""	""	""	""	"com.rovio.angrybirds"	"READ_PHONE_STATE"	"INTERNAL"	"reads phone current state information like signal, carrier, device ID and phone number"	"for business analytics done by the developer"	"GAME"	"GAME"	"-1"	""
