packageName	permission	purpose	permissionText	purposeText	rate	level
bubbleshooter.android	ACCESS_FINE_LOCATION	SOCIAL_GAMING	can use user's precise location	for the internal GAME engine	-0.95	D
cn.otlive.games.android.CashOut	SEND_SMS	GAME_ENGINE	can send out SMS messages	for unknown use in a social game platform	-1.2	D
cn.otlive.games.android.CashOut_Pad	SEND_SMS	GAME_ENGINE	can send out SMS messages	for unknown use in a social game platform	-1.3	D
com.GnarlyGames.GnarBikeTrials	ACCESS_COARSE_LOCATION	PAYMENT	can use user's approximate location	to get to know where users make online payment	-0.8947368421052632	D
com.SnowfallLiveWallpapers	ACCESS_FINE_LOCATION	SOCIAL_GAMING	can use user's precise location	for the internal GAME engine	-0.8947368421052632	D
com.acmdvp.myconverter	ACCESS_FINE_LOCATION	SECONDARY_MARKET	can use user's precise location	for an independent/secondary app store to conduct market/customer analysis	-0.65	C
com.aidigame.xcity	ACCESS_FINE_LOCATION	SOCIAL_GAMING	can use user's precise location	for the internal GAME engine	-0.4	B
com.aidigame.xcity	CAMERA	SOCIAL_GAMING	can use camera or flashlight on the phone	for unclear purpose in an integrated social game platform	0.0	N/A
com.aidigame.xcity	RECORD_AUDIO	SOCIAL_GAMING	can record audio through microphone on the phone	to support sending audio messages to friends in social game platform	0.3	N/A
com.amazon.kindle	AUTHENTICATE_ACCOUNTS	UTILITY	can use user's account authentication information (like password) or create new accounts	to manage Amazon account information on users' phone	0.4375	N/A
com.amazon.kindle	MANAGE_ACCOUNTS	UTILITY	can manage user's accounts on the phone	to login Amazon account	0.6428571428571429	N/A
com.amazon.mp3	AUTHENTICATE_ACCOUNTS	UTILITY	can use user's account authentication information (like password) or create new accounts	to manage Amazon account information on users' phone	0.26666666666666666	N/A
com.animocacollective.google.superstarFashionGirl	CAMERA	GAME_ENGINE	can use camera or flashlight on the phone	in order to use camera/flashlight in the game	0.5263157894736842	N/A
com.aurum.google.aliceOfHeart	BLUETOOTH	GAME_ENGINE	can connect to user's Bluetooth devices	to enable features like connecting with other players or share game content through Bluetooth	1.15	N/A
com.c4mprod.ezcodescanner	CAMERA	GAME_ENGINE	can use camera or flashlight on the phone	in order to use camera/flashlight in the game	0.8	N/A
com.catstudio.zuma1	RECORD_AUDIO	GAME_ENGINE	can record audio through microphone on the phone	to enable audio recording in game (though may not be used in Game)	-0.3	A
com.cento.gates.main	ACCESS_FINE_LOCATION	SOCIAL_GAMING	can use user's precise location	for the internal GAME engine	-0.45	B
com.creativemobile.dragracingbe	READ_PHONE_STATE	PAYMENT	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in payment transaction	0.0	N/A
com.ddmap.android.privilege	MANAGE_ACCOUNTS	SNS	can manage user's accounts on the phone	to login social network sites like Facebook	-0.65	C
com.digitalchocolate.androiddistrictpa	READ_CONTACTS	SNS	can read user's contact list (phone book) and phone call history	to connect to users' friends through integrated social platforms	-0.55	B
com.electricsheep.edj	ACCESS_COARSE_LOCATION	SOCIAL_GAMING	can use user's approximate location	for customer analysis	-0.35	A
com.elijahsh.birthdayreminder	AUTHENTICATE_ACCOUNTS	SNS	can use user's account authentication information (like password) or create new accounts	to manage accounts on social network sites like Facebook	-0.4	B
com.fitbit.FitbitMobile	BLUETOOTH	MOBILE_ANALYTICS	can connect to user's Bluetooth devices	for app usage analytics	0.95	N/A
com.fruit.shooter.blast	READ_CONTACTS	SECONDARY_MARKET	can read user's contact list (phone book) and phone call history	for unclear purpose	-1.3	D
com.fruit.shooter.legend	READ_CONTACTS	SECONDARY_MARKET	can read user's contact list (phone book) and phone call history	for unclear purpose	-1.3	D
com.gamebasics.osm	SEND_SMS	PAYMENT	can send out SMS messages	for in-app purchase	-0.5	B
com.gamestop.powerup	CAMERA	DEVELOPMENT_AID	can use camera or flashlight on the phone	to enable bar code scanner feature	0.9444444444444444	N/A
com.gamestop.powerup	ACCESS_FINE_LOCATION	DEVELOPMENT_AID	can use user's precise location	to find a store nearby	0.9375	N/A
com.gamestop.powerup	READ_CONTACTS	DEVELOPMENT_AID	can read user's contact list (phone book) and phone call history	for unclear purpose	-1.2941176470588236	D
com.gau.go.launcherex.gowidget.weatherwidget	READ_PHONE_STATE	SECONDARY_MARKET	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in order to connect with independent/secondary mobile app stores	-0.7368421052631579	C
com.gau.go.launcherex.gowidget.weatherwidget	GET_ACCOUNTS	SECONDARY_MARKET	can use user's accounts information stored on the phone	to connect with independent/secondary mobile app stores	-0.6	B
com.genina.android.blackjack.view	READ_PHONE_STATE	GAME_ENGINE	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users for delivering targeted advertisement in game	-1.05	D
com.glu.android.ck	READ_PHONE_STATE	PAYMENT	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in payment transaction	-0.15	A
com.handmark.tweetcaster	ACCESS_COARSE_LOCATION	UTILITY	can use user's approximate location	to enable location-based features (like tweet nearby) in this app	0.9	N/A
com.happyelements.happyfish	ACCESS_FINE_LOCATION	SNS	can use user's precise location	for tagging location informaiton when users share the app content to social network sites like Facebook and Twitter	-0.2631578947368421	A
com.happyelements.happyfish	READ_PHONE_STATE	PAYMENT	can read phone current state information like oncall or not, signal, carrier, device ID and phone number	to identify users in payment transaction	-0.05	A
com.hipipal.qpy3	SEND_SMS	DEVELOPMENT_AID	can send out SMS messages	to enable programers to program using with phone's SMS functionality	-0.10526315789473684	A
com.hipipal.qpyplus	BLUETOOTH	DEVELOPMENT_AID	can connect to user's Bluetooth devices	to enable programers to program with audio recording funcitonality	0.95	N/A
com.hotspots.voicedialer	ACCESS_FINE_LOCATION	SECONDARY_MARKET	can use user's precise location	for an independent/secondary app store to conduct market/customer analysis	-0.7894736842105263	C
com.icloudzone.SpeedNight	READ_CONTACTS	SOCIAL_GAMING	can read user's contact list (phone book) and phone call history	to find out if users' friends are on the same game platform	-0.6	B
