"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.packageName"	"Answer.permissionType"	"Answer.purposeType"	"Answer.permissionText"	"Answer.purposeText"	"Answer.Q1categoryQuestion"	"Answer.Q1realCategory"	"Answer.Q2comfortQuestion"	"Answer.Q2comment"
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3KB8R4ZV1E78JAZN94QRIXREQPKGBQ"	"A2QD7QFGCUNF5N"	"Submitted"	"Wed Aug 20 17:43:00 EDT 2014"	"Wed Aug 13 17:39:41 EDT 2014"	"Wed Aug 13 17:43:00 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3Z7VU45IPYH7XTC0XZLRXSUBF3OZ1G"	"A3G00Q5JV2BE5G"	"Submitted"	"Wed Aug 20 17:47:27 EDT 2014"	"Wed Aug 13 17:45:45 EDT 2014"	"Wed Aug 13 17:47:27 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3PQ8K71NHXK2Q9HSHQYLR0W5ACOAAF"	"A9JHTV37LSE5F"	"Submitted"	"Wed Aug 20 17:47:41 EDT 2014"	"Wed Aug 13 17:47:23 EDT 2014"	"Wed Aug 13 17:47:41 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3B1NLC6UGZWAN40XS98SDHW37T0GPC"	"A167HNWLG22UFD"	"Submitted"	"Wed Aug 20 17:47:47 EDT 2014"	"Wed Aug 13 17:45:56 EDT 2014"	"Wed Aug 13 17:47:47 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3D8YOU6S9EKLIGJNXIY0BW6DLWPU6K"	"A1CUTEZJIWM0UU"	"Submitted"	"Wed Aug 20 17:48:12 EDT 2014"	"Wed Aug 13 17:46:30 EDT 2014"	"Wed Aug 13 17:48:12 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3J2UYBXQQLC52U77ZBKGMPI657L06N"	"A340DZFTU1OSQQ"	"Submitted"	"Wed Aug 20 17:49:53 EDT 2014"	"Wed Aug 13 17:45:35 EDT 2014"	"Wed Aug 13 17:49:53 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"37UEWGM5HT8YV2Q9NIREBPSC6M6R1G"	"AMZYIIE52MXZN"	"Submitted"	"Wed Aug 20 17:51:04 EDT 2014"	"Wed Aug 13 17:50:31 EDT 2014"	"Wed Aug 13 17:51:04 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3EFE17QCRC5L0SB04WU4TMDF9DKSH3"	"A2AQMDKQTAYMVS"	"Submitted"	"Wed Aug 20 17:51:24 EDT 2014"	"Wed Aug 13 17:50:40 EDT 2014"	"Wed Aug 13 17:51:24 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-2"	"Don't need to know if i'm on a call to pay for my in app purchases"
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3VBEN272MKZ70WGPKQCM8M1EUD8GST"	"A3O81LHBBI8NPK"	"Submitted"	"Wed Aug 20 18:01:34 EDT 2014"	"Wed Aug 13 17:52:19 EDT 2014"	"Wed Aug 13 18:01:34 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-2"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3Q5ZZ9ZEVOFR1FCWPWNQNYAOSAP582"	"A3G0T5Y7OSC76S"	"Submitted"	"Wed Aug 20 18:04:07 EDT 2014"	"Wed Aug 13 18:00:44 EDT 2014"	"Wed Aug 13 18:04:07 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-2"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3TESA3PJ31A4UBZ6BWEV9IM5YA4MMX"	"A9QYAH5BONH1W"	"Submitted"	"Wed Aug 20 18:06:04 EDT 2014"	"Wed Aug 13 18:05:36 EDT 2014"	"Wed Aug 13 18:06:04 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3NAPMVF0ZWFV24OQX8TMBRBHXGU27D"	"A37LY5UTJV2KYZ"	"Submitted"	"Wed Aug 20 18:12:50 EDT 2014"	"Wed Aug 13 18:12:38 EDT 2014"	"Wed Aug 13 18:12:50 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"352YTHGROVD2Y79PEVYMVJX9VXK4HB"	"A3JG1P42AS7WKH"	"Submitted"	"Wed Aug 20 18:13:25 EDT 2014"	"Wed Aug 13 17:58:32 EDT 2014"	"Wed Aug 13 18:13:25 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3L6L49WXW0XQIEPUDTXD6MUJQOV54X"	"A27PVIL93ZMY46"	"Submitted"	"Wed Aug 20 18:14:40 EDT 2014"	"Wed Aug 13 18:13:46 EDT 2014"	"Wed Aug 13 18:14:40 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3IFS6Q0HJIJLWNMKAECPTYEU9Q3SI0"	"A2DWQF4ZHHBLOW"	"Submitted"	"Wed Aug 20 18:16:16 EDT 2014"	"Wed Aug 13 18:16:09 EDT 2014"	"Wed Aug 13 18:16:16 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"-1"	""
"3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Wed Aug 13 17:32:53 EDT 2014"	"20"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"21"	"900"	"604800"	"Wed Aug 27 17:32:53 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XJOUITW8URW51POMKHNNL6IZX8QTH"	"3PJUZCGDJ6GA22E8SM07ZEFQE6998Y"	"A3B2H4HGSP6JCF"	"Submitted"	"Wed Aug 20 18:16:35 EDT 2014"	"Wed Aug 13 18:13:51 EDT 2014"	"Wed Aug 13 18:16:35 EDT 2014"	""	""	""	""	""	"eu.nordeus.topeleven.android"	"READ_PHONE_STATE"	"PAYMENT"	"can read phone current state information like oncall or not, signal, carrier, device ID and phone number"	"to identify users in payment transaction"	"GAME"	"GAME"	"2"	"Loving how I can control my own team!"
