permission	purpose	count
INTERNET	INTERNAL	522300
ACCESS_NETWORK_STATE	INTERNAL	420649
INTERNET	TARGETED_ADS	349036
ACCESS_NETWORK_STATE	TARGETED_ADS	322317
INTERNET	UTILITY	207193
WAKE_LOCK	INTERNAL	137771
VIBRATE	INTERNAL	130865
ACCESS_FINE_LOCATION	INTERNAL	127513
INTERNET	SNS	123980
READ_PHONE_STATE	INTERNAL	92991
READ_PHONE_STATE	TARGETED_ADS	73262
INTERNET	MOBILE_ANALYTICS	64394
ACCESS_NETWORK_STATE	UTILITY	57579
GET_ACCOUNTS	INTERNAL	56258
ACCESS_WIFI_STATE	INTERNAL	53708
CAMERA	INTERNAL	49949
ACCESS_FINE_LOCATION	TARGETED_ADS	48636
INTERNET	DEVELOPMENT_AID	44879
ACCESS_NETWORK_STATE	MOBILE_ANALYTICS	42761
ACCESS_WIFI_STATE	TARGETED_ADS	37973
ACCESS_NETWORK_STATE	DEVELOPMENT_AID	37524
RECORD_AUDIO	INTERNAL	34101
READ_PHONE_STATE	MOBILE_ANALYTICS	32384
INTERNET	PAYMENT	31790
ACCESS_FINE_LOCATION	DEVELOPMENT_AID	31644
READ_CONTACTS	INTERNAL	30612
READ_PHONE_STATE	UTILITY	30295
CAMERA	DEVELOPMENT_AID	28658
WAKE_LOCK	TARGETED_ADS	26459
RECORD_AUDIO	DEVELOPMENT_AID	26227
ACCESS_FINE_LOCATION	UTILITY	25355
READ_PHONE_STATE	DEVELOPMENT_AID	22787
ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	22240
INTERNET	GAME_ENGINE	21636
SET_WALLPAPER	INTERNAL	20672
VIBRATE	TARGETED_ADS	19223
WAKE_LOCK	UTILITY	19017
READ_PHONE_STATE	PAYMENT	18978
GET_TASKS	INTERNAL	17081
ACCESS_NETWORK_STATE	GAME_ENGINE	15326
WRITE_SETTINGS	INTERNAL	14806
ACCESS_NETWORK_STATE	PAYMENT	12729
SEND_SMS	INTERNAL	12424
ACCESS_COARSE_LOCATION	TARGETED_ADS	11531
ACCESS_WIFI_STATE	MOBILE_ANALYTICS	10763
