packageName	permission	purpose	permissionText	purposeText	rate	level
com.NextFloor.DragonFlightKakao	READ_PHONE_STATE	INTERNAL	can get phone state information like on call or not	to log system information when app is running for analytics or development purpose	-0.65	C
com.UCMobile.intl	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	-0.3	A
com.UCMobile.intl	READ_PHONE_STATE	SNS	can use user's phone ID or phone number	to log in social network sites like Facebook	0.25	N/A
com.UCMobile.intl	ACCESS_COARSE_LOCATION	INTERNAL	can use user's approximate location	in order to provide location information to web sites which request it	0.15	N/A
com.UCMobile.intl	RECORD_AUDIO	INTERNAL	can record audio through microphone on the phone	to enable voice search	1.05	N/A
com.UCMobile.intl	ACCESS_FINE_LOCATION	SNS	can use user's precise location	for tagging location informaiton when users share the app content to social network sites like Facebook and Twitter	0.45	N/A
com.UCMobile.intl	ACCESS_COARSE_LOCATION	SNS	can use user's approximate location	for tagging location informaiton when users share the app content to social network sites like Facebook and Twitter	0.4	N/A
com.UCMobile.intl	CAMERA	INTERNAL	can use camera or flashlight on the phone	to enable its QR scanner feature, which users can use to scan bar/QR code 	1.25	N/A
com.UCMobile.intl	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	in order to provide location information to web sites which request it	-0.25	A
com.android.chrome	MANAGE_ACCOUNTS	INTERNAL	can manage user's accounts on the phone	to login Google accounts	1.3	N/A
com.android.chrome	ACCESS_FINE_LOCATION	INTERNAL	can use user's precise location	in order to provide location information to web sites which request it	-0.2	A
com.antivirus	ACCESS_COARSE_LOCATION	INTERNAL	can use user's approximate location	to enable finding/locating lost phone via Google Maps	0.9	N/A
com.antivirus	READ_PHONE_STATE	INTERNAL	can read phone current state information like signal, carrier, device ID and phone number	to log system information when app is running for analytics or development purpose	0.35	N/A
com.antivirus	CAMERA	INTERNAL	can use camera or flashlight on the phone	to take a photo of the intruder (or thief) who makes 3 failed attempts to unlock phone and send it to owner by email	1.6	N/A
