permission , count
SUM , 78164
android.permission.INTERNET , 72943
android.permission.ACCESS_NETWORK_STATE , 63415
android.permission.READ_EXTERNAL_STORAGE , 44615
android.permission.WRITE_EXTERNAL_STORAGE , 44573
android.permission.READ_PHONE_STATE , 34334
android.permission.ACCESS_WIFI_STATE , 20402
android.permission.ACCESS_FINE_LOCATION , 18326
android.permission.ACCESS_COARSE_LOCATION , 17909
android.permission.WAKE_LOCK , 17886
android.permission.VIBRATE , 14535
android.permission.GET_ACCOUNTS , 11991
com.google.android.c2dm.permission.RECEIVE , 10602
android.permission.CAMERA , 9162
android.permission.RECEIVE_BOOT_COMPLETED , 8943
android.permission.SET_WALLPAPER , 6992
android.permission.RECORD_AUDIO , 6060
android.permission.GET_TASKS , 5953
com.android.launcher.permission.INSTALL_SHORTCUT , 4690
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 4578
android.permission.WRITE_SETTINGS , 4474
android.permission.CALL_PHONE , 4150
android.permission.SYSTEM_ALERT_WINDOW , 3934
android.permission.READ_CONTACTS , 3897
com.android.vending.BILLING , 2683
android.permission.MODIFY_AUDIO_SETTINGS , 2629
android.permission.READ_CALL_LOG , 2590
android.permission.SEND_SMS , 2547
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 2450
android.permission.WRITE_CONTACTS , 2277
android.permission.BROADCAST_STICKY , 2015
android.permission.DISABLE_KEYGUARD , 1720
com.android.launcher.permission.UNINSTALL_SHORTCUT , 1632
android.permission.CHANGE_WIFI_STATE , 1596
android.permission.WRITE_CALL_LOG , 1593
android.permission.RECEIVE_SMS , 1523
android.permission.SET_WALLPAPER_HINTS , 1484
com.android.vending.CHECK_LICENSE , 1437
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 1341
android.permission.FLASHLIGHT , 1199
android.permission.READ_LOGS , 1159
com.motorola.launcher.permission.INSTALL_SHORTCUT , 1114
com.lge.launcher.permission.INSTALL_SHORTCUT , 1111
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 1111
com.google.android.providers.gsf.permission.READ_GSERVICES , 1102
android.webkit.permission.PLUGIN , 1069
android.permission.ACCESS_MOCK_LOCATION , 1032
android.permission.READ_CALENDAR , 1027
com.android.launcher.permission.READ_SETTINGS , 1022
org.adw.launcher.permission.READ_SETTINGS , 890
com.htc.launcher.permission.READ_SETTINGS , 890
com.fede.launcher.permission.READ_SETTINGS , 889
com.lge.launcher.permission.READ_SETTINGS , 888
com.motorola.launcher.permission.READ_SETTINGS , 887
com.motorola.dlauncher.permission.READ_SETTINGS , 887
android.permission.WRITE_CALENDAR , 855
android.permission.CHANGE_CONFIGURATION , 836
android.permission.BLUETOOTH , 829
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 819
android.permission.READ_SMS , 705
android.permission.RESTART_PACKAGES , 680
android.permission.RECORD_VIDEO , 644
android.permission.USE_CREDENTIALS , 579
com.skt.sptagentgl.ThemeProvider.THEME , 541
android.permission.CHANGE_NETWORK_STATE , 503
android.permission.BLUETOOTH_ADMIN , 463
android.permission.PROCESS_OUTGOING_CALLS , 461
android.permission.WRITE_SMS , 441
android.permission.KILL_BACKGROUND_PROCESSES , 428
com.android.launcher.permission.WRITE_SETTINGS , 358
com.amazon.device.messaging.permission.RECEIVE , 312
android.permission.WRITE_INTERNAL_STORAGE , 307
org.adw.launcher.permission.WRITE_SETTINGS , 300
com.htc.launcher.permission.WRITE_SETTINGS , 299
com.lge.launcher.permission.WRITE_SETTINGS , 299
com.fede.launcher.permission.WRITE_SETTINGS , 299
com.motorola.dlauncher.permission.WRITE_SETTINGS , 298
com.motorola.launcher.permission.WRITE_SETTINGS , 298
com.anddoes.launcher.permission.READ_SETTINGS , 290
com.teslacoilsw.launcher.permission.READ_SETTINGS , 283
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 281
com.anddoes.launcher.permission.WRITE_SETTINGS , 281
android.permission.MANAGE_ACCOUNTS , 264
android.permission.INSTALL_PACKAGES , 261
android.permission.ACCESS_GPS , 226
com.android.alarm.permission.SET_ALARM , 222
android.permission.CHANGE_WIFI_MULTICAST_STATE , 218
android.permission.WRITE_OWNER_DATA , 187
android.permission.READ_OWNER_DATA , 176
android.permission.ACCESS_LOCATION , 173
android.permission.NFC , 152
android.permission.DELETE_PACKAGES , 146
android.permission.CLEAR_APP_CACHE , 146
android.permission.ACCESS_ASSISTED_GPS , 142
android.permission.SET_ORIENTATION , 141
android.permission.BATTERY_STATS , 137
android.permission.AUTHENTICATE_ACCOUNTS , 134
android.permissions.RECEIVE_BOOT_COMPLETED , 128
android.permission.EXPAND_STATUS_BAR , 125
android.permission.STORAGE , 106
android.permission.STATUS_BAR , 105
android.permission.ACCESS_CORSE_LOCATION , 97
READ_PHONE_STATE , 97
android.permission.READ_SYNC_SETTINGS , 95
android.permission.SET_WALLPAPER_HINT , 87
android.permission.WRITE_SYNC_SETTINGS , 84
android.permission.DEVICE_POWER , 83
android.permission.GET_RECEIVE_COMPLETED , 81
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 75
android.permission.READ_PROFILE , 75
www.conduit.app.permission.C2D_MESSAGE , 73
android.permission.MODIFY_PHONE_STATE , 73
android.permission.ACCESS_COARSE_UPDATES , 72
android.permission.RAISED_THREAD_PRIORITY , 71
android.permission.SET_DEBUG_APP , 68
android.permission.WRITE_APN_SETTINGS , 67
android.permission.ACCESS_COURSE_LOCATION , 65
com.sec.android.app.browser.permission.HOMEPAGE , 65
android.permission.DELETE_CACHE_FILES , 64
android.permission.CALL_PRIVILEGED , 63
android.permission.READ_INTERNAL_STORAGE , 61
android.permission.ACTION_BOOT_COMPLETED , 60
android.permission.CLEAR_APP_USER_DATA , 56
android.permission.INTERNAL_SYSTEM_WINDOW , 55
android.permission.RECEIVE_MMS , 54
android.permission.CONTROL_LOCATION_UPDATES , 49
android.permission.BIND_WALLPAPER , 47
android.permission.READ_FRAME_BUFFER , 47
android.permission.REORDER_TASKS , 47
android.permission.WRITE , 45
android.permission.WRITE_SECURE_SETTINGS , 45
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 44
android.permission.ACCESS_BROWSER , 42
android.permission.ACCOUNT_MANAGER , 37
android.permission.ACCESS_SURFACE_FLINGER , 37
android.permission.ACCESS_DOWNLOAD_MANAGER , 37
android.permission.ACCESS_COARSE , 35
android.permission.ACTION_TIME_CHANGED , 35
android.permission.ACTION_TIMEZONE_CHANGED , 35
android.permission.UPDATE_DEVICE_STATS , 34
android.permission.RECEIVE_USER_PRESENT , 33
au.com.boogieroom.menu.permission.C2D_MESSAGE , 33
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 33
android.permission.FINE_LOCATION , 33
android.permission.READ_USER_DICTIONARY , 32
android.permission.REBOOT , 32
android.permission.LOCATION , 31
android.permission.WRITE_USER_DICTIONARY , 30
android.hardware.camera , 29
android.permission.MOUNT_FORMAT_FILESYSTEMS , 28
android.permission.READ_SYNC_STATS , 26
com.goodbarber.v2.permission.MAPS_RECEIVE , 26
com.android.launcher3.permission.READ_SETTINGS , 25
android.permission.PERSISTENT_ACTIVITY , 25
com.android.launcher3.permission.WRITE_SETTINGS , 25
com.example.mapdemo.permission.MAPS_RECEIVE , 25
