permission , count
SUM , 22818
android.permission.INTERNET , 21159
android.permission.ACCESS_NETWORK_STATE , 17271
android.permission.WRITE_EXTERNAL_STORAGE , 12883
android.permission.READ_EXTERNAL_STORAGE , 12872
android.permission.READ_PHONE_STATE , 9185
android.permission.ACCESS_FINE_LOCATION , 7529
android.permission.ACCESS_COARSE_LOCATION , 6846
android.permission.WAKE_LOCK , 6132
com.google.android.c2dm.permission.RECEIVE , 5238
android.permission.VIBRATE , 4992
android.permission.ACCESS_WIFI_STATE , 4402
android.permission.GET_ACCOUNTS , 4246
android.permission.CAMERA , 3864
android.permission.CALL_PHONE , 2627
android.permission.RECORD_AUDIO , 2496
android.permission.RECEIVE_BOOT_COMPLETED , 2115
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1864
android.permission.SEND_SMS , 1326
android.permission.READ_CONTACTS , 1312
com.android.vending.BILLING , 1046
com.android.launcher.permission.INSTALL_SHORTCUT , 975
android.permission.WRITE_CONTACTS , 943
android.permission.MODIFY_AUDIO_SETTINGS , 909
android.permission.GET_TASKS , 903
android.permission.READ_CALL_LOG , 857
com.android.vending.CHECK_LICENSE , 821
android.permission.READ_CALENDAR , 756
com.google.android.providers.gsf.permission.READ_GSERVICES , 742
android.permission.BROADCAST_STICKY , 732
android.permission.WRITE_CALENDAR , 711
android.webkit.permission.PLUGIN , 698
android.permission.RECEIVE_SMS , 640
android.permission.WRITE_CALL_LOG , 624
android.permission.SYSTEM_ALERT_WINDOW , 605
android.permission.ACCESS_MOCK_LOCATION , 558
android.permission.WRITE_SETTINGS , 478
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 477
android.permission.CHANGE_WIFI_STATE , 424
android.permission.CHANGE_CONFIGURATION , 422
android.permission.RECORD_VIDEO , 396
android.permission.BLUETOOTH , 395
android.permission.BLUETOOTH_ADMIN , 360
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 352
android.permission.READ_LOGS , 333
android.permission.FLASHLIGHT , 320
android.permission.DISABLE_KEYGUARD , 300
android.permission.ACCESS_GPS , 269
android.permission.RESTART_PACKAGES , 240
android.permission.USE_CREDENTIALS , 231
android.permission.SET_WALLPAPER , 226
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 194
android.permission.ACCESS_ASSISTED_GPS , 185
android.permission.CHANGE_NETWORK_STATE , 151
android.permission.ACCESS_LOCATION , 151
com.android.launcher.permission.UNINSTALL_SHORTCUT , 130
android.permission.MANAGE_ACCOUNTS , 126
android.permission.WRITE_INTERNAL_STORAGE , 118
com.amazon.device.messaging.permission.RECEIVE , 115
com.lge.launcher.permission.INSTALL_SHORTCUT , 103
com.motorola.launcher.permission.INSTALL_SHORTCUT , 103
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 103
android.permission.KILL_BACKGROUND_PROCESSES , 101
android.permission.INSTALL_PACKAGES , 97
android.permission.NFC , 91
android.permission.CLEAR_APP_CACHE , 80
com.android.launcher.permission.READ_SETTINGS , 78
android.permission.AUTHENTICATE_ACCOUNTS , 76
android.permission.DELETE_PACKAGES , 72
android.permission.SET_TIME , 72
android.permission.WRITE_SYNC_SETTINGS , 71
android.permission.WRITE_GSERVICES , 71
READ_PHONE_STATE , 70
android.permission.PROCESS_OUTGOING_CALLS , 68
android.permission.READ_SMS , 67
com.android.alarm.permission.SET_ALARM , 64
android.permission.WRITE_SMS , 63
android.permission.READ_SYNC_SETTINGS , 61
com.htc.launcher.permission.READ_SETTINGS , 59
com.dsi.ant.permission.ANT_ADMIN , 57
com.dsi.ant.permission.ANT , 57
com.motorola.launcher.permission.READ_SETTINGS , 56
com.fede.launcher.permission.READ_SETTINGS , 56
com.motorola.dlauncher.permission.READ_SETTINGS , 56
com.lge.launcher.permission.READ_SETTINGS , 56
org.adw.launcher.permission.READ_SETTINGS , 56
android.permission.READ_OWNER_DATA , 54
.permission.C2D_MESSAGE , 52
android.permission.WRITE_OWNER_DATA , 48
android.permissions.RECEIVE_BOOT_COMPLETED , 47
android.permission.BATTERY_STATS , 42
android.permission.DEVICE_POWER , 41
android.permission.CALL_PRIVILEGED , 39
www.conduit.app.permission.C2D_MESSAGE , 36
android.permission.CHANGE_WIFI_MULTICAST_STATE , 34
com.android.launcher.permission.WRITE_SETTINGS , 33
android.permission.REORDER_TASKS , 33
android.permission.WRITE_SECURE_SETTINGS , 31
com.anddoes.launcher.permission.READ_SETTINGS , 31
com.htc.launcher.permission.WRITE_SETTINGS , 30
com.fede.launcher.permission.WRITE_SETTINGS , 30
com.anddoes.launcher.permission.WRITE_SETTINGS , 30
org.adw.launcher.permission.WRITE_SETTINGS , 30
com.motorola.dlauncher.permission.WRITE_SETTINGS , 30
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 30
com.motorola.launcher.permission.WRITE_SETTINGS , 30
com.lge.launcher.permission.WRITE_SETTINGS , 30
com.teslacoilsw.launcher.permission.READ_SETTINGS , 30
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 28
android.permission.READ_INTERNAL_STORAGE , 28
android.permission.WRITE_APN_SETTINGS , 27
android.permission.ACCESS_CORSE_LOCATION , 27
android.permission.READ_SYNC_STATS , 26
android.permission.SET_ORIENTATION , 26
android.permission.BAIDU_LOCATION_SERVICE , 26
android.permission.SET_ALARM , 24
android.permission.SET_DEBUG_APP , 23
android.permission.RECEIVE_USER_PRESENT , 20
com.example.mapdemo.permission.MAPS_RECEIVE , 20
android.permission.LOCATION , 20
android.permission.READ_PROFILE , 19
android.permission.PERSISTENT_ACTIVITY , 19
android.permission.CONTROL_LOCATION_UPDATES , 19
android.permission.REBOOT , 17
android.permission.STORAGE , 17
android.permission.WRITE , 16
android.permission.ACCOUNT_MANAGER , 16
android.permission.UPDATE_DEVICE_STATS , 15
android.permission.MODIFY_PHONE_STATE , 15
android.permission.HARDWARE_TEST , 15
android.permission.ACCESS_COARSE_UPDATES , 15
com.android.email.permission.READ_ATTACHMENT , 14
android.permission.ACCESS_DOWNLOAD_MANAGER , 14
android.permission.ACCESS_COURSE_LOCATION , 14
com.motorola.permission.ACCESS_BT_HEART_RATE_MONITOR , 13
android.permission.DELETE_CACHE_FILES , 13
com.google.android.apps.mytracks.READ_TRACK_DATA , 13
com.felicanetworks.mfc.permission.MFC_ACCESS , 13
com.google.android.apps.mytracks.WRITE_TRACK_DATA , 12
android.permission.UPDATE_DEVICE_STATE , 12
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 12
com.android.email.permission.ACCESS_PROVIDER , 12
android.permission.CLEAR_APP_USER_DATA , 12
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 12
com.samsung.accessory.permission.ACCESSORY_FRAMEWORK , 11
com.samsung.wmanager.APP , 11
android.permission.MOUNT_FORMAT_FILESYSTEMS , 11
com.goodbarber.v2.permission.MAPS_RECEIVE , 11
android.permission.EXPAND_STATUS_BAR , 10
com.hypnosisapp.permission.C2D_MESSAGE , 9
com.example.gcm.permission.C2D_MESSAGE , 9
com.android.browser.pedkrmission.READ_HISTORY_BOOKMARKS , 9
android.permission.SET_WALLPAPER_HINTS , 9
.permission.MAPS_RECEIVE , 9
android.permission.MANAGE_APP_TOKENS , 8
android.permission.ACCESS_CELL_ID , 8
com.google.android.googleapps.permission.GOOGLE_AUTH , 7
android.permission.READ_ATTACHMENT , 7
android.permission.ACCESSGPS , 7
android.permission.ACCESSASSISTEDGPS , 7
android.permission.ACCESSCELLID , 7
android.permission.ACCESSLOCATION , 7
android.permission.ACCESS_PROVIDER , 7
android.permission.DUMP , 7
android.permission.ACCES_MOCK_LOCATION , 6
com.google.android.apps.googlevoice.permission.RECEIVE_SMS , 6
android.permission.SET_TIME_ZONE , 6
com.runtastic.android.pro2.permission.MAPS_RECEIVE , 6
com.google.android.apps.googlevoice.permission.SEND_SMS , 6
android.permission.NETWORK , 5
android.permission.RAISED_THREAD_PRIORITY , 5
com.weiwo.android.permission.JPUSH_MESSAGE , 5
android.permission.ACCESS_CACHE_FILESYSTEM , 5
com.leafcutterstudios.marklauren.freedvd.READ.PERMISSION , 5
com.bluedeskmobile.android.fitapp4you.permission.MAPS_RECEIVE , 5
com.gsk.myasthma.permission.C2D_MESSAGE , 5
android.permission.ACCESS_CHECKIN_PROPERTIES , 5
com.bluedeskmobile.android.fitapp4you.permission.C2D_MESSAGE , 5
com.leafcutterstudios.marklauren.intermediatedvd.READ.PERMISSION , 5
com.google.android.apps.mytracks.TRACK_NOTIFICATIONS , 5
android.permission.RECEIVE_MMS , 5
android.permission.SYSTEM_OVERLAY_WINDOW , 5
android.permission.STATUS_BAR , 5
com.leafcutterstudios.marklauren.novicedvd.READ.PERMISSION , 5
com.leafcutterstudios.marklauren.advanceddvd.READ.PERMISSION , 5
android.permission.SEND_MAIL , 5
com.bottegasol.com.migym.InShape.permission.MAPS_RECEIVE , 5
com.setup2app.zajmissoboj.permission.C2D_MESSAGE , 5
com.amazon.permission.SET_FLAG_NOSOFTKEYS , 4
com.leafcutterstudios.yayogdvdfree.READ.PERMISSION , 4
android.permission.NETWORK_WIFI_STATE , 4
com.google.android.googleapps.permission.GOOGLE_AUTH.local , 4
com.google.android.gm.permission.READ_GMAIL , 4
com.google.android.c2dm.permission.SEND , 4
com.salyangoz.doctor.permission.C2D_MESSAGE , 4
com.sec.android.app.browser.permission.HOMEPAGE , 4
android.permission.ACCESS_SURFACE_FLINGER , 4
android.permission.BOOT_COMPLETED , 4
com.mobbase.main.permission.MAPS_RECEIVE , 4
android.permission.INSTALL_LOCATION_PROVIDER , 4
com.google.android.googleapps.permission.GOOGLE_AUTH.wise , 4
com.google.android.googleapps.permission.GOOGLE_AUTH.writely , 4
android.permission.ACCESS_BACKGROUND_SERVICE , 4
android.permission.READ_PHONE_DATA , 3
android.permission.BILLING , 3
android.permission.RECEIVE_WAP_PUSH , 3
android.permission.READ_USER_DICTIONARY , 3
android.permission.ACCESS_FIND_LOCATION , 3
android.permission.INTERACT_ACROSS_USERS_FULL , 3
android.permission.MAPS_RECEIVE , 3
com.appmachine.runtime.development.permission.MAPS_RECEIVE , 3
com.appspot.nagasaki.yuichi.dietviewer.provider.DB , 3
com.appcookr.ditongs.permission.C2D_MESSAGE , 3
android.permission.WRITE_MEDIA_STORAGE , 3
android.permission.READ_INPUT_STATE , 3
com.tmoney.vending.INBILLING , 3
info.selfcare.permission.MAPS_RECEIVE , 3
android.permission.PREVENT_POWER_KEY , 3
com.google.android.googleapps.permission.GOOGLE_AUTH.fusiontables , 3
android.permission.BIND_APPWIDGET , 3
com.medisafe.android.client.permission.C2D_MESSAGE , 2
com.oysterlabs.health.tbx.permission.C2D_MESSAGE , 2
android.permission.BROADCAST_PACKAGE_REPLACED , 2
com.smartrunner.permission.MAPS_RECEIVE , 2
com.alportela.fitnesspushups.permission.C2D_MESSAGE , 2
com.gymProviseF.ui.READ , 2
com.google.android.c2dm.permission.REGISTRATION , 2
android.permission.DIAL , 2
nl.hearst.menshealth.permission.C2D_MESSAGE , 2
com.gymProviseF.ui.WRITE , 2
at.ac.ait.commons.permission.REQUEST_SNTP_TIME , 2
com.lafitness.permission.MAPS_RECEIVE , 2
com.unifylog.droid90.permission.C2D_MESSAGE , 2
com.spotlightsix.zentimer.permission.C2D_MESSAGE , 2
ACCESS_CHECKIN_PROPERTIES , 2
android.permission.READ_SOCIAL_STREAM , 2
android.permission.FORCE_STOP_PACKAGES , 2
android.permission.MANAGE_DOCUMENTS , 2
android.provider.MediaStore.ACTION_IMAGE_CAPTURE , 2
com.oysterlabs.health.tbc.permission.C2D_MESSAGE , 2
android.net.conn.CONNECTIVITY_CHANGE , 2
com.smrmc.worldlink.googlemapsv2.support.permission.MAPS_RECEIVE , 2
com.tawkon.permission.C2D_MESSAGE , 2
◦android.permission.ACCESS_FINE_LOCATION , 2
android.permission.INTERACT_ACROSS_USERS , 2
com.appbody.handyNote.resource.permission.READ_DATA , 2
android.permisssion.ACCESS_COARSE_LOCATION , 2
android.permission.BROADCAST_SMS , 2
com.swimdraft.permission.C2D_MESSAGE , 2
com.webdiabete.DbtMobile.BACKGROUNDSERVICE_PERMISSION , 2
android.intent.action.CALL_PRIVILEGED , 2
android.permission.WRITE_SOCIAL_STREAM , 2
com.tawkon.SEND_NOTIFICATIONS , 2
android.permission.DIAL_PHONE , 2
com.intigram.ollehpub.permission.C2D_MESSAGE , 2
