permission , count
SUM , 2427
android.permission.INTERNET , 1931
android.permission.READ_EXTERNAL_STORAGE , 1666
android.permission.WRITE_EXTERNAL_STORAGE , 1663
android.permission.ACCESS_NETWORK_STATE , 1464
android.permission.READ_PHONE_STATE , 1116
android.permission.ACCESS_WIFI_STATE , 734
android.permission.VIBRATE , 510
android.permission.WAKE_LOCK , 408
android.permission.ACCESS_FINE_LOCATION , 396
android.permission.ACCESS_COARSE_LOCATION , 331
android.permission.SET_WALLPAPER , 311
android.permission.RECORD_AUDIO , 287
android.permission.CAMERA , 285
android.permission.GET_ACCOUNTS , 182
android.permission.WRITE , 180
android.permission.RECEIVE_BOOT_COMPLETED , 171
android.permission.READ_CONTACTS , 143
com.google.android.c2dm.permission.RECEIVE , 134
android.permission.WRITE_SETTINGS , 131
android.permission.READ_CALL_LOG , 104
android.permission.BLUETOOTH , 98
android.permission.GET_TASKS , 95
android.permission.DISABLE_KEYGUARD , 93
android.permission.CALL_PHONE , 89
android.permission.WRITE_CONTACTS , 83
android.permission.BLUETOOTH_ADMIN , 81
com.android.launcher.permission.INSTALL_SHORTCUT , 78
android.permission.SYSTEM_ALERT_WINDOW , 75
android.permission.CHANGE_WIFI_STATE , 75
android.permission.NFC , 73
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 73
android.permission.BATTERY_STATS , 68
android.permission.WRITE_CALL_LOG , 64
android.permission.MODIFY_AUDIO_SETTINGS , 61
com.android.vending.CHECK_LICENSE , 60
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 56
android.permission.READ_CALENDAR , 54
android.permission.BROADCAST_STICKY , 54
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 53
android.permission.SEND_SMS , 52
android.permission.FLASHLIGHT , 52
com.android.vending.BILLING , 51
android.permission.WRITE_CALENDAR , 50
android.permission.RECEIVE_SMS , 46
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 44
com.android.launcher.permission.READ_SETTINGS , 41
android.permission.WRITE_SECURE_SETTINGS , 40
android.permission.USE_CREDENTIALS , 38
com.larryvgs.battery.permission.ADDON , 37
com.android.launcher.permission.WRITE_SETTINGS , 36
com.google.android.providers.gsf.permission.READ_GSERVICES , 35
android.permission.RESTART_PACKAGES , 33
android.permission.READ_SMS , 33
com.android.launcher.permission.UNINSTALL_SHORTCUT , 32
android.permission.ACCESS_MOCK_LOCATION , 30
android.permission.CHANGE_NETWORK_STATE , 30
android.permission.READ_LOGS , 28
com.htc.launcher.permission.READ_SETTINGS , 23
com.motorola.launcher.permission.READ_SETTINGS , 23
com.motorola.dlauncher.permission.READ_SETTINGS , 23
com.lge.launcher.permission.READ_SETTINGS , 23
com.fede.launcher.permission.READ_SETTINGS , 23
org.adw.launcher.permission.READ_SETTINGS , 23
com.anddoes.launcher.permission.READ_SETTINGS , 23
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 22
com.motorola.launcher.permission.WRITE_SETTINGS , 22
com.lge.launcher.permission.WRITE_SETTINGS , 22
com.htc.launcher.permission.WRITE_SETTINGS , 22
com.anddoes.launcher.permission.WRITE_SETTINGS , 22
com.motorola.dlauncher.permission.WRITE_SETTINGS , 22
com.lge.launcher.permission.INSTALL_SHORTCUT , 22
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 22
com.fede.launcher.permission.WRITE_SETTINGS , 22
com.teslacoilsw.launcher.permission.READ_SETTINGS , 22
com.motorola.launcher.permission.INSTALL_SHORTCUT , 22
org.adw.launcher.permission.WRITE_SETTINGS , 22
android.permission.MANAGE_ACCOUNTS , 20
android.permission.KILL_BACKGROUND_PROCESSES , 19
android.permission.WRITE_SYNC_SETTINGS , 19
android.permission.SET_ORIENTATION , 19
android.permission.WRITE_SMS , 19
android.permission.AUTHENTICATE_ACCOUNTS , 19
android.webkit.permission.PLUGIN , 18
android.permission.INSTALL_PACKAGES , 18
android.permission.CHANGE_CONFIGURATION , 17
android.permission.READ_SYNC_SETTINGS , 17
android.permission.SET_WALLPAPER_HINTS , 16
android.permission.PROCESS_OUTGOING_CALLS , 15
android.permission.RECORD_VIDEO , 14
android.permission.READ_SYNC_STATS , 13
android.permission.sec.MDM_APP_MGMT , 10
