permission , count
SUM , 58831
android.permission.INTERNET , 55481
android.permission.ACCESS_NETWORK_STATE , 45800
android.permission.READ_EXTERNAL_STORAGE , 37028
android.permission.WRITE_EXTERNAL_STORAGE , 36983
android.permission.READ_PHONE_STATE , 26675
android.permission.ACCESS_FINE_LOCATION , 25436
android.permission.ACCESS_COARSE_LOCATION , 22025
android.permission.WAKE_LOCK , 17814
com.google.android.c2dm.permission.RECEIVE , 16603
android.permission.VIBRATE , 15187
android.permission.ACCESS_WIFI_STATE , 14077
android.permission.CAMERA , 12795
android.permission.GET_ACCOUNTS , 12764
android.permission.CALL_PHONE , 10145
android.permission.RECEIVE_BOOT_COMPLETED , 7122
android.permission.RECORD_AUDIO , 6475
android.permission.READ_CONTACTS , 4901
android.permission.SEND_SMS , 4835
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 4587
com.google.android.providers.gsf.permission.READ_GSERVICES , 3789
android.permission.GET_TASKS , 3691
android.permission.READ_CALL_LOG , 3306
android.permission.WRITE_CONTACTS , 2580
android.permission.RECEIVE_SMS , 2253
com.android.vending.BILLING , 2217
android.permission.SET_WALLPAPER , 2207
android.permission.ACCESS_MOCK_LOCATION , 2142
android.permission.CHANGE_WIFI_STATE , 2118
android.permission.MODIFY_AUDIO_SETTINGS , 2035
android.permission.WRITE_CALL_LOG , 1896
com.android.launcher.permission.INSTALL_SHORTCUT , 1840
android.permission.BROADCAST_STICKY , 1830
android.permission.WRITE_SETTINGS , 1803
android.permission.FLASHLIGHT , 1667
android.permission.READ_CALENDAR , 1650
android.permission.RESTART_PACKAGES , 1403
android.permission.SYSTEM_ALERT_WINDOW , 1395
android.permission.WRITE_CALENDAR , 1358
android.permission.NFC , 1218
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 1202
com.android.vending.CHECK_LICENSE , 1167
android.permission.DISABLE_KEYGUARD , 1165
android.permission.ACCESS_GPS , 1107
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 1021
android.permission.READ_LOGS , 995
android.permission.USE_CREDENTIALS , 979
android.permission.ACCESS_LOCATION , 880
android.permission.CHANGE_NETWORK_STATE , 827
android.permission.RECORD_VIDEO , 816
android.permission.READ_SMS , 814
android.permission.BLUETOOTH , 749
android.webkit.permission.PLUGIN , 731
android.permission.WRITE_SMS , 694
android.permission.ACCESS_ASSISTED_GPS , 654
android.permission.CHANGE_CONFIGURATION , 646
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 547
android.permission.BLUETOOTH_ADMIN , 516
android.permission.KILL_BACKGROUND_PROCESSES , 494
com.android.launcher.permission.UNINSTALL_SHORTCUT , 384
android.permission.MANAGE_ACCOUNTS , 311
android.permission.READ_OWNER_DATA , 304
android.permission.INSTALL_PACKAGES , 295
android.permission.PROCESS_OUTGOING_CALLS , 291
com.amazon.device.messaging.permission.RECEIVE , 252
com.android.launcher.permission.READ_SETTINGS , 236
android.permission.CLEAR_APP_CACHE , 232
