permission , count
SUM , 10561
android.permission.INTERNET , 9133
android.permission.READ_EXTERNAL_STORAGE , 8894
android.permission.WRITE_EXTERNAL_STORAGE , 8886
android.permission.ACCESS_NETWORK_STATE , 8067
android.permission.READ_PHONE_STATE , 4043
android.permission.CAMERA , 3765
android.permission.ACCESS_WIFI_STATE , 3127
android.permission.ACCESS_FINE_LOCATION , 2478
android.permission.WAKE_LOCK , 2417
android.permission.ACCESS_COARSE_LOCATION , 2333
android.permission.SET_WALLPAPER , 2162
android.permission.VIBRATE , 1788
android.permission.GET_ACCOUNTS , 1525
android.permission.RECEIVE_BOOT_COMPLETED , 1281
com.google.android.c2dm.permission.RECEIVE , 1208
android.permission.GET_TASKS , 1131
android.permission.RECORD_AUDIO , 946
com.android.launcher.permission.INSTALL_SHORTCUT , 833
android.permission.SYSTEM_ALERT_WINDOW , 677
com.android.vending.BILLING , 641
android.permission.READ_CONTACTS , 639
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 582
com.android.vending.CHECK_LICENSE , 489
android.permission.READ_CALL_LOG , 458
android.permission.FLASHLIGHT , 400
android.permission.WRITE_SETTINGS , 370
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 363
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 350
android.permission.WRITE_INTERNAL_STORAGE , 306
android.permission.CHANGE_WIFI_STATE , 299
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 264
android.permission.SET_WALLPAPER_HINTS , 257
android.permission.READ_LOGS , 220
com.htc.launcher.permission.READ_SETTINGS , 216
android.permission.CALL_PHONE , 215
com.lge.launcher.permission.READ_SETTINGS , 214
com.fede.launcher.permission.READ_SETTINGS , 212
org.adw.launcher.permission.READ_SETTINGS , 212
com.motorola.dlauncher.permission.READ_SETTINGS , 211
com.motorola.launcher.permission.READ_SETTINGS , 211
com.lge.launcher.permission.INSTALL_SHORTCUT , 210
com.motorola.launcher.permission.INSTALL_SHORTCUT , 210
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 210
android.permission.MODIFY_AUDIO_SETTINGS , 209
com.android.launcher.permission.READ_SETTINGS , 208
com.android.launcher.permission.UNINSTALL_SHORTCUT , 191
android.webkit.permission.PLUGIN , 180
android.permission.DISABLE_KEYGUARD , 170
android.permission.WRITE_CONTACTS , 166
