permission , count
SUM , 162
android.permission.INTERNET , 150
android.permission.ACCESS_NETWORK_STATE , 122
android.permission.READ_EXTERNAL_STORAGE , 81
android.permission.WRITE_EXTERNAL_STORAGE , 78
android.permission.READ_PHONE_STATE , 73
android.permission.WAKE_LOCK , 52
android.permission.VIBRATE , 49
android.permission.ACCESS_WIFI_STATE , 29
android.permission.ACCESS_COARSE_LOCATION , 27
android.permission.ACCESS_FINE_LOCATION , 19
com.android.vending.BILLING , 15
android.permission.GET_ACCOUNTS , 14
com.google.android.c2dm.permission.RECEIVE , 13
com.android.vending.CHECK_LICENSE , 11
android.permission.CAMERA , 9
android.permission.GET_TASKS , 6
android.permission.DISABLE_KEYGUARD , 6
android.permission.BLUETOOTH , 6
android.webkit.permission.PLUGIN , 5
android.permission.RECEIVE_BOOT_COMPLETED , 5
com.android.launcher.permission.INSTALL_SHORTCUT , 4
android.permission.SYSTEM_ALERT_WINDOW , 4
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 4
android.permission.CHANGE_WIFI_STATE , 4
android.permission.RESTART_PACKAGES , 4
android.permission.CALL_PHONE , 3
android.permission.BLUETOOTH_ADMIN , 3
android.permission.SEND_SMS , 2
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 2
android.permission.BROADCAST_STICKY , 2
android.permission.SENSOR , 2
android.permission.RECEIVE_SMS , 2
com.appcookr.ditongs.permission.C2D_MESSAGE , 2
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 2
android.permission.RECORD_AUDIO , 2
android.permission.NETWORK_WIFI_STATE , 2
com.palmcrust.marblepop.validator.ACCESS , 2
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 1
com.yabra.googleplay.mimicroby.en.permission.C2D_MESSAGE , 1
com.anddoes.launcher.permission.WRITE_SETTINGS , 1
com.wVirtualEyeSurgery.permission.C2D_MESSAGE , 1
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 1
android.permission.CHANGE_CONFIGURATION , 1
com.lge.launcher.permission.INSTALL_SHORTCUT , 1
com.wVirtualArmSurgery.permission.C2D_MESSAGE , 1
android.permission.CHANGE_WIFI_MULTICAST_STATE , 1
org.adw.launcher.permission.READ_SETTINGS , 1
android.permission.WRITE_OWNER_DATA , 1
com.htc.launcher.permission.WRITE_SETTINGS , 1
android.permission.BATTERY_STATS , 1
android.permission.READ_LOGS , 1
android.permission.SET_WALLPAPER , 1
com.waroftanks.battlecommand.tankhero.tankbattles.permission.C2D_MESSAGE , 1
com.motorola.launcher.permission.INSTALL_SHORTCUT , 1
android.permission.SOUND , 1
android.permission.READ_CONTACTS , 1
com.truckdriver3d.simulator.truckpark.drive.permission.C2D_MESSAGE , 1
android.permission.CHANGE_NETWORK_STATE , 1
android.permission.ACCOUNT_MANAGER , 1
android.permission.KILL_BACKGROUND_PROCESSES , 1
com.android.launcher.permission.UNINSTALL_SHORTCUT , 1
android.permission.USE_CREDENTIALS , 1
com.whoopersoft.project300.permission.C2D_MESSAGE , 1
com.motorola.dlauncher.permission.READ_SETTINGS , 1
com.palmcrust.polyfrac.ACCESS , 1
com.palmcrust.polyfrac.validator.ACCESS , 1
com.sirqul.pocketadventures.permission.C2D_MESSAGE , 1
com.palmcrust.pers.ACCESS , 1
com.motorola.launcher.permission.WRITE_SETTINGS , 1
android.permission.READ_CALL_LOG , 1
com.fede.launcher.permission.WRITE_SETTINGS , 1
com.htc.launcher.permission.READ_SETTINGS , 1
org.adw.launcher.permission.WRITE_SETTINGS , 1
android.permission.INSTALL_PACKAGES , 1
android.permission.AUTHENTICATE_ACCOUNTS , 1
com.android.launcher.permission.READ_SETTINGS , 1
com.lge.launcher.permission.WRITE_SETTINGS , 1
android.permission.WRITE_SETTINGS , 1
android.permission.MODIFY_AUDIO_SETTINGS , 1
android.permission.BILLING , 1
com.teslacoilsw.launcher.permission.READ_SETTINGS , 1
com.motorola.launcher.permission.READ_SETTINGS , 1
com.motorola.dlauncher.permission.WRITE_SETTINGS , 1
com.wHeartSurgery2.permission.C2D_MESSAGE , 1
com.wVirtualHeartSurgery.permission.C2D_MESSAGE , 1
com.wVirtualLegSurgery.permission.C2D_MESSAGE , 1
com.fede.launcher.permission.READ_SETTINGS , 1
com.android.launcher.permission.WRITE_SETTINGS , 1
com.lge.launcher.permission.READ_SETTINGS , 1
vn.goplay.giacdau.permission.C2D_MESSAGE , 1
com.anddoes.launcher.permission.READ_SETTINGS , 1
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 1
android.permission-group.HARDWARE_CONTROLS , 1
