permission , count
SUM , 46787
android.permission.INTERNET , 42345
android.permission.ACCESS_NETWORK_STATE , 34956
android.permission.READ_EXTERNAL_STORAGE , 27404
android.permission.WRITE_EXTERNAL_STORAGE , 27321
android.permission.WAKE_LOCK , 13632
android.permission.READ_PHONE_STATE , 13180
android.permission.ACCESS_WIFI_STATE , 11058
android.permission.CHANGE_CONFIGURATION , 6287
android.permission.ACCESS_FINE_LOCATION , 5890
android.permission.ACCESS_COARSE_LOCATION , 5573
android.permission.SYSTEM_ALERT_WINDOW , 5107
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 4548
android.permission.VIBRATE , 4513
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 4340
android.permission.GET_ACCOUNTS , 3776
com.google.android.c2dm.permission.RECEIVE , 3618
com.android.vending.CHECK_LICENSE , 3318
com.android.vending.BILLING , 3111
android.permission.CAMERA , 2930
android.permission.RECEIVE_BOOT_COMPLETED , 2365
android.permission.GET_TASKS , 1960
android.permission.RECORD_AUDIO , 1960
android.permission.SET_WALLPAPER , 1802
android.permission.WRITE_SETTINGS , 1556
READ_PHONE_STATE , 1348
android.permission.CALL_PHONE , 1328
android.permission.CHANGE_WIFI_STATE , 1296
com.android.launcher.permission.INSTALL_SHORTCUT , 1201
android.permission.READ_CONTACTS , 1166
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1085
android.permission.WRITE_CONTACTS , 915
android.permission.MODIFY_AUDIO_SETTINGS , 857
android.permission.READ_CALL_LOG , 837
android.permission.WRITE_CALL_LOG , 680
android.permission.FLASHLIGHT , 635
android.permission.BROADCAST_STICKY , 625
android.permission.SEND_SMS , 605
android.webkit.permission.PLUGIN , 602
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 579
android.permission.READ_CALENDAR , 544
android.permission.WRITE_CALENDAR , 493
com.google.android.providers.gsf.permission.READ_GSERVICES , 483
android.permission.READ_LOGS , 483
android.permission.RECEIVE_SMS , 469
com.android.launcher.permission.READ_SETTINGS , 376
android.permission.ACCESS_MOCK_LOCATION , 360
android.permission.DISABLE_KEYGUARD , 352
android.permission.RECORD_VIDEO , 339
android.permission.RESTART_PACKAGES , 311
com.android.launcher.permission.UNINSTALL_SHORTCUT , 300
android.permission.USE_CREDENTIALS , 275
android.permission.INSTALL_PACKAGES , 240
com.sony.smallapp.permission.SMALLAPP , 240
android.permission.CHANGE_NETWORK_STATE , 237
android.permission.KILL_BACKGROUND_PROCESSES , 225
android.permission.WRITE_INTERNAL_STORAGE , 224
android.permission.BLUETOOTH , 223
android.permission.WRITE_OWNER_DATA , 149
android.permission.MANAGE_ACCOUNTS , 134
android.permission.READ_SMS , 124
android.permission.NFC , 120
com.slovoed.permission.NOTIFY_DISPATCHER , 116
android.permission.TELEPHONY_SERVICE , 109
android.permission.READ_OWNER_DATA , 106
