permission , count
SUM , 2274
android.permission.INTERNET , 2153
android.permission.ACCESS_NETWORK_STATE , 1928
android.permission.READ_EXTERNAL_STORAGE , 1053
android.permission.WRITE_EXTERNAL_STORAGE , 1044
android.permission.READ_PHONE_STATE , 764
android.permission.ACCESS_WIFI_STATE , 723
android.permission.WAKE_LOCK , 651
com.android.vending.BILLING , 452
android.permission.VIBRATE , 428
android.permission.GET_ACCOUNTS , 272
android.permission.ACCESS_COARSE_LOCATION , 240
com.google.android.c2dm.permission.RECEIVE , 237
android.permission.GET_TASKS , 169
android.permission.ACCESS_FINE_LOCATION , 163
com.android.vending.CHECK_LICENSE , 127
android.permission.RECEIVE_BOOT_COMPLETED , 96
android.permission.SYSTEM_ALERT_WINDOW , 88
android.permission.BLUETOOTH , 71
android.permission.BLUETOOTH_ADMIN , 53
android.permission.CAMERA , 49
com.android.launcher.permission.INSTALL_SHORTCUT , 45
android.permission.READ_CONTACTS , 44
android.permission.CHANGE_WIFI_STATE , 44
android.permission.DISABLE_KEYGUARD , 37
android.permission.RECORD_AUDIO , 34
android.permission.MODIFY_AUDIO_SETTINGS , 33
android.permission.WRITE_SETTINGS , 30
android.permission.RESTART_PACKAGES , 29
android.permission.CHANGE_NETWORK_STATE , 28
android.permission.USE_CREDENTIALS , 26
android.permission.READ_LOGS , 26
android.permission.READ_CALL_LOG , 25
android.permission.SEND_SMS , 24
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 23
android.permission.RECEIVE_SMS , 19
android.permission.CALL_PHONE , 17
android.permission.KILL_BACKGROUND_PROCESSES , 17
com.google.android.providers.gsf.permission.READ_GSERVICES , 15
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 14
android.permission.BROADCAST_STICKY , 13
android.permission.WRITE_APN_SETTINGS , 10
android.webkit.permission.PLUGIN , 9
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 9
com.example.gcm.permission.C2D_MESSAGE , 8
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 8
android.permission.MANAGE_ACCOUNTS , 7
android.permission.READ_CALENDAR , 7
android.permission.WRITE_CALENDAR , 7
com.tmoney.vending.INBILLING , 7
android.permission.DELETE_CACHE_FILES , 6
android.permission.SET_WALLPAPER , 6
org.onepf.openiab.permission.BILLING , 6
