permission , count
SUM , 3901
android.permission.INTERNET , 3829
android.permission.ACCESS_NETWORK_STATE , 3591
android.permission.READ_EXTERNAL_STORAGE , 2610
android.permission.WRITE_EXTERNAL_STORAGE , 2604
android.permission.READ_PHONE_STATE , 2029
android.permission.ACCESS_WIFI_STATE , 1757
android.permission.WAKE_LOCK , 1119
com.android.vending.BILLING , 1112
android.permission.VIBRATE , 601
android.permission.ACCESS_COARSE_LOCATION , 560
android.permission.GET_TASKS , 460
android.permission.GET_ACCOUNTS , 396
com.android.launcher.permission.INSTALL_SHORTCUT , 373
com.google.android.c2dm.permission.RECEIVE , 330
android.permission.ACCESS_FINE_LOCATION , 288
android.permission.RECEIVE_BOOT_COMPLETED , 220
android.permission.SYSTEM_ALERT_WINDOW , 218
com.android.vending.CHECK_LICENSE , 209
android.permission.SET_WALLPAPER , 163
android.permission.CAMERA , 150
android.permission.DISABLE_KEYGUARD , 129
android.permission.RECORD_AUDIO , 119
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 101
android.permission.WRITE_SETTINGS , 94
android.permission.MODIFY_AUDIO_SETTINGS , 87
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 76
android.permission.BLUETOOTH , 49
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 47
android.permission.CHANGE_CONFIGURATION , 47
android.permission.READ_LOGS , 36
android.permission.READ_CONTACTS , 30
android.permission.CHANGE_WIFI_STATE , 28
android.permission.WRITE_INTERNAL_STORAGE , 24
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 22
com.example.gcm.permission.C2D_MESSAGE , 21
android.permission.SET_ORIENTATION , 21
android.permission.DEVICE_POWER , 20
android.permission.RECORD_VIDEO , 19
android.permission.CALL_PHONE , 19
android.permission.BATTERY_STATS , 19
android.permission.BLUETOOTH_ADMIN , 16
android.permission.SEND_SMS , 15
android.permission.USE_CREDENTIALS , 14
android.permission.SET_WALLPAPER_HINTS , 13
android.webkit.permission.PLUGIN , 12
android.permission.CHANGE_NETWORK_STATE , 11
android.permission.ACCESS_COARSE_UPDATES , 10
android.permission.WRITE_CONTACTS , 10
com.amazon.device.messaging.permission.RECEIVE , 10
android.permission.READ_CALL_LOG , 10
android.permission.PERMISSION_NAME , 9
android.permission.ACCESS_COURSE_LOCATION , 9
android.permision.CAMERA , 8
android.permission.RESTART_PACKAGES , 8
com.google.android.providers.gsf.permission.READ_GSERVICES , 7
android.permission.ACCESS_GPS , 7
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 7
com.android.launcher.permission.UNINSTALL_SHORTCUT , 7
