permission , count
SUM , 720
android.permission.INTERNET , 682
android.permission.ACCESS_NETWORK_STATE , 615
android.permission.READ_EXTERNAL_STORAGE , 398
android.permission.WRITE_EXTERNAL_STORAGE , 384
android.permission.READ_PHONE_STATE , 291
android.permission.ACCESS_WIFI_STATE , 241
android.permission.WAKE_LOCK , 212
com.android.vending.BILLING , 171
android.permission.VIBRATE , 170
android.permission.ACCESS_COARSE_LOCATION , 115
android.permission.GET_ACCOUNTS , 79
com.android.vending.CHECK_LICENSE , 78
android.permission.ACCESS_FINE_LOCATION , 76
com.google.android.c2dm.permission.RECEIVE , 68
android.permission.RECORD_AUDIO , 55
android.permission.GET_TASKS , 43
android.permission.MODIFY_AUDIO_SETTINGS , 41
android.permission.RECEIVE_BOOT_COMPLETED , 28
android.permission.SYSTEM_ALERT_WINDOW , 25
android.permission.CAMERA , 24
android.permission.DISABLE_KEYGUARD , 21
android.permission.WRITE_SETTINGS , 19
android.permission.CHANGE_WIFI_STATE , 14
com.android.launcher.permission.INSTALL_SHORTCUT , 13
android.permission.USE_CREDENTIALS , 13
android.permission.BROADCAST_STICKY , 11
android.permission.WRITE_SYNC_SETTINGS , 10
android.permission.READ_CONTACTS , 10
android.permission.BLUETOOTH , 10
android.permission.READ_SYNC_SETTINGS , 10
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 10
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 9
android.permission.READ_LOGS , 7
android.permission.SET_WALLPAPER , 7
android.permission.RECEIVE_SMS , 6
android.permission.CHANGE_NETWORK_STATE , 6
android.permission.WRITE_INTERNAL_STORAGE , 5
android.permission.BLUETOOTH_ADMIN , 5
android.permission.READ_CALL_LOG , 5
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 4
com.amazon.device.messaging.permission.RECEIVE , 4
android.permission.READ_SMS , 4
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 4
android.permission.CHANGE_CONFIGURATION , 3
android.permission.HARDWARE_TEST , 3
android.permission.SET_ORIENTATION , 3
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 3
android.permission.WRITE_SMS , 3
com.android.launcher.permission.UNINSTALL_SHORTCUT , 3
android.permission.ACCESS_CACHE_FILESYSTEM , 3
android.permission.BATTERY_STATS , 3
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS , 2
