permission , count
SUM , 39083
android.permission.INTERNET , 36153
android.permission.ACCESS_NETWORK_STATE , 31315
android.permission.READ_EXTERNAL_STORAGE , 18264
android.permission.WRITE_EXTERNAL_STORAGE , 18202
android.permission.READ_PHONE_STATE , 15296
android.permission.ACCESS_WIFI_STATE , 9141
android.permission.WAKE_LOCK , 7986
android.permission.VIBRATE , 7067
com.android.vending.BILLING , 5042
android.permission.ACCESS_COARSE_LOCATION , 4407
android.permission.GET_ACCOUNTS , 3559
android.permission.ACCESS_FINE_LOCATION , 3428
com.google.android.c2dm.permission.RECEIVE , 2473
com.android.vending.CHECK_LICENSE , 1809
android.permission.GET_TASKS , 1790
android.permission.RECEIVE_BOOT_COMPLETED , 1381
android.permission.CAMERA , 1126
android.permission.RECORD_AUDIO , 1088
android.permission.SET_WALLPAPER , 1031
com.android.launcher.permission.INSTALL_SHORTCUT , 771
android.permission.SYSTEM_ALERT_WINDOW , 704
android.permission.DISABLE_KEYGUARD , 698
android.permission.READ_CONTACTS , 630
android.permission.MODIFY_AUDIO_SETTINGS , 616
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 559
android.permission.BROADCAST_STICKY , 455
android.permission.READ_CALL_LOG , 392
android.permission.BLUETOOTH , 384
android.permission.READ_LOGS , 333
android.permission.CHANGE_WIFI_STATE , 329
android.permission.WRITE_SETTINGS , 328
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 287
android.permission.SET_WALLPAPER_HINTS , 270
android.permission.CALL_PHONE , 261
android.permission.RECEIVE_SMS , 238
com.android.launcher.permission.UNINSTALL_SHORTCUT , 227
android.permission.BLUETOOTH_ADMIN , 223
android.permission.SET_ORIENTATION , 203
android.permission.SEND_SMS , 197
android.permission.USE_CREDENTIALS , 193
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 191
android.permission.WRITE_CONTACTS , 183
android.permission.CHANGE_NETWORK_STATE , 176
android.permission.BATTERY_STATS , 152
android.permission.DEVICE_POWER , 148
android.permission.RESTART_PACKAGES , 143
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 131
android.permission.WRITE_CALL_LOG , 119
android.permission.WRITE_INTERNAL_STORAGE , 119
com.example.gcm.permission.C2D_MESSAGE , 104
android.permission.ACCESS_LOCATION , 94
com.android.launcher.permission.READ_SETTINGS , 94
android.permission.RECORD_VIDEO , 92
android.webkit.permission.PLUGIN , 88
android.permission.KILL_BACKGROUND_PROCESSES , 86
android.permission.WRITE_OWNER_DATA , 82
android.permission.FLASHLIGHT , 79
com.google.android.providers.gsf.permission.READ_GSERVICES , 77
com.play.app.permission.C2D_MESSAGE , 77
android.permission.READ_OWNER_DATA , 71
com.htc.launcher.permission.READ_SETTINGS , 67
com.motorola.launcher.permission.READ_SETTINGS , 66
com.lge.launcher.permission.INSTALL_SHORTCUT , 65
com.fede.launcher.permission.READ_SETTINGS , 65
com.motorola.dlauncher.permission.READ_SETTINGS , 65
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 65
com.lge.launcher.permission.READ_SETTINGS , 65
android.permission.MANAGE_ACCOUNTS , 65
org.adw.launcher.permission.READ_SETTINGS , 65
com.motorola.launcher.permission.INSTALL_SHORTCUT , 64
android.permission.ACCESS_MOCK_LOCATION , 63
