permission , count
SUM , 2056
android.permission.INTERNET , 2009
android.permission.ACCESS_NETWORK_STATE , 1870
android.permission.READ_EXTERNAL_STORAGE , 1041
android.permission.WRITE_EXTERNAL_STORAGE , 1036
android.permission.READ_PHONE_STATE , 740
android.permission.ACCESS_WIFI_STATE , 689
com.android.vending.BILLING , 683
android.permission.WAKE_LOCK , 418
android.permission.VIBRATE , 413
android.permission.GET_ACCOUNTS , 269
android.permission.ACCESS_COARSE_LOCATION , 242
com.google.android.c2dm.permission.RECEIVE , 226
android.permission.ACCESS_FINE_LOCATION , 153
android.permission.RECEIVE_BOOT_COMPLETED , 136
android.permission.GET_TASKS , 130
com.android.vending.CHECK_LICENSE , 101
com.android.launcher.permission.INSTALL_SHORTCUT , 55
android.permission.SYSTEM_ALERT_WINDOW , 52
android.permission.WRITE_INTERNAL_STORAGE , 39
android.permission.MODIFY_AUDIO_SETTINGS , 38
android.permission.READ_CONTACTS , 37
android.permission.RECORD_AUDIO , 36
android.permission.DISABLE_KEYGUARD , 27
android.permission.USE_CREDENTIALS , 27
android.permission.BLUETOOTH , 26
android.permission.CAMERA , 25
android.permission.RECEIVE_SMS , 22
com.google.android.providers.gsf.permission.READ_GSERVICES , 21
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 19
android.permission.READ_LOGS , 17
com.android.launcher.permission.UNINSTALL_SHORTCUT , 17
android.permission.BLUETOOTH_ADMIN , 17
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 15
android.permission.SET_ORIENTATION , 14
com.sec.android.iap.permission.BILLING , 14
android.permission.KILL_BACKGROUND_PROCESSES , 13
android.permission.MANAGE_ACCOUNTS , 13
android.permission.BROADCAST_STICKY , 12
android.permission.CHANGE_WIFI_STATE , 12
android.webkit.permission.PLUGIN , 11
android.permission.READ_CALL_LOG , 11
com.tmoney.vending.INBILLING , 11
android.permission.WRITE_EXTERNALS_STORAGE , 10
com.sec.android.provider.badge.permission.READ , 9
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 9
com.sec.android.provider.badge.permission.WRITE , 9
android.permission.DEVICE_POWER , 9
android.permission.WRITE_SETTINGS , 8
android.permission.RECORD_VIDEO , 8
android.permission.CHANGE_NETWORK_STATE , 8
android.permission.SEND_SMS , 8
android.permission.AUTHENTICATE_ACCOUNTS , 8
android.permission.CALL_PHONE , 7
com.example.gcm.permission.C2D_MESSAGE , 7
android.permission.WRITE_CONTACTS , 7
com.amazon.device.messaging.permission.RECEIVE , 7
android.permission.BATTERY_STATS , 7
org.onepf.openiab.permission.BILLING , 6
android.permission.ACCESS_MOCK_LOCATION , 5
android.permission.SET_WALLPAPER , 5
android.permission.READ_INTERNAL_STORAGE , 4
com.sixwaves.imagepop.permission.C2D_MESSAGE , 4
android.permission.RESTART_PACKAGES , 4
com.android.alarm.permission.SET_ALARM , 4
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 4
com.shoong.study.eduword.cp.voca.Permission.READ , 3
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 3
android.permission.WRITE_CALL_LOG , 3
com.android.launcher.permission.READ_SETTINGS , 3
mobi.mgeek.TunnyBrowser.permission.WRITE_HISTORY_BOOKMARKS , 2
android.permission.WRITE_HISTORY_BOOKMARKS , 2
android.permission.GET_TOP_ACTIVITY_INFO , 2
android.permission.UNINSTALL_SHORTCUT , 2
org.mozilla.firefox.permissions.BROWSER_PROVIDER , 2
android.permission.NFC , 2
android.permission.WRITE , 2
android.permission.INSTALL_SHORTCUT , 2
android.permission.ACCOUNT_MANAGER , 2
android.permission.ACCESS_COURSE_LOCATION , 2
android.permission.READ_HISTORY_BOOKMARKS , 2
android.permission.READ_INPUT_STATE , 2
