permission , count
SUM , 14074
android.permission.INTERNET , 13270
android.permission.ACCESS_NETWORK_STATE , 11425
android.permission.READ_EXTERNAL_STORAGE , 9571
android.permission.WRITE_EXTERNAL_STORAGE , 9479
android.permission.WAKE_LOCK , 5512
android.permission.READ_PHONE_STATE , 5474
android.permission.ACCESS_WIFI_STATE , 5150
com.google.android.c2dm.permission.RECEIVE , 2727
android.permission.VIBRATE , 2606
android.permission.GET_ACCOUNTS , 2484
android.permission.ACCESS_COARSE_LOCATION , 2410
android.permission.CAMERA , 2357
android.permission.ACCESS_FINE_LOCATION , 2310
android.permission.GET_TASKS , 1744
android.permission.RECORD_AUDIO , 1374
android.permission.RECEIVE_BOOT_COMPLETED , 1255
android.permission.CALL_PHONE , 960
android.permission.WRITE_SETTINGS , 801
android.permission.CHANGE_WIFI_STATE , 749
android.permission.DISABLE_KEYGUARD , 736
android.permission.SYSTEM_ALERT_WINDOW , 718
android.permission.MODIFY_AUDIO_SETTINGS , 584
com.android.launcher.permission.INSTALL_SHORTCUT , 576
android.permission.PROCESS_OUTGOING_CALLS , 555
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 539
android.permission.SET_WALLPAPER , 530
com.android.vending.BILLING , 529
com.android.vending.CHECK_LICENSE , 450
android.permission.CHANGE_WIFI_MULTICAST_STATE , 450
android.permission.FLASHLIGHT , 426
android.permission.READ_LOGS , 392
android.permission.READ_CONTACTS , 375
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 357
android.permission.CHANGE_NETWORK_STATE , 342
android.webkit.permission.PLUGIN , 329
android.permission.WRITE_CONTACTS , 287
android.permission.BROADCAST_STICKY , 282
com.google.android.providers.gsf.permission.READ_GSERVICES , 281
android.permission.RESTART_PACKAGES , 281
android.permission.USE_CREDENTIALS , 274
android.permission.READ_CALL_LOG , 238
android.permission.BLUETOOTH , 213
android.permission.CHANGE_CONFIGURATION , 212
android.permission.SEND_SMS , 199
android.permission.KILL_BACKGROUND_PROCESSES , 189
com.android.launcher.permission.UNINSTALL_SHORTCUT , 174
android.permission.RECEIVE_SMS , 165
android.permission.WRITE_CALL_LOG , 162
android.permission.RECORD_VIDEO , 155
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 149
com.amazon.device.messaging.permission.RECEIVE , 139
android.permission.MANAGE_ACCOUNTS , 124
android.permission.ACCESS_MOCK_LOCATION , 118
android.permission.BLUETOOTH_ADMIN , 117
android.permission.READ_CALENDAR , 116
android.permission.WRITE_OWNER_DATA , 106
com.android.launcher.permission.READ_SETTINGS , 102
android.permission.WRITE_CALENDAR , 99
android.permission.DEVICE_POWER , 95
android.permission.SET_WALLPAPER_HINTS , 90
android.permission.INSTALL_PACKAGES , 90
android.permission.ACCESS_SURFACE_FLINGER , 81
android.permission.WRITE_INTERNAL_STORAGE , 81
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 70
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 65
android.permission.WRITE_APN_SETTINGS , 65
com.aag.source.permission.C2D_MESSAGE , 63
android.permission.AUTHENTICATE_ACCOUNTS , 61
android.permission.READ_SMS , 58
android.permission.SET_ORIENTATION , 52
android.permission.READ_OWNER_DATA , 51
android.permission.STORAGE , 46
android.permission.BATTERY_STATS , 44
android.permission.WRITE_SYNC_SETTINGS , 44
android.permission.READ_SYNC_SETTINGS , 42
android.permission.NFC , 37
android.permission.EXPAND_STATUS_BAR , 35
android.permission.WRITE , 33
android.permission.RECEIVE_USER_PRESENT , 32
android.permission.INTERACT_ACROSS_USERS_FULL , 30
android.permission.REORDER_TASKS , 30
android.permission.RAISED_THREAD_PRIORITY , 28
com.htc.launcher.permission.READ_SETTINGS , 27
android.permission.ACCESS_DOWNLOAD_MANAGER , 27
android.permission.UPDATE_DEVICE_STATS , 26
android.permission.ACCESS_GPS , 24
com.fede.launcher.permission.READ_SETTINGS , 24
com.lge.launcher.permission.READ_SETTINGS , 24
android.permission.CLEAR_APP_CACHE , 24
org.adw.launcher.permission.READ_SETTINGS , 24
com.lge.launcher.permission.INSTALL_SHORTCUT , 23
android.permission.WRITE_SMS , 23
com.motorola.launcher.permission.INSTALL_SHORTCUT , 23
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 23
com.motorola.launcher.permission.READ_SETTINGS , 21
com.motorola.dlauncher.permission.READ_SETTINGS , 21
android.permission.MODIFY_PHONE_STATE , 21
android.permission.DELETE_CACHE_FILES , 20
android.permission.READ_SYNC_STATS , 20
com.android.launcher.permission.WRITE_SETTINGS , 20
com.android.alarm.permission.SET_ALARM , 20
android.permission.WRITE_SECURE_SETTINGS , 19
android.permission.ACCESS_LOCATION , 19
com.tutk.P2PCamLive.permission.C2D_MESSAGE , 18
com.google.android.googleapps.permission.GOOGLE_AUTH , 18
