permission , count
SUM , 39351
android.permission.INTERNET , 29074
android.permission.ACCESS_NETWORK_STATE , 26755
android.permission.READ_EXTERNAL_STORAGE , 21730
android.permission.WRITE_EXTERNAL_STORAGE , 20978
android.permission.READ_PHONE_STATE , 15089
android.permission.SET_WALLPAPER , 12019
android.permission.ACCESS_WIFI_STATE , 10916
android.permission.WAKE_LOCK , 7351
android.permission.VIBRATE , 7330
android.permission.RECEIVE_BOOT_COMPLETED , 6113
android.permission.GET_ACCOUNTS , 5536
android.permission.ACCESS_COARSE_LOCATION , 4364
android.permission.ACCESS_FINE_LOCATION , 4118
com.google.android.c2dm.permission.RECEIVE , 3618
com.android.launcher.permission.INSTALL_SHORTCUT , 3539
android.permission.GET_TASKS , 3382
com.android.vending.CHECK_LICENSE , 3090
android.permission.SET_WALLPAPER_HINTS , 2742
android.permission.SYSTEM_ALERT_WINDOW , 2637
android.permission.WRITE_SETTINGS , 2020
android.permission.READ_CONTACTS , 1806
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 1782
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 1631
android.permission.READ_CALL_LOG , 1318
android.permission.CALL_PHONE , 1302
com.android.vending.BILLING , 1175
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 1123
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1024
android.permission.DISABLE_KEYGUARD , 1016
android.permission.CAMERA , 899
android.permission.CHANGE_WIFI_STATE , 712
android.permission.EXPAND_STATUS_BAR , 698
android.permission.RECORD_AUDIO , 695
android.permission.READ_LOGS , 637
android.permission.READ_SMS , 593
android.permission.BLUETOOTH , 580
android.permission.WRITE_CONTACTS , 574
android.permission.RECEIVE_SMS , 568
android.permission.BIND_APPWIDGET , 432
android.permission.BLUETOOTH_ADMIN , 428
android.permission.SEND_SMS , 413
android.permission.MODIFY_AUDIO_SETTINGS , 395
android.permission.CHANGE_NETWORK_STATE , 341
com.android.launcher.permission.READ_SETTINGS , 339
android.permission.WRITE_CALL_LOG , 327
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 326
com.android.launcher.permission.UNINSTALL_SHORTCUT , 307
android.permission.READ_CALENDAR , 268
android.permission.ACCESS_MOCK_LOCATION , 267
android.permission.FLASHLIGHT , 266
android.permission.CHANGE_CONFIGURATION , 230
android.permission.RESTART_PACKAGES , 228
com.android.alarm.permission.SET_ALARM , 225
android.permission.KILL_BACKGROUND_PROCESSES , 217
com.google.android.providers.gsf.permission.READ_GSERVICES , 214
android.permission.PROCESS_OUTGOING_CALLS , 194
android.permission.MANAGE_ACCOUNTS , 163
android.permission.MODIFY_PHONE_STATE , 162
org.adw.launcher.permission.READ_SETTINGS , 155
android.permission. , 152
com.htc.launcher.permission.READ_SETTINGS , 151
android.permission.BATTERY_STATS , 151
android.permission.BROADCAST_STICKY , 148
android.permission.WRITE_SMS , 148
com.fede.launcher.permission.READ_SETTINGS , 148
android.permission.WRITE_CALENDAR , 143
android.permission.BIND_WALLPAPER , 139
com.lge.launcher.permission.READ_SETTINGS , 137
android.permission.PERSISTENT_ACTIVITY , 128
com.motorola.launcher.permission.READ_SETTINGS , 127
com.motorola.dlauncher.permission.READ_SETTINGS , 127
com.lge.launcher.permission.INSTALL_SHORTCUT , 123
android.permission.READ_SYNC_SETTINGS , 123
com.motorola.launcher.permission.INSTALL_SHORTCUT , 122
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 120
android.permission.REORDER_TASKS , 119
android.permission.WRITE_SYNC_SETTINGS , 119
com.android.launcher.permission.WRITE_SETTINGS , 113
android.permission.WRITE_OWNER_DATA , 109
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 107
android.permission.WRITE_INTERNAL_STORAGE , 106
android.permission.USE_CREDENTIALS , 100
android.webkit.permission.PLUGIN , 87
com.jb.gokeyboard.theme.tmekbdcolor.permission.C2D_MESSAGE , 86
android.permission.WRITE_SECURE_SETTINGS , 78
com.google.android.gm.permission.READ_CONTENT_PROVIDER , 77
com.celltick.lockscreen.permission.C2D_MESSAGE , 76
android.permission.CLEAR_APP_CACHE , 72
android.permission.SET_WALLPAPER_HINT , 70
android.permission.FLAG_ACTIVITY_NEW_TASK , 64
android.permission.RECORD_VIDEO , 61
android.permission.ACCESS_SUPERUSER , 56
android.permission.DEVICE_POWER , 53
android.permission.SET_PREFERRED_APPLICATIONS , 53
android.permission.RECEIVE_MMS , 53
com.anddoes.launcher.permission.READ_SETTINGS , 48
com.teslacoilsw.launcher.permission.READ_SETTINGS , 47
android.permission.ACCESS_GPS , 43
org.adw.launcher.permission.WRITE_SETTINGS , 43
android.permission.ACCESS_LOCATION , 43
android.permission.READ_USER_DICTIONARY , 42
android.permission.STATUS_BAR , 42
android.permission.ACCESS_ASSISTED_GPS , 42
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 42
com.fede.launcher.permission.WRITE_SETTINGS , 41
android.permission.READ_PROFILE , 41
com.skt.sptagentgl.ThemeProvider.THEME , 41
android.permission.NFC , 40
android.permission.ACCESS_DOWNLOAD_MANAGER , 40
com.htc.launcher.permission.WRITE_SETTINGS , 39
com.lge.launcher.permission.WRITE_SETTINGS , 39
android.permission.WRITE_USER_DICTIONARY , 39
com.amazon.device.messaging.permission.RECEIVE , 38
com.motorola.dlauncher.permission.WRITE_SETTINGS , 38
android.permission.INSTALL_PACKAGES , 38
com.motorola.launcher.permission.WRITE_SETTINGS , 38
android.permission.READ_SETTINGS , 37
android.permission.ACCESS_CORSE_LOCATION , 36
sg.ruqqq.XThemeEngine.permission.SYSTEM_THEME , 31
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 31
android.permission.GET_PACKAGE_SIZE , 31
android.permission.SET_WALLPAPER_COMPONENT , 30
com.anddoes.launcher.permission.WRITE_SETTINGS , 30
com.aswidget.android.themewidget.permission , 29
android.permission.CALL_PRIVILEGED , 29
android.permission.MANAGE_DOCUMENTS , 28
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 27
.permission.C2D_MESSAGE , 26
android.permission.WRITE_APN_SETTINGS , 26
android.permission.WRITE_PROFILE , 24
android.permission.STORAGE , 24
android.permission.AUTHENTICATE_ACCOUNTS , 23
android.permission.ACCESS_FINE_LOCATON , 23
livewallpaper , 22
android.permission.BIND_ACCESSIBILITY_SERVICE , 22
android.permission.RAISED_THREAD_PRIORITY , 21
android.permission.HARDWARE_TEST , 21
android.permission.READ_SYNC_STATS , 20
android.permission.DELETE_PACKAGES , 19
android.permission.READ_OWNER_DATA , 19
android.permission.REBOOT , 19
com.google.android.permission.PROVIDE_BACKGROUND , 19
com.sec.android.provider.badge.permission.READ , 18
com.android.launcher3.permission.READ_SETTINGS , 17
android.permission.INTERACT_ACROSS_USERS_FULL , 17
android.permission.ALARM_ACTION , 17
com.fsck.k9.permission.READ_MESSAGES , 15
android.permission.UPDATE_DEVICE_STATS , 15
READ_PHONE_STATE , 15
org.adwfreak.launcher.permission.READ_SETTINGS , 15
android.permission.RECEIVE_WAP_PUSH , 14
android.permission.BIND_DEVICE_ADMIN , 14
com.google.android.gm.permission.READ_GMAIL , 13
android.permission.FLAG_SHOW_WHEN_LOCKED , 13
android.permission.RECEIVE_USER_PRESENT , 12
android.permission.ACCESS_SURFACE_FLINGER , 12
android.permission.ACCESS_BACKGROUND_SERVICE , 12
com.sdmmllc.superdupersmsmanager.SEND_SMS , 11
android.permission.ACCESS_CHECKIN_PROPERTIES , 11
com.sdmmllc.superdupersmsmanager.WRITE_SMS , 11
com.sec.android.iap.permission.BILLING , 11
android.permission.ACCESS_COARSE_UPDATES , 11
android.permission.READ_INTERNAL_STORAGE , 11
android.permission.INTERACT_ACROSS_USERS , 10
org.adw.launcher_donut.permission.READ_SETTINGS , 10
android.permission.FORCE_STOP_PACKAGES , 10
android.permission.PROCESS_INCOMING_CALLS , 10
android.hardware.camera.autofocus , 9
android.permission.MOUNT_FORMAT_FILESYSTEMS , 9
android.permission.ACCOUNT_MANAGER , 9
android.permission.CHANGE_WIFI_MULTICAST_STATE , 9
android.hardware.sensor.accelerometer , 8
android.permission.SET_DEBUG_APP , 8
com.legion2app.biznes.s.permission.C2D_MESSAGE , 8
net.qihoo.launcher.permission.READ_SETTINGS , 8
android.permission.ACCESS_WAKE_LOCK , 8
com.tencent.qqlauncher.permission.READ_SETTINGS , 8
android.permission.INSTALL_LOCATION_PROVIDER , 8
com.google.android.apps.photos.permission.GOOGLE_PHOTOS , 8
android.permission.ADD_SYSTEM_SERVICE , 8
android.permission.ACCESS_COARSE , 7
com.qihoo360.launcher.permission.READ_SETTINGS , 7
com.androidhive.pushnotifications.permission.C2D_MESSAGE , 7
android.permission.ACCESS_WIMAX_STATE , 7
android.permission.SYSTEM_OVERLAY_WINDOW , 7
com.google.android.providers.gmail.permission.READ_GMAIL , 7
android.permission.READ_MMS , 7
com.android.launcher3.permission.WRITE_SETTINGS , 7
android.permission.PHONE_STATE , 7
android.permission.CONTROL_LOCATION_UPDATES , 7
android.permission.INTERNAL_SYSTEM_WINDOW , 7
android.permission.BIND_INPUT_METHOD , 6
android.permission.BILLING , 6
com.example.routemap.permission.MAPS_RECEIVE , 6
com.huawei.launcher2.permission.READ_SETTINGS , 6
com.mobilesoft.mstfemmelivewallpaper.permission.C2D_MESSAGE , 6
android.permission.RIDE_EXTERNAL_STORAGE , 6
net.dinglisch.android.tasker.PERMISSION_RUN_TASKS , 6
android.software.live_wallpaper , 6
com.android.browser.permission.ACCESS_FINE_LOCATION , 6
com.android.browser.permission.ACCESS_COARSE_LOCATION , 6
android.permission.INSTALL_DRM , 6
cn.fmsoft.launcher.permission.READ_SETTINGS , 6
com.kakao.home.permission.READ_SETTINGS , 6
android.hardware.camera , 6
android.permission.DISABLE_STATUS_BAR , 6
com.google.android.gallery3d.permission.GALLERY_PROVIDER , 6
android.permission.APPWIDGET_LIST , 5
com.cyanogenmod.trebuchet.permission.READ_SETTINGS , 5
tw.com.visionet.vngiguide.permission.MAPS_RECEIVE , 5
android.permission.READ_SOCIAL_STREAM , 5
android.net.conn.CONNECTIVITY_CHANGE , 5
android.permission.READ_SECURE_SETTINGS , 5
com.the7art.clockwallpaperlib.permission.PUSH_MESSAGE_RECEIVE , 5
com.android.launcher3.permission.RECEIVE_LAUNCH_BROADCASTS , 5
android.permission.ACCES_MOCK_LOCATION , 5
mobi.espier.launchercommon.permission.LICENSE_CHECKER , 5
android.permission.CHANGE_WIMAX_STATE , 5
android.permission.SUBSCRIBED_FEEDS_READ , 5
android.permission.DUMP , 5
com.google.android.googleapps.permission.GOOGLE_AUTH , 5
com.google.android.c2dm.permission.REGISTER , 5
android.permission.USES_POLICY_FORCE_LOCK , 5
android.permission.SET_ORIENTATION , 5
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 5
android.permission.BAIDU_LOCATION_SERVICE , 5
com.google.android.apps.dashclock.permission.READ_EXTENSION_DATA , 5
com.android.launcher2.permission.READ_SETTINGS , 5
cn.fmsoft.launcher.permission.WRITE_SETTINGS , 5
android.permission.SET_TIME_ZONE , 5
org.zeam.permission.READ_SETTINGS , 5
com.qihoo360.screenlock.permission.READ_LOCAL_THEME , 4
android.permission.CLEAR_APP_USER_DATA , 4
android.permission.DIAL , 4
android.intent.action.ACTION_POWER_DISCONNECTED , 4
com.android.mylauncher.permission.READ_SETTINGS , 4
android.permission.Set_WALLPAPER_HINTS , 4
com.huawei.android.launcher.permission.READ_SETTINGS , 4
com.android.ContactWidget.permission.READ_SETTINGS , 4
android.permission.ACCESS_ALL_DOWNLOADS , 4
com.android.email.permission.ACCESS_PROVIDER , 4
android.intent.action.ACTION_POWER_CONNECTED , 4
android.permission.ANSWER_PHONE , 4
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 4
android.permission.BROADCAST_PACKAGE_REMOVED , 4
com.oppo.launcher.permission.READ_SETTINGS , 4
com.qihoo360.screenlock.permission.WRITE_LOCAL_THEME , 4
com.sec.android.provider.badge.permission.WRITE , 4
com.android.vending.CHECK_LICENCE , 4
android.permission.WRITE , 3
com.qihoo360.launcher.permission.WRITE_SETTINGS , 3
android.permission.ACCESS_CACHE_FILESYSTEM , 3
android.permission.PREVENT_POWER_KEY , 3
com.sec.android.app.launcher.permission.READ_SETTINGS , 3
com.vlife.wallpaper.permission.IPC , 3
jp.co.bii.android.app.dskvzr.CONFGURE , 3
mobi.intuitit.android.stock.launcher.permission.READ_SETTINGS , 3
com.goodbarber.v2.permission.MAPS_RECEIVE , 3
com.dianxinos.dxhome.permission.READ_SETTINGS , 3
com.gxapplications.android.gxsuite.switches.UPDATER , 3
android.permission.SUBSCRIBED_FEEDS_WRITE , 3
com.google.android.apps.googlevoice.permission.RECEIVE_SMS , 3
com.kakao.home.permission.WRITE_SETTINGS , 3
robj.floating.notifications.EXTENSION , 3
android.permission.DELETE_CACHE_FILES , 3
net.qihoo.launcher.permission.WRITE_SETTINGS , 3
huawei.android.permission.HW_SIGNATURE_OR_SYSTEM , 3
org.onepf.openiab.permission.BILLING , 3
cydia.permission.SUBSTRATE , 3
iandroid.permission.STATUS_BAR_SERVICE , 3
org.zeam.permission.WRITE_SETTINGS , 3
android.permission.LOCATION_HARDWARE , 3
android.permission.USE_SIP , 3
android.permission.GET_TOP_ACTIVITY_INFO , 3
com.slidelock.permission.C2D_MESSAGE , 3
android.permission.STOP_APP_SWITCHES , 3
android.permission.SETWALLPAPER , 3
mobi.intuitit.android.stock.launcher.permission.WRITE_SETTINGS , 3
android.permission.CHANGE_BACKGROUND_DATA_SETTING , 3
android.permission.SIGNAL_PERSISTENT_PROCESSES , 3
com.android.ContactWidget.permission.WRITE_SETTINGS , 3
com.google.android.apps.googlevoice.permission.SEND_SMS , 3
android.permission.ACCESS_DRM , 2
android.permission.SET_PROCESS_LIMIT , 2
mobi.intuitit.android.x.launcher.permission.READ_SETTINGS , 2
com.motorola.blur.contacts.permission.SOCIAL_CONTACT_READ , 2
home.solo.launcher.free.permission.READ_SETTINGS , 2
android.permission.START_BACKGROUND_SERVICE , 2
com.fancy01.myprofiles.permission.MAPS_RECEIVE , 2
permission.BATTERY_STATS , 2
android.permission.ACCESS_COURSE_LOCATION , 2
com.gau.go.launcherex.permission.READ_SETTINGS , 2
android.appwidget.action.APPWIDGET_CONFIGURE , 2
oosic.permission.USE_PRODUCT_CERTIFICATE_SERVICE , 2
android.permission.READ_INTERNAL_STROAGE , 2
com.xolo.gcmclient.permission.C2D_MESSAGE , 2
telecom.mdesk.permission.READ_SETTINGS , 2
org.mozilla.firefox.permissions.BROWSER_PROVIDER , 2
com.nnc.launcher.permission.READ_SETTINGS , 2
android.permission.SET_ANIMATION_SCALE , 2
android.permission.BACKUP , 2
com.google.android.providers.talk.permission.READ_ONLY , 2
jp.nos.wedget.full.permission.C2D_MESSAGE , 2
com.ebproductions.android.launcher.permission.READ_SETTINGS , 2
digimate.me.livewallpaper.christmas.permission.C2D_MESSAGE , 2
jp.co.yahoo.android.ybrowser.permission.LOGIN , 2
android.Manifest.permission.RECEIVE_BOOT_COMPLETED , 2
android.permission.PICK_CONTACT , 2
android.permission.BIND_WIDGET , 2
com.htc.idlescreen.permission.IDLESCREEN_SERVICE , 2
com.servtified.wallpapers_lib.permission.C2D_MESSAGE , 2
android.permission.CONNECTIVITY_CHANGE , 2
android.permission.WRITE_INTERNAL_STROAGE , 2
com.gridappsinc.permission.SEND_DOWNLOAD_COMPLETED_INTENTS , 2
android.permission.android.hardware.sensor.accelerometer , 2
com.sec.android.app.browser.permission.HOMEPAGE , 2
com.example.mapdemo.permission.MAPS_RECEIVE , 2
android.permission.ACCESS_WEATHERCLOCK_PROVIDER , 2
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS , 2
com.htc.task , 2
com.cygery.android.permission.sharedpreferences.provider.ACCESS_DATA , 2
com.example.gcm.permission.C2D_MESSAGE , 2
com.google.android.googleapps.permission.GOOGLE_AUTH.mail , 2
com.go.glwidget.settings.permission.WRITE_SETTINGS , 2
com.apps.applocks.permission.C2D_MESSAGE , 2
android.permission.READ_HISTORY_BOOKMARKS , 2
uses.permission.ACCESS_NETWORK_STATE , 2
org.dayup.gtask.permission.READ_TASKS , 2
com.joaomgcd.permission.CHECK_LICENSE , 2
dianxin.permission.ACCESS_LAUNCHER_DATA , 2
tinker.permission.REFRESH , 2
com.gridappsinc.permission.ACCESS_DOWNLOAD_MANAGER , 2
com.go.glwidget.settings.permission.READ_SETTINGS , 2
com.kaitenmail.permission.READ_MESSAGES , 2
android.permission.UNINSTALL_SHORTCUT , 2
mobi.intuitit.android.x.launcher.permission.WRITE_SETTINGS , 2
android.permission.BOOT_COMPLETED , 2
android.permission.BROADCAST_PACKAGE_ADDED , 2
jp.co.sharp.android.home.permission.READ_SETTINGS , 2
org.c_base.c_beam.permission.NOTIFICATION , 2
android.permission.WRITE_HISTORY_BOOKMARKS , 2
android.permission.READ_NOTES , 2
com.gridappsinc.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED , 2
iandroid.permission.NOTIFICATION_SERVICE_CALLBACK , 2
android.permission.INJECT_EVENTS , 2
android.permission.READ_INPUT_STATE , 2
com.verizon.vcast.apps.VCAST_APPS_LICENSE_SERVICE , 2
com.nnc.launcher.permission.WRITE_SETTINGS , 2
com.google.android.gm.permission.WRITE_GMAIL , 2
android.permission.INSTALL_SHORTCUT , 2
com.sonyericsson.home.permission.BROADCAST_BADGE , 2
com.itchyfingerzfree.vybe.receivers.permission.C2D_MESSAGE , 2
android.permission.CONFIGURE_SIP , 2
com.levelup.beautifulwidgets.free.permission.MAPS_RECEIVE , 2
com.MUSE.permission.GET_STYLE , 2
android.permission.CAMERA.FRONT , 2
iandroid.permission.SPRINGBOARD_SERVICE , 2
android.permission.UPDATE_APP_OPS_STATS , 2
com.todoroo.astrid.READ , 2
android.permission.GLOBAL_SEARCH , 2
com.andcreate.app.fliplauncher_plus.permission.DIRECT_CALL , 2
jp.co.sharp.android.home.permission.WRITE_SETTINGS , 2
android.intent.action.CREATE_SHORTCUT , 2
com.sony.smallapp.permission.SMALLAPP , 2
com.android.launcher2.permission.WRITE_SETTINGS , 2
android.permission.READ_FRAME_BUFFER , 2
android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED , 2
android.hardware.sensor.gravity , 2
android.permission.NETWORK_STATE , 2
com.devuni.flashlight.CONTROL_LIGHT , 2
com.sec.android.app.launcher.permission.WRITE_SETTINGS , 2
com.sergiysatill.bentleymodelslivewallpaper.permission.C2D_MESSAGE , 1
com.oxysweet11.sakuramagiclivewallpaper.permission.C2D_MESSAGE , 1
android.permission.WIFI_ADMIN , 1
com.jb.gokeyboard.theme.tmemarshmallokeyboard.permission.C2D_MESSAGE , 1
com.barbarossa.loveromanticlivewallpaper.permission.C2D_MESSAGE , 1
com.jiubang.goscreenlock.theme.golockercolorbutterfly.permission.C2D_MESSAGE , 1
android.Manifest.permission.FORCE_STOP_PACKAGES , 1
com.oxysweet11.leopardjunglelivewallpaper.permission.C2D_MESSAGE , 1
com.appmary88.newyeargoldlivewallpaper.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.twkeyboardfreeneon.permission.C2D_MESSAGE , 1
com.vikingpanzer.easterflowerslivewallpaper.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.twbuddhakeyboardtheme.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.tmegreymetalkeys.permission.C2D_MESSAGE , 1
com.oxysweet11.colibrigallerylivewallpaper.permission.C2D_MESSAGE , 1
com.vikingpanzer.cityneonhqlivewallpaper.permission.C2D_MESSAGE , 1
jp.co.imagineer.rilakkuma.home58.android.app.permission.READ_SETTINGS , 1
com.jb.gokeyboard.theme.twcolorfulswirlskeyboard.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.twkeyboardultrahd.permission.C2D_MESSAGE , 1
com.gmo.NinemmREVOLVER_artelauncher.permission.READ_SETTINGS , 1
com.jiubang.goscreenlock.theme.springlocker.permission.C2D_MESSAGE , 1
com.mybrandapp.previewer.permission.MAPS_RECEIVE , 1
com.jb.gokeyboard.theme.twpinklilykeyboard.permission.C2D_MESSAGE , 1
com.conduit.app_1b7f64d7bb49404e85eaceb94b4b8b02.app.permission.C2D_MESSAGE , 1
com.aitype.android.theme.tmetravelkeyboard.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.twkeyboardpinkflame.permission.C2D_MESSAGE , 1
jp.co.imagineer.rilakkuma.home50.android.app.permission.READ_SETTINGS , 1
com.tigro.jd.DolphinSunsetLiveWallpaper.permission.C2D_MESSAGE , 1
jp.co.techfirm.kisekaeadvance.v16.permission.READ_SETTINGS , 1
com.appmary88.newyearfreelivewallpaper.permission.C2D_MESSAGE , 1
com.jiubang.goscreenlock.theme.golockerworm.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.tmeflowerskeyboardred.permission.C2D_MESSAGE , 1
com.oxysweet11.jaguarfreelivewallpaper.permission.C2D_MESSAGE , 1
com.zonder.horsesdanceslivewallpaper.permission.C2D_MESSAGE , 1
com.acrodea.kisekaetouch.am.permission.READ_SETTINGS , 1
jp.co.imagineer.rilakkuma.home33.android.app.permission.WRITE_SETTINGS , 1
com.jb.gokeyboard.theme.twkeyboardowl.permission.C2D_MESSAGE , 1
com.skinniecherrie.survival.permission.C2D_MESSAGE , 1
com.lowveld.ftllauncher.permission.WRITE_SETTINGS , 1
com.jiubang.goscreenlock.theme.colorlockerapp.permission.C2D_MESSAGE , 1
com.android.cmlauncher.permission.READ_SETTINGS , 1
com.jb.gokeyboard.theme.tmefairydustkeyboard.permission.C2D_MESSAGE , 1
jp.co.imagineer.rilakkuma.home80.android.app.permission.WRITE_SETTINGS , 1
com.nos_network.usagihaneusa_batt.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.tmepinkneonzebrakeyboard.permission.C2D_MESSAGE , 1
com.photoapp.love.greeting.cards.permission.C2D_MESSAGE , 1
com.magic.livewallpaper.AirBalloonsLiveWallpaper.permission.C2D_MESSAGE , 1
com.custom.lwp.FREE_HeartsAndRoses.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.twkeyboardpluscolor.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.twelegantthemekeyboard.permission.C2D_MESSAGE , 1
com.zonder.butterfliesfreelivewallpaper.permission.C2D_MESSAGE , 1
com.zzonder.happynewyear2014lwp.permission.C2D_MESSAGE , 1
jp.co.imagineer.kapibarasan.home02.android.app.permission.WRITE_SETTINGS , 1
com.afonline.scrolllwp.carillon.permission.C2D_MESSAGE , 1
com.appmaker.locationtracker.permission.MAPS_RECEIVE , 1
com.vikingpanzer.wolvesnightlivewallpaper.permission.C2D_MESSAGE , 1
com.fc.center.fone_35843_2040831414.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.twwoodenkeyboard.permission.C2D_MESSAGE , 1
com.jiubang.goscreenlock.theme.parislock.permission.C2D_MESSAGE , 1
com.vikingpanzer.venicefreehqlivewallpaper.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.twtropicalkeyboard.permission.C2D_MESSAGE , 1
com.andow.android.launcher01.permission.WRITE_SETTINGS , 1
com.jb.gokeyboard.theme.twcolorwaterfallkeyboard.permission.C2D_MESSAGE , 1
cellfish.thor2wp.permission.C2D_MESSAGE , 1
jp.co.imagineer.neptune.theme01.app.permission.READ_SETTINGS , 1
com.tmeapps.go.launcherex.theme.magicneonglow.permission.C2D_MESSAGE , 1
com.afonline.gallerylwp.motoguzzi.permission.C2D_MESSAGE , 1
com.aitype.android.theme.twcolorsoundskeyboard.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.tmepurpleglow.permission.C2D_MESSAGE , 1
jp.co.imagineer.kikilala.home13.android.app.permission.READ_SETTINGS , 1
com.jb.gokeyboard.theme.tmehorsekeyboard.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.tmekeyboardforsonyxperiaj.permission.C2D_MESSAGE , 1
com.jiubang.goscreenlock.theme.pinklockscreen.permission.C2D_MESSAGE , 1
jp.co.arez.lululolofolderlite.permission.C2D_MESSAGE , 1
com.arte.al0005f.permission.WRITE_SETTINGS , 1
com.conduit.app_e9fe91c1400943699c92daface382f42.app.permission.C2D_MESSAGE , 1
com.appmary88.puppytopfreelivewallpaper.permission.C2D_MESSAGE , 1
com.jb.gokeyboard.theme.tmekeyboardforlg.permission.C2D_MESSAGE , 1
com.campmobile.android.linedeco.permission.NNI_MESSAGE , 1
com.w4c55248453904e1273de97a56cf342e3.permission.C2D_MESSAGE , 1
com.zonder.horsesphotohqlivewallpaper.permission.C2D_MESSAGE , 1
