permission , count
SUM , 62760
android.permission.INTERNET , 48486
android.permission.ACCESS_NETWORK_STATE , 39614
android.permission.READ_EXTERNAL_STORAGE , 30222
android.permission.WRITE_EXTERNAL_STORAGE , 29780
android.permission.READ_PHONE_STATE , 18978
android.permission.ACCESS_WIFI_STATE , 13937
android.permission.VIBRATE , 13048
android.permission.WAKE_LOCK , 12767
android.permission.ACCESS_FINE_LOCATION , 11856
android.permission.ACCESS_COARSE_LOCATION , 10199
android.permission.RECEIVE_BOOT_COMPLETED , 9860
android.permission.CAMERA , 9024
android.permission.READ_CONTACTS , 6292
android.permission.GET_ACCOUNTS , 6130
android.permission.CHANGE_WIFI_STATE , 5041
android.permission.GET_TASKS , 4714
android.permission.CALL_PHONE , 4519
android.permission.WRITE_SETTINGS , 4486
android.permission.READ_CALL_LOG , 4334
com.google.android.c2dm.permission.RECEIVE , 3937
android.permission.RECORD_AUDIO , 3881
android.permission.BLUETOOTH , 3468
android.permission.SEND_SMS , 3126
android.permission.SYSTEM_ALERT_WINDOW , 3104
android.permission.RECEIVE_SMS , 3084
android.permission.BLUETOOTH_ADMIN , 2939
com.android.vending.CHECK_LICENSE , 2664
android.permission.WRITE_CONTACTS , 2518
android.permission.FLASHLIGHT , 2453
android.permission.READ_SMS , 2424
com.android.vending.BILLING , 2338
android.permission.DISABLE_KEYGUARD , 2226
android.permission.CHANGE_NETWORK_STATE , 2212
android.permission.MODIFY_AUDIO_SETTINGS , 2124
com.google.android.providers.gsf.permission.READ_GSERVICES , 2111
com.android.launcher.permission.INSTALL_SHORTCUT , 2025
android.permission.READ_LOGS , 1849
android.permission.WRITE_CALL_LOG , 1808
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 1799
android.permission.KILL_BACKGROUND_PROCESSES , 1576
android.permission.WRITE_SMS , 1552
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 1494
android.permission.RESTART_PACKAGES , 1358
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 1265
android.permission.ACCESS_MOCK_LOCATION , 1139
android.permission.PROCESS_OUTGOING_CALLS , 1096
android.permission.USE_CREDENTIALS , 982
android.permission.BROADCAST_STICKY , 954
android.permission.READ_CALENDAR , 822
android.permission.WRITE_SYNC_SETTINGS , 809
android.permission.SET_WALLPAPER , 792
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 782
android.permission.READ_SYNC_SETTINGS , 752
android.permission.CHANGE_CONFIGURATION , 723
android.permission.ACCESS_SUPERUSER , 713
android.permission.MANAGE_ACCOUNTS , 686
android.permission.GET_PACKAGE_SIZE , 674
android.permission.MODIFY_PHONE_STATE , 663
android.permission.NFC , 654
android.permission.WRITE_CALENDAR , 653
android.permission.BATTERY_STATS , 631
android.permission.CHANGE_WIFI_MULTICAST_STATE , 582
android.permission.CLEAR_APP_CACHE , 512
android.permission.WRITE_SECURE_SETTINGS , 466
com.android.launcher.permission.UNINSTALL_SHORTCUT , 439
android.permission.RECORD_VIDEO , 418
com.android.launcher.permission.READ_SETTINGS , 409
android.permission.EXPAND_STATUS_BAR , 395
android.permission.AUTHENTICATE_ACCOUNTS , 376
android.permission.RECEIVE_MMS , 350
android.permission.WRITE_APN_SETTINGS , 347
android.permission.DEVICE_POWER , 340
android.permission.ACCESS_GPS , 329
android.permission.WRITE_INTERNAL_STORAGE , 311
com.android.alarm.permission.SET_ALARM , 258
android.permission.REORDER_TASKS , 253
android.permission.READ_USER_DICTIONARY , 250
android.permission.UPDATE_DEVICE_STATS , 243
android.permission.WRITE_USER_DICTIONARY , 236
android.permission.ACCESS_COARSE_UPDATES , 231
android.webkit.permission.PLUGIN , 227
android.permission.INSTALL_PACKAGES , 219
android.permission.READ_SYNC_STATS , 209
android.permission.ACCESS_LOCATION , 208
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 180
android.permission.WRITE_OWNER_DATA , 180
android.permission.READ_OWNER_DATA , 165
com.android.launcher.permission.WRITE_SETTINGS , 160
android.permission.REBOOT , 148
com.htc.launcher.permission.READ_SETTINGS , 147
android.permission.HARDWARE_TEST , 146
android.permission.CALL_PRIVILEGED , 144
android.permission.DELETE_PACKAGES , 138
android.permission.RECEIVE_WAP_PUSH , 137
android.permission.ACCOUNT_MANAGER , 137
android.permission.STATUS_BAR , 129
android.permission.SET_WALLPAPER_HINTS , 128
android.permission.READ_PROFILE , 120
android.permission.ACCESS_ASSISTED_GPS , 118
org.adw.launcher.permission.READ_SETTINGS , 118
com.fede.launcher.permission.READ_SETTINGS , 117
com.lge.launcher.permission.READ_SETTINGS , 115
com.lge.launcher.permission.INSTALL_SHORTCUT , 114
com.motorola.launcher.permission.INSTALL_SHORTCUT , 114
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 113
com.motorola.launcher.permission.READ_SETTINGS , 109
com.motorola.dlauncher.permission.READ_SETTINGS , 107
android.permission.DELETE_CACHE_FILES , 103
android.permission.CONTROL_LOCATION_UPDATES , 103
android.permission.STORAGE , 102
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 97
android.permission.SET_PREFERRED_APPLICATIONS , 94
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 94
android.permission.INTERACT_ACROSS_USERS_FULL , 93
android.permission.SET_ORIENTATION , 91
android.permission.READ_INTERNAL_STORAGE , 85
android.permission.MOUNT_FORMAT_FILESYSTEMS , 84
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 83
android.permission.ACCESS_CORSE_LOCATION , 79
android.permission.RECEIVE_USER_PRESENT , 78
android.permission.WRITE_MEDIA_STORAGE , 78
android.permission.ACCESS_DOWNLOAD_MANAGER , 77
android.permission.LOCATION , 75
com.google.android.apps.googlevoice.permission.RECEIVE_SMS , 74
com.google.android.apps.googlevoice.permission.SEND_SMS , 73
android.permission.BIND_ACCESSIBILITY_SERVICE , 71
android.permission.BIND_APPWIDGET , 71
android.permission.READ_FRAME_BUFFER , 69
com.htc.launcher.permission.WRITE_SETTINGS , 66
android.permission.PERSISTENT_ACTIVITY , 64
android.permission.ACCESS_WIMAX_STATE , 62
android.permission.ACCESS_SURFACE_FLINGER , 61
android.permission.TRANSMIT_IR , 60
com.google.android.gm.permission.READ_GMAIL , 60
android.permission.CLEAR_APP_USER_DATA , 60
android.permission.INJECT_EVENTS , 59
android.permission.SYSTEM_OVERLAY_WINDOW , 59
android.permission.SET_DEBUG_APP , 59
android.permission.ACCESS_CHECKIN_PROPERTIES , 57
android.permission.RAISED_THREAD_PRIORITY , 56
android.permission.CHANGE_WIMAX_STATE , 56
android.hardware.camera , 54
com.amazon.device.messaging.permission.RECEIVE , 53
org.adw.launcher.permission.WRITE_SETTINGS , 52
com.fede.launcher.permission.WRITE_SETTINGS , 51
net.dinglisch.android.tasker.PERMISSION_RUN_TASKS , 50
com.lge.launcher.permission.WRITE_SETTINGS , 48
com.google.android.providers.gmail.permission.READ_GMAIL , 47
android.permission.PROCESS_INCOMING_CALLS , 47
android.permission.READ_SETTINGS , 45
android.permission.BIND_DEVICE_ADMIN , 45
com.anddoes.launcher.permission.READ_SETTINGS , 45
android.permission.FORCE_STOP_PACKAGES , 45
com.motorola.dlauncher.permission.WRITE_SETTINGS , 43
com.motorola.launcher.permission.WRITE_SETTINGS , 43
android.permission.DUMP , 43
android.permission.BROADCAST_PACKAGE_REMOVED , 43
android.permission.BIND_INPUT_METHOD , 42
com.anddoes.launcher.permission.WRITE_SETTINGS , 42
android.permission.BAIDU_LOCATION_SERVICE , 42
com.teslacoilsw.launcher.permission.READ_SETTINGS , 42
android.permission.ACCESS_BACKGROUND_SERVICE , 42
com.google.android.googleapps.permission.GOOGLE_AUTH , 41
com.android.email.permission.ACCESS_PROVIDER , 41
android.permission.SET_TIME_ZONE , 41
com.google.android.gm.permission.READ_CONTENT_PROVIDER , 40
android.permission.INTERACT_ACROSS_USERS , 40
com.teslacoilsw.launcher.permission.WRITE_SETTINGS , 40
android.permission.INJECT_EVENT , 39
android.permission.sec.MDM_RESTRICTION , 38
android.permission.ACCESS_ALL_DOWNLOADS , 38
com.samsung.android.gearfit.STYLE_CLOCK , 37
android.permission.sec.MDM_APP_MGMT , 37
android.permission.INTERNAL_SYSTEM_WINDOW , 37
android.permission.MANAGE_DOCUMENTS , 37
android.permission.ACCESS_COURSE_LOCATION , 36
android.permission.sec.ENTERPRISE_DEVICE_ADMIN , 36
android.permission.BROADCAST_SMS , 36
android.permission.sec.MDM_HW_CONTROL , 36
android.permission.sec.MDM_WIFI , 36
com.example.maps.permission.MAPS_RECEIVE , 35
fr.RivaMedia.AnnoncesAutoGenerique.permission.permission.C2D_MESSAGE , 34
android.permission.sec.MDM_EXCHANGE , 34
com.sec.android.provider.badge.permission.WRITE , 33
android.permission.sec.MDM_SECURITY , 32
com.sec.android.provider.badge.permission.READ , 32
android.hardware.camera.autofocus , 32
android.permission.sec.MDM_BLUETOOTH , 32
com.android.email.permission.READ_ATTACHMENT , 31
android.permission.sec.MDM_DATE_TIME , 31
android.permission.sec.MDM_EMAIL , 31
com.example.mapdemo.permission.MAPS_RECEIVE , 31
android.permission.sec.MDM_LOCATION , 31
android.permission.MASTER_CLEAR , 30
android.permission.SET_ANIMATION_SCALE , 30
android.permission.SET_ALARM , 30
android.permission.sec.MDM_ROAMING , 30
android.permission.sec.MDM_PHONE_RESTRICTION , 29
android.permission.sec.MDM_VPN , 28
android.permission.sec.MDM_APN , 28
android.permission.sec.MDM_FIREWALL , 28
android.permission.sec.MDM_BROWSER_SETTINGS , 28
android.permission.sec.MDM_INVENTORY , 28
android.permission.CHANGE_BACKGROUND_DATA_SETTING , 28
android.permission.sec.MDM_ENTERPRISE_VPN , 27
android.permission.PERMISSION_NAME , 27
android.permission.USES_POLICY_FORCE_LOCK , 27
com.sec.android.provider.logsprovider.permission.WRITE_LOGS , 27
kr.co.rightbrain.RetailMode.permission.READ , 26
android.permission.PREVENT_POWER_KEY , 26
com.sec.android.provider.logsprovider.permission.READ_LOGS , 26
com.example.gcm.permission.C2D_MESSAGE , 25
android.permission.SET_PROCESS_LIMIT , 24
android.permission.BIND_WALLPAPER , 24
android.permission.GLOBAL_SEARCH , 24
android.permission.sec.MDM_CALLING , 24
de.defim.apk.permission.LICENSE , 24
android.permission.READ_INPUT_STATE , 24
android.permission.READ_SECURE_SETTINGS , 23
android.permission.RUN_INSTRUMENTATION , 23
android.permission.INSTALL_LOCATION_PROVIDER , 23
android.permission.SET_ACTIVITY_WATCHER , 23
android.permission.BROADCAST_WAP_PUSH , 23
android.permission.SUBSCRIBED_FEEDS_READ , 23
android.permission.FACTORY_TEST , 22
android.permission.TELEPHONY_SERVICE , 22
android.permission.WRITE_PROFILE , 22
android.provider.Settings.ACTION_LOCATION_SOURCE_SETTINGS , 22
android.permission.SET_ALWAYS_FINISH , 22
android.permission.ACCESS_PROVIDER , 22
android.permission.DIAGNOSTIC , 21
org.projectmaxs.permission.USE_MAIN , 21
android.permission.NETWORK , 20
org.projectmaxs.permission.USE_MAIN_AS_MODULE , 20
