permission , count
SUM , 7
android.permission.INTERNET , 7
android.permission.ACCESS_NETWORK_STATE , 4
android.permission.READ_PHONE_STATE , 3
android.permission.READ_EXTERNAL_STORAGE , 2
com.android.launcher.permission.INSTALL_SHORTCUT , 2
android.permission.WRITE_EXTERNAL_STORAGE , 2
android.permission.RECEIVE_BOOT_COMPLETED , 1
com.android.launcher.permission.UNINSTALL_SHORTCUT , 1
android.permission.WRITE_OWNER_DATA , 1
android.permission.ACCESS_COARSE_LOCATION , 1
android.permission.WRITE_INTERNAL_STORAGE , 1
android.permission.ACCESS_FINE_LOCATION , 1
android.permission.VIBRATE , 1
android.permission.WRITE_EXTE_EXTERNAL_STORAGE , 1
com.android.vending.BILLING , 1
android.permission.WAKE_LOCK , 1
android.permission.GET_TASKS , 1
com.android.vending.CHECK_LICENSE , 1
