permission , count
SUM , 3316
android.permission.INTERNET , 3064
android.permission.ACCESS_NETWORK_STATE , 2744
android.permission.READ_EXTERNAL_STORAGE , 1567
android.permission.WRITE_EXTERNAL_STORAGE , 1547
android.permission.READ_PHONE_STATE , 1467
android.permission.ACCESS_WIFI_STATE , 1086
android.permission.WAKE_LOCK , 933
com.android.vending.BILLING , 801
android.permission.VIBRATE , 744
android.permission.GET_ACCOUNTS , 419
com.google.android.c2dm.permission.RECEIVE , 363
android.permission.ACCESS_COARSE_LOCATION , 347
android.permission.ACCESS_FINE_LOCATION , 268
android.permission.GET_TASKS , 225
com.android.vending.CHECK_LICENSE , 199
android.permission.RECEIVE_BOOT_COMPLETED , 156
android.permission.SYSTEM_ALERT_WINDOW , 120
android.permission.WRITE_SETTINGS , 117
android.permission.CAMERA , 108
android.permission.USE_CREDENTIALS , 100
android.permission.READ_CONTACTS , 99
android.permission.DISABLE_KEYGUARD , 94
android.permission.BLUETOOTH , 94
com.android.launcher.permission.INSTALL_SHORTCUT , 91
android.permission.BLUETOOTH_ADMIN , 88
android.permission.CHANGE_WIFI_STATE , 87
android.permission.CHANGE_NETWORK_STATE , 80
android.permission.MODIFY_AUDIO_SETTINGS , 71
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 66
android.permission.SEND_SMS , 63
android.permission.RECEIVE_SMS , 60
android.permission.READ_LOGS , 54
android.permission.RECORD_AUDIO , 53
android.permission.RESTART_PACKAGES , 51
android.permission.READ_CALL_LOG , 46
android.permission.CALL_PHONE , 39
com.sec.android.iap.permission.BILLING , 34
com.android.launcher.permission.UNINSTALL_SHORTCUT , 33
android.permission.KILL_BACKGROUND_PROCESSES , 32
com.android.launcher.permission.READ_SETTINGS , 28
android.permission.CHANGE_CONFIGURATION , 27
android.permission.READ_SMS , 26
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 23
android.permission.WRITE_SMS , 23
com.google.android.providers.gsf.permission.READ_GSERVICES , 22
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 21
android.permission.MANAGE_ACCOUNTS , 21
android.permission.SET_ORIENTATION , 20
android.permission.WRITE_INTERNAL_STORAGE , 20
android.permission.WRITE_APN_SETTINGS , 17
android.permission.BATTERY_STATS , 16
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 15
android.permission.BROADCAST_STICKY , 13
android.permission.WIFI_STATE , 12
