permission , count
SUM , 17560
android.permission.INTERNET , 16529
android.permission.ACCESS_NETWORK_STATE , 15053
android.permission.READ_EXTERNAL_STORAGE , 9358
android.permission.WRITE_EXTERNAL_STORAGE , 9331
android.permission.READ_PHONE_STATE , 7338
android.permission.ACCESS_WIFI_STATE , 6586
android.permission.WAKE_LOCK , 4730
android.permission.VIBRATE , 3369
com.android.vending.BILLING , 2634
android.permission.ACCESS_COARSE_LOCATION , 1949
android.permission.GET_ACCOUNTS , 1644
android.permission.ACCESS_FINE_LOCATION , 1315
com.google.android.c2dm.permission.RECEIVE , 1161
android.permission.GET_TASKS , 1151
android.permission.RECEIVE_BOOT_COMPLETED , 962
com.android.vending.CHECK_LICENSE , 845
android.permission.SYSTEM_ALERT_WINDOW , 633
com.android.launcher.permission.INSTALL_SHORTCUT , 557
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 433
android.permission.SET_WALLPAPER , 389
android.permission.CAMERA , 388
android.permission.RECORD_AUDIO , 382
android.permission.DISABLE_KEYGUARD , 345
android.permission.CHANGE_WIFI_STATE , 338
android.permission.MODIFY_AUDIO_SETTINGS , 309
android.permission.READ_LOGS , 234
android.permission.BLUETOOTH , 221
android.permission.READ_CONTACTS , 217
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 200
android.permission.WRITE_SETTINGS , 194
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE , 145
android.permission.USE_CREDENTIALS , 143
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 134
android.permission.ACCESS_COARSE , 129
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 126
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 124
android.permission.CHANGE_NETWORK_STATE , 113
com.android.launcher.permission.UNINSTALL_SHORTCUT , 108
android.permission.SET_WALLPAPER_HINTS , 107
android.permission.READ_CALL_LOG , 106
android.permission.WRITE_INTERNAL_STORAGE , 94
android.permission.SEND_SMS , 92
android.permission.RESTART_PACKAGES , 92
android.permission.BROADCAST_STICKY , 83
com.example.gcm.permission.C2D_MESSAGE , 81
android.permission.FINE_LOCATION , 78
android.permission.SET_ORIENTATION , 76
com.google.android.providers.gsf.permission.READ_GSERVICES , 75
com.sec.android.iap.permission.BILLING , 72
android.permission.CALL_PHONE , 70
android.permission.MANAGE_ACCOUNTS , 67
android.permission.RECEIVE_SMS , 66
android.permission.BLUETOOTH_ADMIN , 59
android.permission.CHANGE_CONFIGURATION , 58
com.android.launcher.permission.READ_SETTINGS , 53
android.permission.FLASHLIGHT , 53
org.onepf.openiab.permission.BILLING , 51
android.permission.KILL_BACKGROUND_PROCESSES , 49
android.permission.DEVICE_POWER , 43
android.permission.BATTERY_STATS , 43
android.permission.READ_HISTORY_BOOKMARKS , 42
android.permission.ACCESS_COARSE_UPDATES , 42
com.android.vending.INTERACT_ACROSS_USERS_FULL , 41
android.permission.READ_SMS , 36
android.permission.ACCOUNT_MANAGER , 34
android.permission.RECEIVE_USER_PRESENT , 34
android.permission.GET_TOP_ACTIVITY_INFO , 32
android.permission.INSTALL_SHORTCUT , 31
android.permission.ACCESS_LOCATION , 29
android.permission.ACCESS_MOCK_LOCATION , 29
android.permission.UNINSTALL_SHORTCUT , 28
android.permission.WRITE_HISTORY_BOOKMARKS , 28
com.nokia.payment.BILLING , 27
com.slideme.sam.manager.inapp.permission.BILLING , 25
android.permission.WRITE_CALENDAR , 25
com.play.slotmachinerooms.permission.C2D_MESSAGE , 24
android.permission.CLEAR_APP_CACHE , 24
com.motorola.dlauncher.permission.READ_SETTINGS , 23
com.lge.launcher.permission.INSTALL_SHORTCUT , 23
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 23
com.motorola.launcher.permission.INSTALL_SHORTCUT , 23
com.fede.launcher.permission.READ_SETTINGS , 23
com.motorola.launcher.permission.READ_SETTINGS , 23
com.lge.launcher.permission.READ_SETTINGS , 23
org.adw.launcher.permission.READ_SETTINGS , 23
com.htc.launcher.permission.READ_SETTINGS , 23
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 22
