permission , count
SUM , 3564
android.permission.INTERNET , 3460
android.permission.ACCESS_NETWORK_STATE , 3331
android.permission.READ_EXTERNAL_STORAGE , 1972
android.permission.WRITE_EXTERNAL_STORAGE , 1972
android.permission.WAKE_LOCK , 1645
android.permission.ACCESS_WIFI_STATE , 1455
android.permission.READ_PHONE_STATE , 1443
com.android.vending.BILLING , 852
android.permission.VIBRATE , 570
android.permission.GET_ACCOUNTS , 468
com.google.android.c2dm.permission.RECEIVE , 410
com.android.vending.CHECK_LICENSE , 325
android.permission.ACCESS_COARSE_LOCATION , 324
android.permission.ACCESS_FINE_LOCATION , 207
android.permission.RECEIVE_BOOT_COMPLETED , 186
android.permission.GET_TASKS , 179
com.example.gcm.permission.C2D_MESSAGE , 130
android.permission.SYSTEM_ALERT_WINDOW , 111
android.permission.BLUETOOTH , 61
android.permission.READ_CONTACTS , 60
android.permission.CHANGE_WIFI_STATE , 57
android.permission.MODIFY_AUDIO_SETTINGS , 47
android.permission.USE_CREDENTIALS , 43
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 43
android.permission.DISABLE_KEYGUARD , 35
com.appsgeyser.multiTabApp.permission.C2D_MESSAGE , 33
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 29
android.permission.CAMERA , 29
com.android.launcher.permission.INSTALL_SHORTCUT , 28
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 28
android.permission.WRITE_SETTINGS , 26
android.permission.CHANGE_NETWORK_STATE , 25
org.onepf.openiab.permission.BILLING , 25
android.permission.RECORD_AUDIO , 23
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 23
android.permission.SET_ORIENTATION , 22
com.sec.android.iap.permission.BILLING , 22
android.permission.READ_LOGS , 21
android.permission.BLUETOOTH_ADMIN , 21
android.permission.INTERACT_ACROSS_USERS_FULL , 20
com.android.launcher.permission.UNINSTALL_SHORTCUT , 19
com.unity3d.player.permission.C2D_MESSAGE , 18
com.android.launcher.permission.READ_SETTINGS , 16
android.permission.BROADCAST_STICKY , 14
android.permission.WRITE_INTERNAL_STORAGE , 14
android.permission.CHANGE_WIFI_MULTICAST_STATE , 13
android.permission.ACCESS_COURSE_LOCATION , 13
com.nokia.payment.BILLING , 12
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 12
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 11
android.permission.SEND_SMS , 11
android.permission.READ_INTERNAL_STORAGE , 11
android.permission.READ_NETWORK_STATE , 11
com.slideme.sam.manager.inapp.permission.BILLING , 10
android.permission.RECEIVE_SMS , 10
android.permission.KILL_BACKGROUND_PROCESSES , 9
android.permission.READ_CALENDAR , 9
android.permission.WRITE_CALENDAR , 9
android.permission.READ_SMS , 9
android.permission.RESTART_PACKAGES , 9
android.permission.READ_CALL_LOG , 9
com.google.android.providers.gsf.permission.READ_GSERVICES , 8
com.laikaboss.trafficnations2.permission.C2D_MESSAGE , 8
android.permission.BATTERY_STATS , 8
android.permission.MANAGE_ACCOUNTS , 7
android.permission.DEVICE_POWER , 6
android.permission.WRITE_HISTORY_BOOKMARKS , 6
android.permission.SET_PREFERRED_APPLICATIONS , 6
android.permission.SET_WALLPAPER_HINTS , 6
android.permission.UNINSTALL_SHORTCUT , 6
android.permission.INSTALL_SHORTCUT , 6
android.permission.READ_HISTORY_BOOKMARKS , 6
android.permission.NFC , 6
android.permission.GET_TOP_ACTIVITY_INFO , 6
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 6
android.permission.WAKEDISABLE_KEYGUARD , 6
com.laikaboss.laneracing.permission.C2D_MESSAGE , 5
android.permission.SET_WALLPAPER , 5
com.tmoney.vending.INBILLING , 5
android.permission.READ_OWNER_DATA , 4
android.permission.READ_WIFI_STATE , 4
android.permission.WRITE_CALL_LOG , 4
android.permission.WRITE_CONTACTS , 4
com.android.vending.billing , 4
com.yandex.store.permission.BILLING , 4
android.permission.START_BACKGROUND_SERVICE , 4
android.permission.CLEAR_APP_CACHE , 4
android.permission.ACCOUNT_MANAGER , 3
android.permission.ACCESS_COARSE_UPDATES , 3
android.permission.WRITE_SMS , 3
glshare.permission.ACCESS_SHARED_DATA , 3
android.permission.WRITE_SYNC_SETTINGS , 2
com.playhaven.unityexample.permission.C2D_MESSAGE , 2
android.permission.CALL_PHONE , 2
android.permission.FLASHLIGHT , 2
android.permission.WRITE_MEDIA_STORAGE , 2
com.lunagames.dancebooth.permission.C2D_MESSAGE , 2
com.lua.sharkdive.permission.C2D_MESSAGE , 2
com.google.android.c2dm.permission.SEND , 2
android.permission.PROCESS_OUTGOING_CALLS , 2
com.fusepowered.unitysample.permission.C2D_MESSAGE , 2
android.permission.READ_SYNC_SETTINGS , 2
archos.permission.FULLSCREEN.FULL , 2
