permission , count
SUM , 2999
android.permission.INTERNET , 2828
android.permission.ACCESS_NETWORK_STATE , 2573
android.permission.READ_EXTERNAL_STORAGE , 1577
android.permission.WRITE_EXTERNAL_STORAGE , 1576
android.permission.READ_PHONE_STATE , 1248
android.permission.ACCESS_WIFI_STATE , 1050
android.permission.WAKE_LOCK , 1041
android.permission.VIBRATE , 729
com.android.vending.BILLING , 707
android.permission.GET_ACCOUNTS , 414
com.google.android.c2dm.permission.RECEIVE , 357
android.permission.ACCESS_COARSE_LOCATION , 319
com.android.vending.CHECK_LICENSE , 254
android.permission.ACCESS_FINE_LOCATION , 213
android.permission.GET_TASKS , 194
android.permission.RECEIVE_BOOT_COMPLETED , 157
android.permission.CHANGE_WIFI_STATE , 80
android.permission.USE_CREDENTIALS , 75
android.permission.MODIFY_AUDIO_SETTINGS , 75
android.permission.CAMERA , 74
android.permission.SYSTEM_ALERT_WINDOW , 70
android.permission.READ_CONTACTS , 68
android.permission.RECORD_AUDIO , 58
android.permission.DISABLE_KEYGUARD , 52
com.android.launcher.permission.INSTALL_SHORTCUT , 45
android.permission.BLUETOOTH , 43
android.permission.CHANGE_NETWORK_STATE , 42
com.example.gcm.permission.C2D_MESSAGE , 41
com.sec.android.iap.permission.BILLING , 39
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 36
android.permission.READ_CALL_LOG , 35
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 33
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 32
org.onepf.openiab.permission.BILLING , 32
android.permission.SET_ORIENTATION , 32
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 28
android.permission.BLUETOOTH_ADMIN , 28
android.permission.RECEIVE_SMS , 25
com.nokia.payment.BILLING , 24
android.permission.SEND_SMS , 24
com.slideme.sam.manager.inapp.permission.BILLING , 23
android.permission.READ_LOGS , 22
android.permission.WRITE_SETTINGS , 21
android.permission.CALL_PHONE , 21
com.android.launcher.permission.UNINSTALL_SHORTCUT , 20
android.permission.SET_WALLPAPER , 20
android.permission.DEVICE_POWER , 20
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 20
android.permission.WRITE_INTERNAL_STORAGE , 20
android.permission.RESTART_PACKAGES , 19
android.permission.BATTERY_STATS , 19
android.permission.SET_WALLPAPER_HINTS , 15
com.android.launcher.permission.READ_SETTINGS , 15
android.permission.WRITE_CONTACTS , 15
com.google.android.providers.gsf.permission.READ_GSERVICES , 14
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 14
android.permission.KILL_BACKGROUND_PROCESSES , 13
android.permission.MANAGE_ACCOUNTS , 13
com.appsgeyser.multiTabApp.permission.C2D_MESSAGE , 13
android.permission.READ_OWNER_DATA , 12
android.permission.WRITE_CALL_LOG , 12
android.permission.BROADCAST_STICKY , 12
android.permission.UPDATE_DEVICE_STATS , 10
com.bka.goteam.permission.C2D_MESSAGE , 9
android.permission.WRITE_CALENDAR , 8
android.permission.CHANGE_WIFI_MULTICAST_STATE , 8
android.permission.READ_CALENDAR , 8
android.permission.READ_INTERNAL_STORAGE , 7
android.permission.FLASHLIGHT , 7
android.permission.UNINSTALL_SHORTCUT , 6
android.permission.ACCESS_MOCK_LOCATION , 6
android.permission.WRITE_HISTORY_BOOKMARKS , 6
android.permission.INSTALL_SHORTCUT , 6
android.permission.GET_TOP_ACTIVITY_INFO , 6
android.permission.READ_HISTORY_BOOKMARKS , 6
android.permission.READ_SMS , 6
android.permission.INTERACT_ACROSS_USERS_FULL , 5
com.amazon.device.messaging.permission.RECEIVE , 4
android.permission.RECORD_VIDEO , 4
android.permission.PROCESS_OUTGOING_CALLS , 4
android.permission.READ_NETWORK_STATE , 4
android.permission.ACCESS_COARSE_UPDATES , 4
android.permission.AUTHENTICATE_ACCOUNTS , 4
.permission.C2D_MESSAGE , 3
com.farsitel.bazaar.permission.PAY_THROUGH_BAZAAR , 3
com.htc.launcher.permission.READ_SETTINGS , 3
android.permission.HARDWARE_TEST , 3
com.motorola.launcher.permission.READ_SETTINGS , 3
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 3
com.motorola.dlauncher.permission.READ_SETTINGS , 3
android.permission.MANAGE_DOCUMENTS , 3
android.permission.SET_DEBUG_APP , 3
com.pnjmobile.realfishingkr.permission.C2D_MESSAGE , 3
android.permission.WRITE_SMS , 3
org.adw.launcher.permission.READ_SETTINGS , 3
com.fede.launcher.permission.READ_SETTINGS , 3
com.lge.launcher.permission.READ_SETTINGS , 3
android.permission.CLEAR_APP_CACHE , 3
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 2
android.permission.ACCESS_GPS , 2
.FlexionActivity$GooglePlayBillingService , 2
android.permission.BILLING , 2
android.permission.FULLSCREEN , 2
android.permission.NFC , 2
com.google.android.c2dm.permission.REGISTER , 2
com.tdm.bidaonline.permission.C2D_MESSAGE , 2
com.newstargames.newstarsoccer.permission.C2D_MESSAGE , 2
glshare.permission.ACCESS_SHARED_DATA , 2
com.lge.launcher.permission.INSTALL_SHORTCUT , 2
android.permission.SYSTEM_OVERLAY_WINDOW , 2
com.xtpl.cricketunlimited.permission.C2D_MESSAGE , 2
android.permission.DELETE_CACHE_FILES , 2
android.permission.WRITE_MEDIA_STORAGE , 2
android.permission.WRITE_SYNC_SETTINGS , 2
android.permission.ACCESS_COURSE_LOCATION , 2
net.mobilecraft.flickshoot2.permission.C2D_MESSAGE , 2
android.permission.ACCESS_WIMAX_STATE , 2
android.permission.RECEIVE_USER_PRESENT , 2
FULLSCREEN.FULL , 2
android.permission.ACCESS_NETOWRK_STATE , 2
com.motorola.launcher.permission.INSTALL_SHORTCUT , 2
.FlexionActivity$GooglePlayBillingReceiver , 2
android.permission.android.hardware.sensor.accelerometer , 2
archos.permission.FULLSCREEN.FULL , 2
WRITE_EXTERNAL_STORAGE , 2
com.com2us.golfstarworldtour.normal.freefull.google.global.android.common.permission.C2D_MESSAGE , 1
com.secondphoneapps.SecondPhoneTextFblLic.permission.RECEIVE_ADM_MESSAGE , 1
jp.mixi.party.polarin.permission.C2D_MESSAGE , 1
com.gameloft.android.ANMP.GloftF3HM.permission.C2D_MESSAGE , 1
android.permission.DUMP , 1
android.permission.READ_FRAME_BUFFER , 1
android.permission.READ_SYNC_STATS , 1
com.StartAndroid.StuntsMonster3D.permission.C2D_MESSAGE , 1
it.ppDevelopmentStudio.CrazyGoal.permission.C2D_MESSAGE , 1
com.fantasyiteam.fitepl1213.activity.permission.C2D_MESSAGE , 1
com.soccer.free_kick.permission.C2D_MESSAGE , 1
com.joymobee.derbyimpact2.permission.C2D_MESSAGE , 1
com.catdaddy.cat22.permission.C2D_MESSAGE , 1
com.mobilemediacom.jo2012.permission.C2D_MESSAGE , 1
com.FirstGalops34PA0814.permission.C2D_MESSAGE , 1
com.tonuzaba.bowling.permission.C2D_MESSAGE , 1
com.noodlecake.ssg2.permission.C2D_MESSAGE , 1
com.play3a.popcorninteractive.finalduel.permission.C2D_MESSAGE , 1
com.gameloft.android.ANMP.GloftR2HM.permission.C2D_MESSAGE , 1
com.mnetmobile.kia.ao2014.permission.UA_DATA , 1
com.maxnick.android.curling3dfree.permission.C2D_MESSAGE , 1
com.wake.gameday.permission.UA_DATA , 1
com.nextwave.wcc_pr.permission.C2D_MESSAGE , 1
jp.co.ibrains.joshingame.permission.C2D_MESSAGE , 1
jp.pascal.gt2.permission.C2D_MESSAGE , 1
air.com.mtvindia.worldcuprampage.permission.C2D_MESSAGE , 1
