permission , count
SUM , 12890
android.permission.INTERNET , 10441
android.permission.ACCESS_NETWORK_STATE , 8631
android.permission.READ_EXTERNAL_STORAGE , 8091
android.permission.WRITE_EXTERNAL_STORAGE , 7958
android.permission.READ_PHONE_STATE , 3533
android.permission.VIBRATE , 3389
android.permission.WAKE_LOCK , 3010
android.permission.ACCESS_WIFI_STATE , 2859
android.permission.RECEIVE_BOOT_COMPLETED , 2611
android.permission.ACCESS_FINE_LOCATION , 2150
android.permission.GET_ACCOUNTS , 2149
android.permission.ACCESS_COARSE_LOCATION , 1996
android.permission.CAMERA , 1814
android.permission.READ_CONTACTS , 1779
com.google.android.c2dm.permission.RECEIVE , 1272
com.android.vending.BILLING , 1141
android.permission.GET_TASKS , 1044
android.permission.RECORD_AUDIO , 1001
android.permission.CALL_PHONE , 963
android.permission.READ_CALL_LOG , 866
android.permission.WRITE_SETTINGS , 799
com.android.vending.CHECK_LICENSE , 791
android.permission.CHANGE_WIFI_STATE , 761
android.permission.READ_CALENDAR , 759
android.permission.BLUETOOTH , 703
android.permission.USE_CREDENTIALS , 674
com.google.android.providers.gsf.permission.READ_GSERVICES , 660
android.permission.WRITE_CALENDAR , 612
android.permission.WRITE_CONTACTS , 574
android.permission.BLUETOOTH_ADMIN , 572
android.permission.SYSTEM_ALERT_WINDOW , 568
android.permission.SEND_SMS , 567
android.permission.MANAGE_ACCOUNTS , 508
com.android.launcher.permission.INSTALL_SHORTCUT , 491
android.permission.READ_SMS , 470
android.permission.RECEIVE_SMS , 432
android.permission.MODIFY_AUDIO_SETTINGS , 432
android.permission.WRITE_SYNC_SETTINGS , 412
android.permission.CHANGE_NETWORK_STATE , 397
android.permission.READ_SYNC_SETTINGS , 382
android.permission.FLASHLIGHT , 368
android.permission.WRITE_CALL_LOG , 355
android.permission.AUTHENTICATE_ACCOUNTS , 354
android.permission.READ_LOGS , 345
android.permission.KILL_BACKGROUND_PROCESSES , 344
android.permission.DISABLE_KEYGUARD , 343
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 268
android.permission.WRITE_SMS , 261
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 246
android.permission.BROADCAST_STICKY , 226
android.permission.RESTART_PACKAGES , 220
android.permission.PROCESS_OUTGOING_CALLS , 204
android.permission.READ_SYNC_STATS , 203
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 199
android.permission.READ_PROFILE , 186
android.permission.SET_WALLPAPER , 171
android.permission.NFC , 170
android.permission.CHANGE_WIFI_MULTICAST_STATE , 160
android.permission.READ_USER_DICTIONARY , 155
android.permission.GET_PACKAGE_SIZE , 146
android.permission.ACCESS_MOCK_LOCATION , 145
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 140
android.permission.CLEAR_APP_CACHE , 139
com.android.launcher.permission.UNINSTALL_SHORTCUT , 129
android.permission.WRITE_INTERNAL_STORAGE , 117
android.permission.WRITE_SECURE_SETTINGS , 115
android.permission.BATTERY_STATS , 111
com.android.alarm.permission.SET_ALARM , 111
android.permission.WRITE_USER_DICTIONARY , 109
android.permission.RECORD_VIDEO , 109
android.permission.MODIFY_PHONE_STATE , 99
android.permission.CHANGE_CONFIGURATION , 97
android.permission.DEVICE_POWER , 89
android.permission.ACCESS_SUPERUSER , 87
com.android.launcher.permission.READ_SETTINGS , 76
android.permission.READ_FRAME_BUFFER , 75
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 74
android.permission.INJECT_EVENTS , 72
android.permission.READ_OWNER_DATA , 71
android.permission.ACCESS_SURFACE_FLINGER , 70
android.permission.WRITE_OWNER_DATA , 69
android.permission.EXPAND_STATUS_BAR , 69
android.permission.RECEIVE_MMS , 69
android.permission.REORDER_TASKS , 63
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 61
android.permission.INTERACT_ACROSS_USERS_FULL , 55
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 55
android.permission.UPDATE_DEVICE_STATS , 53
com.google.android.gm.permission.READ_GMAIL , 52
android.permission.ACCESS_GPS , 47
com.android.launcher.permission.WRITE_SETTINGS , 44
com.htc.launcher.permission.READ_SETTINGS , 42
com.android.email.permission.READ_ATTACHMENT , 42
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 42
android.permission.READ_INTERNAL_STORAGE , 42
com.google.android.providers.gmail.permission.READ_GMAIL , 39
android.permission.ACCESS_LOCATION , 39
android.permission.MANAGE_DOCUMENTS , 39
android.permission.SET_WALLPAPER_HINTS , 38
android.permission.STORAGE , 38
android.permission.WRITE_APN_SETTINGS , 37
android.permission.CALL_PRIVILEGED , 37
android.permission.ACCESS_COARSE_UPDATES , 36
com.sec.android.provider.badge.permission.READ , 34
com.sec.android.provider.badge.permission.WRITE , 34
com.sonyericsson.home.permission.BROADCAST_BADGE , 33
android.permission.ACCOUNT_MANAGER , 31
android.permission.RECEIVE_WAP_PUSH , 30
com.android.email.permission.ACCESS_PROVIDER , 29
com.htc.launcher.permission.UPDATE_SHORTCUT , 28
android.permission.SET_ORIENTATION , 27
android.permission.STATUS_BAR , 26
android.permission.SET_DEBUG_APP , 25
android.permission.REBOOT , 25
android.permission.DUMP , 24
com.anddoes.launcher.permission.UPDATE_COUNT , 24
com.google.android.gm.permission.READ_CONTENT_PROVIDER , 24
net.dinglisch.android.tasker.PERMISSION_RUN_TASKS , 24
com.google.android.googleapps.permission.GOOGLE_AUTH , 23
android.permission.ACCESS_ASSISTED_GPS , 23
android.permission.CHANGE_COMPONENT_ENABLED_STATE , 21
android.permission.MOUNT_FORMAT_FILESYSTEMS , 21
android.permission.INSTALL_PACKAGES , 21
android.permission.ACCESS_DOWNLOAD_MANAGER , 21
android.webkit.permission.PLUGIN , 20
android.permission.BIND_APPWIDGET , 20
android.permission.BIND_ACCESSIBILITY_SERVICE , 20
android.permission.ACCESS_CORSE_LOCATION , 19
com.joaomgcd.permission.CHECK_JOAOMGCD_LICENSE , 19
android.permission.DELETE_PACKAGES , 18
android.permission.PERSISTENT_ACTIVITY , 18
android.permission.CAPTURE_AUDIO_OUTPUT , 18
com.amazon.device.messaging.permission.RECEIVE , 17
android.permission.CLEAR_APP_USER_DATA , 17
android.permission.WRITE_MEDIA_STORAGE , 17
com.example.gcm.permission.C2D_MESSAGE , 16
com.motorola.launcher.permission.INSTALL_SHORTCUT , 16
android.permission.ACCESS_WIMAX_STATE , 16
android.permission.PACKAGE_USAGE_STATS , 16
android.permission.CHANGE_WIMAX_STATE , 15
android.permission.READ_INPUT_STATE , 15
com.google.android.apps.photos.permission.GOOGLE_PHOTOS , 15
android.permission.SUBSCRIBED_FEEDS_READ , 15
com.google.android.gallery3d.permission.GALLERY_PROVIDER , 15
com.lge.launcher.permission.INSTALL_SHORTCUT , 14
android.permission.BIND_REMOTEVIEWS , 14
android.permission.DELETE_CACHE_FILES , 14
com.fede.launcher.permission.READ_SETTINGS , 14
com.sec.android.iap.permission.BILLING , 14
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 14
android.permission.BIND_WALLPAPER , 14
org.adw.launcher.permission.READ_SETTINGS , 14
android.permission.SET_ALWAYS_FINISH , 14
android.permission.BIND_INPUT_METHOD , 13
android.permission.SUBSCRIBED_FEEDS_WRITE , 13
com.lge.launcher.permission.READ_SETTINGS , 13
com.google.android.permission.PROVIDE_BACKGROUND , 13
android.permission.NETWORK , 12
com.google.android.googleapps.permission.GOOGLE_AUTH.mail , 12
android.permission.USES_POLICY_FORCE_LOCK , 12
com.motorola.launcher.permission.READ_SETTINGS , 12
com.motorola.dlauncher.permission.READ_SETTINGS , 12
org.dayup.gtask.permission.READ_TASKS , 12
android.permission.LOCATION , 12
android.permission.CAPTURE_VIDEO_OUTPUT , 11
android.permission.SECURITY , 11
android.permission.FORCE_STOP_PACKAGES , 11
android.permission.SET_ACTIVITY_WATCHER , 11
android.permission.CAPTURE_SECURE_VIDEO_OUTPUT , 11
android.permission.SET_PREFERRED_APPLICATIONS , 11
android.permission.BROADCAST_PACKAGE_REMOVED , 11
android.permission.ACCESS_BACKGROUND_SERVICE , 11
com.mindspiker.mstwitter.MSTwitterService , 11
android.permission.SET_TIME_ZONE , 10
android.hardware.camera.autofocus , 10
android.permission.READ_ATTACHMENT , 9
android.permission.RUN_INSTRUMENTATION , 9
org.thialfihar.android.apg.permission.READ_KEY_DETAILS , 9
android.permission.BLUETOOTH_PRIVILEGED , 9
com.timsu.astrid.permission.READ_TASKS , 9
com.appbody.handyNote.resource.permission.READ_DATA , 9
android.permission.ACCESS_CHECKIN_PROPERTIES , 9
