permission , count
SUM , 9687
android.permission.INTERNET , 9086
android.permission.ACCESS_NETWORK_STATE , 8003
android.permission.READ_EXTERNAL_STORAGE , 6352
android.permission.WRITE_EXTERNAL_STORAGE , 6326
android.permission.WAKE_LOCK , 3872
android.permission.READ_PHONE_STATE , 3362
android.permission.VIBRATE , 3018
android.permission.ACCESS_FINE_LOCATION , 2982
com.google.android.c2dm.permission.RECEIVE , 2978
android.permission.ACCESS_COARSE_LOCATION , 2711
android.permission.ACCESS_WIFI_STATE , 2613
android.permission.GET_ACCOUNTS , 2349
android.permission.RECEIVE_BOOT_COMPLETED , 1230
android.permission.CAMERA , 1151
com.android.vending.BILLING , 839
com.google.android.providers.gsf.permission.READ_GSERVICES , 826
android.permission.RECORD_AUDIO , 601
android.permission.CALL_PHONE , 515
android.permission.GET_TASKS , 489
com.android.vending.CHECK_LICENSE , 427
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 385
android.permission.READ_CONTACTS , 359
android.permission.WRITE_CALENDAR , 351
android.permission.USE_CREDENTIALS , 328
android.permission.SEND_SMS , 323
android.permission.READ_CALENDAR , 307
android.permission.MODIFY_AUDIO_SETTINGS , 288
android.permission.BLUETOOTH , 271
android.permission.WRITE_SETTINGS , 270
android.permission.FLASHLIGHT , 263
android.permission.BLUETOOTH_ADMIN , 239
android.permission.SET_WALLPAPER , 219
android.permission.SYSTEM_ALERT_WINDOW , 217
android.permission.READ_CALL_LOG , 214
android.permission.BROADCAST_STICKY , 190
android.permission.CHANGE_WIFI_STATE , 189
android.permission.ACCESS_MOCK_LOCATION , 166
android.permission.WRITE_CONTACTS , 154
android.permission.RECORD_VIDEO , 142
com.android.launcher.permission.INSTALL_SHORTCUT , 122
android.permission.READ_LOGS , 117
android.permission.WRITE_CALL_LOG , 112
com.amazon.device.messaging.permission.RECEIVE , 109
android.permission.AUTHENTICATE_ACCOUNTS , 100
android.permission.WRITE_SYNC_SETTINGS , 95
android.permission.MANAGE_ACCOUNTS , 94
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 92
android.permission.CHANGE_NETWORK_STATE , 89
android.permission.RECEIVE_SMS , 89
android.permission.DISABLE_KEYGUARD , 87
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 78
android.permission.CHANGE_CONFIGURATION , 71
android.permission.ACCESS_GPS , 62
android.permission.RESTART_PACKAGES , 61
android.permission.NFC , 60
android.permission.READ_SYNC_SETTINGS , 52
android.webkit.permission.PLUGIN , 52
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 51
android.permission.CHANGE_WIFI_MULTICAST_STATE , 48
android.permission.ACCESS_LOCATION , 45
android.permission.WRITE_INTERNAL_STORAGE , 42
android.permission.KILL_BACKGROUND_PROCESSES , 41
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 40
android.permission.SET_WALLPAPER_HINTS , 38
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 31
android.permission.READ_OWNER_DATA , 31
android.permission.ACCESS_ASSISTED_GPS , 28
android.permission.INTERACT_ACROSS_USERS_FULL , 28
android.permission.ACCESS_CORSE_LOCATION , 28
android.permission.DELETE_PACKAGES , 27
fr.lumiplan.app.permission.MAPS_RECEIVE , 24
android.permission.READ_SYNC_STATS , 24
android.permission.ACCESS_BACKGROUND_SERVICE , 24
fr.lumiplan.app.permission.C2D_MESSAGE , 23
com.example.prova.permission.MAPS_RECEIVE , 22
android.permission.INSTALL_PACKAGES , 22
com.android.alarm.permission.SET_ALARM , 22
android.permission.BATTERY_STATS , 21
com.android.launcher.permission.UNINSTALL_SHORTCUT , 20
com.fitivity.suspension_trainer.permission.C2D_MESSAGE , 20
android.permission.CLEAR_APP_CACHE , 20
com.example.gcm.permission.C2D_MESSAGE , 19
android.permission.DELETE_CACHE_FILES , 19
android.permission.READ_PROFILE , 18
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 18
android.permission.LOCATION , 18
android.permission.NETWORK_STATE , 18
android.permission.READ_SMS , 16
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 15
com.leaguestat.lsmobileappbase.permission.C2D_MESSAGE , 15
android.permissions.RECEIVE_BOOT_COMPLETED , 14
com.google.android.googleapps.permission.GOOGLE_AUTH , 14
com.goodbarber.v2.permission.MAPS_RECEIVE , 14
.permission.C2D_MESSAGE , 13
com.google.android.googleapps.permission.GOOGLE_AUTH.youtube , 13
com.briox.riversip.RIVERSIP_APPS_BROADCAST_PERMISSION , 12
android.permission.SYSTEM_OVERLAY_WINDOW , 12
www.conduit.app.permission.C2D_MESSAGE , 12
android.permission.WRITE_OWNER_DATA , 12
android.permission.PROCESS_OUTGOING_CALLS , 12
android.permission.WRITE_SMS , 11
android.permission.REORDER_TASKS , 11
READ_PHONE_STATE , 10
com.google.android.c2dm.permission.REGISTER , 10
android.permission.ACCOUNT_MANAGER , 10
android.permission.ACCESS_COARSE_UPDATES , 10
android.permission.CALL , 10
com.tcc.android.tmw.permission.C2D_MESSAGE , 9
com.ftbpro.app.permission.C2D_MESSAGE , 9
android.permission.SET_DEBUG_APP , 8
com.android.launcher.permission.READ_SETTINGS , 8
android.permission.READ_INTERNAL_STORAGE , 8
com.google.android.gallery3d.permission.GALLERY_PROVIDER , 8
android.permission.NETWORK , 7
com.dsi.ant.permission.ANT_ADMIN , 7
com.google.android.apps.photos.permission.GOOGLE_PHOTOS , 7
android.permission.SET_ORIENTATION , 7
com.dsi.ant.permission.ANT , 7
com.lge.launcher.permission.INSTALL_SHORTCUT , 6
com.motorola.launcher.permission.INSTALL_SHORTCUT , 6
android.permission.MANAGE_DOCUMENTS , 6
android.permission.PERSISTENT_ACTIVITY , 6
android.permission.GET_PACKAGE_SIZE , 6
android.permission.INSTALL_SHORTCUT , 6
com.google.android.apps.googlevoice.permission.RECEIVE_SMS , 6
com.motorola.dlauncher.permission.INSTALL_SHORTCUT , 6
org.onepf.openiab.permission.BILLING , 6
com.google.android.apps.googlevoice.permission.SEND_SMS , 6
android.permission.BILLING , 5
android.permission.READ_HISTORY_BOOKMARKS , 5
android.permission.UNINSTALL_SHORTCUT , 5
android.permission.ACCESS_COURSE_LOCATION , 5
android.permission.READ_ATTACHMENT , 5
android.permission.WRITE_HISTORY_BOOKMARKS , 5
com.tourtracker.mobile.permission.MAPS_RECEIVE , 5
android.permission.ACCESS_PROVIDER , 5
android.permission.GET_TOP_ACTIVITY_INFO , 5
archos.permission.FULLSCREEN , 5
com.google.android.c2dm.permission.SEND , 5
com.sec.android.iap.permission.BILLING , 5
android.permission.DEVICE_POWER , 4
com.android.email.permission.ACCESS_PROVIDER , 4
com.nokia.pushnotifications.permission.RECEIVE , 4
android.permission.RAISED_THREAD_PRIORITY , 4
android.permission.ACCES_FINE_LOCATION , 4
android.permission.BAIDU_LOCATION_SERVICE , 4
