permission , count
SUM , 5188
android.permission.INTERNET , 4871
android.permission.ACCESS_NETWORK_STATE , 4216
android.permission.ACCESS_FINE_LOCATION , 3315
android.permission.READ_EXTERNAL_STORAGE , 3179
android.permission.WRITE_EXTERNAL_STORAGE , 3163
android.permission.ACCESS_COARSE_LOCATION , 2617
android.permission.READ_PHONE_STATE , 1510
android.permission.WAKE_LOCK , 1419
android.permission.VIBRATE , 1393
com.google.android.providers.gsf.permission.READ_GSERVICES , 1294
android.permission.ACCESS_WIFI_STATE , 1200
android.permission.GET_ACCOUNTS , 832
com.google.android.c2dm.permission.RECEIVE , 793
android.permission.CALL_PHONE , 736
android.permission.RECEIVE_BOOT_COMPLETED , 570
android.permission.CAMERA , 517
com.android.vending.BILLING , 383
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 354
android.permission.READ_CONTACTS , 349
android.permission.GET_TASKS , 332
android.permission.ACCESS_MOCK_LOCATION , 294
android.permission.CHANGE_WIFI_STATE , 285
android.permission.BLUETOOTH , 281
android.permission.RECORD_AUDIO , 245
android.permission.WRITE_SETTINGS , 232
android.permission.BLUETOOTH_ADMIN , 230
android.permission.SEND_SMS , 230
com.android.vending.CHECK_LICENSE , 228
android.permission.RECEIVE_SMS , 192
com.android.launcher.permission.INSTALL_SHORTCUT , 188
android.permission.READ_CALL_LOG , 180
android.permission.SYSTEM_ALERT_WINDOW , 168
android.permission.MODIFY_AUDIO_SETTINGS , 166
android.permission.USE_CREDENTIALS , 153
android.permission.DISABLE_KEYGUARD , 140
android.permission.WRITE_CONTACTS , 111
android.permission.CHANGE_NETWORK_STATE , 107
android.permission.ACCESS_GPS , 104
android.permission.BROADCAST_STICKY , 99
android.permission.READ_LOGS , 95
android.permission.CHANGE_CONFIGURATION , 91
android.permission.READ_SMS , 84
android.permission.READ_CALENDAR , 81
android.permission.NFC , 81
android.permission.ACCESS_LOCATION , 79
android.permission.FLASHLIGHT , 78
android.permission.WRITE_CALL_LOG , 77
android.permission.WRITE_CALENDAR , 75
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 70
android.permission.RESTART_PACKAGES , 70
android.permission.MANAGE_ACCOUNTS , 63
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 58
android.permission.AUTHENTICATE_ACCOUNTS , 57
android.permission.WRITE_SMS , 55
android.permission.RECORD_VIDEO , 45
android.permission.KILL_BACKGROUND_PROCESSES , 44
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 42
android.permission.BATTERY_STATS , 36
android.permission.ACCESS_ASSISTED_GPS , 35
android.permission.WRITE_SYNC_SETTINGS , 34
android.permission.WRITE_OWNER_DATA , 32
android.permission.READ_SYNC_SETTINGS , 30
android.permission.READ_OWNER_DATA , 30
com.android.launcher.permission.UNINSTALL_SHORTCUT , 29
com.android.alarm.permission.SET_ALARM , 27
android.permission.PROCESS_OUTGOING_CALLS , 27
android.permission.CONTROL_LOCATION_UPDATES , 26
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 24
android.webkit.permission.PLUGIN , 23
android.permission.CALL_PRIVILEGED , 23
android.permission.INTERACT_ACROSS_USERS_FULL , 22
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS , 21
android.permission.WRITE_INTERNAL_STORAGE , 20
android.permission.SET_WALLPAPER , 19
android.permission.LOCATION , 19
android.permission.ACCESS_COARSE_UPDATES , 19
android.permission.WRITE_SECURE_SETTINGS , 18
com.example.mapdemo.permission.MAPS_RECEIVE , 17
android.permission.CHANGE_WIFI_MULTICAST_STATE , 17
android.permission.DEVICE_POWER , 15
android.permission.REORDER_TASKS , 15
android.permission.MODIFY_PHONE_STATE , 14
android.permission.READ_PROFILE , 14
android.permission.CLEAR_APP_CACHE , 14
android.permission.READ_SYNC_STATS , 13
com.sec.android.iap.permission.BILLING , 13
android.permission.INSTALL_LOCATION_PROVIDER , 13
android.permission.ACCESS_COURSE_LOCATION , 12
org.onepf.openiab.permission.BILLING , 11
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 11
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 10
com.nokia.payment.BILLING , 10
