permission , count
SUM , 2284
android.permission.INTERNET , 2202
android.permission.ACCESS_NETWORK_STATE , 1928
android.permission.ACCESS_FINE_LOCATION , 1362
android.permission.READ_EXTERNAL_STORAGE , 1327
android.permission.WRITE_EXTERNAL_STORAGE , 1320
android.permission.ACCESS_COARSE_LOCATION , 1237
android.permission.WAKE_LOCK , 750
android.permission.VIBRATE , 689
android.permission.READ_PHONE_STATE , 674
android.permission.ACCESS_WIFI_STATE , 652
android.permission.RECEIVE_BOOT_COMPLETED , 629
com.google.android.c2dm.permission.RECEIVE , 577
com.google.android.providers.gsf.permission.READ_GSERVICES , 573
android.permission.GET_ACCOUNTS , 448
android.permission.GET_TASKS , 323
com.android.vending.BILLING , 226
com.android.vending.CHECK_LICENSE , 174
com.wsi.android.weather.permission.C2D_MESSAGE , 150
android.permission.CAMERA , 116
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS , 57
android.permission.ACCESS_MOCK_LOCATION , 51
android.permission.READ_LOGS , 45
android.permission.CALL_PHONE , 45
android.permission.CHANGE_WIFI_STATE , 44
android.permission.DISABLE_KEYGUARD , 43
android.permission.BLUETOOTH , 43
android.permission.SYSTEM_ALERT_WINDOW , 42
android.permission.RECORD_AUDIO , 42
android.permission.READ_CONTACTS , 35
android.permission.BROADCAST_STICKY , 34
android.permission.USE_CREDENTIALS , 34
android.permission.WRITE_SETTINGS , 33
com.android.launcher.permission.INSTALL_SHORTCUT , 33
android.permission.CHANGE_NETWORK_STATE , 25
com.android.alarm.permission.SET_ALARM , 25
android.permission.BLUETOOTH_ADMIN , 22
android.permission.ACCESS_GPS , 21
android.permission.AUTHENTICATE_ACCOUNTS , 21
android.permission.MODIFY_AUDIO_SETTINGS , 19
android.permission.ACCESS_ASSISTED_GPS , 19
android.permission.ACCESS_LOCATION , 18
android.permission.WRITE_CONTACTS , 18
android.permission.READ_CALL_LOG , 17
android.permission.READ_CALENDAR , 17
android.permission.MOUNT_UNMOUNT_FILESYSTEMS , 16
android.permission.SET_WALLPAPER , 15
android.permission.FLASHLIGHT , 14
android.permission.SEND_SMS , 13
android.webkit.permission.PLUGIN , 13
android.permission.WRITE_SYNC_SETTINGS , 12
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION , 11
android.permission.READ_SYNC_SETTINGS , 11
android.permission.RECEIVE_SMS , 10
android.permission.MANAGE_ACCOUNTS , 10
com.amazon.device.messaging.permission.RECEIVE , 10
android.permission.RESTART_PACKAGES , 10
com.android.launcher.permission.UNINSTALL_SHORTCUT , 9
com.google.android.c2dm.permission.REGISTER , 9
android.permission.WRITE_INTERNAL_STORAGE , 9
android.permission.ACCESS_CORSE_LOCATION , 9
android.permission.RECORD_VIDEO , 9
android.permission.ACCESS_COURSE_LOCATION , 9
com.google.android.gms.permission.ACTIVITY_RECOGNITION , 9
android.permission.WRITE_CALL_LOG , 8
android.permission.READ_SMS , 7
com.google.android.permission.PROVIDE_BACKGROUND , 7
android.permission.READ_PROFILE , 7
com.wdtinc.android.whitelabel.permission.LOCATION_SERVICE , 6
android.permission.NFC , 6
android.permission.KILL_BACKGROUND_PROCESSES , 6
android.permission.EXPAND_STATUS_BAR , 6
ru.gelin.android.weather.notification.START_UPDATE_SERVICE , 6
android.permission.ACCESS_COARSE_UPDATES , 5
com.wdtinc.android.whitelabel.permission.C2D_MESSAGE , 5
android.permission.CHANGE_CONFIGURATION , 5
com.android.launcher.permission.READ_SETTINGS , 5
android.permission.READ_SYNC_STATS , 4
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY , 4
com.android.browser.permission.READ_HISTORY_BOOKMARKS , 4
android.permission.PROCESS_OUTGOING_CALLS , 4
android.permission.WRITE_CALENDAR , 4
android.permission.SET_WALLPAPER_HINTS , 3
android.permission.LOCATION , 3
android.permission.SET_TIME_ZONE , 3
android.permission.CHANGE_WIFI_MULTICAST_STATE , 3
android.permission.RECEIVE_USER_PRESENT , 3
android.permission.ACCESS_DOWNLOAD_MANAGER , 3
android.permission.SET_DEBUG_APP , 3
android.permission.STATUS_BAR , 2
android.permission.CONTROL_LOCATION_UPDATES , 2
android.permission.BAIDU_LOCATION_SERVICE , 2
com.google.android.apps.photos.permission.GOOGLE_PHOTOS , 2
android.permission.INTERACT_ACROSS_USERS_FULL , 2
com.conduit.app.permission.MAPS_RECEIVE , 2
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION , 2
androidPermission.INTERNET , 2
