	workerid	packageName	permission	comfortScore
0	A042274229VCDRN12COMF	com.HBO	READ_PHONE_STATE	2.0
1	A042274229VCDRN12COMF	com.com2us.imo.normal.freefull.google.global.android.common	READ_PHONE_STATE	-2.0
2	A042274229VCDRN12COMF	com.directv.dvrscheduler	READ_PHONE_STATE	2.0
3	A042274229VCDRN12COMF	com.dooub.shake.sjshake	READ_PHONE_STATE	-2.0
4	A042274229VCDRN12COMF	com.feelingtouch.bugswar	READ_PHONE_STATE	1.0
5	A042274229VCDRN12COMF	com.myxer.android	ACCESS_FINE_LOCATION	2.0
6	A042274229VCDRN12COMF	com.rixment.game.rocketcraze	READ_PHONE_STATE	-1.0
7	A042274229VCDRN12COMF	com.rocketmind.fishing	ACCESS_FINE_LOCATION	2.0
8	A042274229VCDRN12COMF	com.westriversw.MushroomWar	READ_PHONE_STATE	-2.0
9	A042274229VCDRN12COMF	nl.ejsoft.mortalskies2Free	READ_PHONE_STATE	-1.0
10	A042274229VCDRN12COMF	sts.dl	READ_PHONE_STATE	-1.0
11	A112T91FTSCI48	com.swagbuckstvmobile.views	ACCESS_FINE_LOCATION	-2.0
12	A1159C6RKPZURE	com.HBO	READ_PHONE_STATE	2.0
13	A1159C6RKPZURE	com.insasofttech.GhostCam	READ_PHONE_STATE	1.0
14	A1159C6RKPZURE	com.robotwheelie.android.facegoo	ACCESS_FINE_LOCATION	2.0
15	A1159C6RKPZURE	com.stream.phd	READ_PHONE_STATE	1.0
16	A119DDDRWS9UI6	com.asobimo.celes_gp_en	GET_ACCOUNTS	1.0
17	A119DDDRWS9UI6	com.bodyfitness.health.bnht	READ_PHONE_STATE	-1.0
18	A119DDDRWS9UI6	com.com2us.imo.normal.freefull.google.global.android.common	READ_PHONE_STATE	-1.0
19	A119DDDRWS9UI6	com.er.scary	READ_PHONE_STATE	-1.0
20	A119DDDRWS9UI6	com.feelingtouch.FlyMan	READ_PHONE_STATE	-1.0
21	A119DDDRWS9UI6	com.gameforge.xmobile.war	READ_PHONE_STATE	-1.0
22	A119DDDRWS9UI6	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	-1.0
23	A119DDDRWS9UI6	com.gotow.hexdefensefree	GET_ACCOUNTS	1.0
24	A119DDDRWS9UI6	com.menueph.entertainment.russianroulette	READ_PHONE_STATE	-1.0
25	A119DDDRWS9UI6	com.mobage.ww.a448.TouchHockey_android	GET_ACCOUNTS	-1.0
26	A119DDDRWS9UI6	com.mobage.ww.a692.Bahamut_Android	READ_PHONE_STATE	-1.0
27	A119DDDRWS9UI6	com.morisoft.AndroidFreeGamENG.AOD	READ_PHONE_STATE	2.0
28	A119DDDRWS9UI6	com.nvidia.tegrazone	GET_ACCOUNTS	1.0
29	A119DDDRWS9UI6	com.outfit7.tomlovesangelafree	CAMERA	-2.0
30	A119DDDRWS9UI6	com.outfit7.tomlovesangelafree	READ_PHONE_STATE	0.0
31	A119DDDRWS9UI6	com.rocketmind.fishing	GET_ACCOUNTS	1.0
32	A119DDDRWS9UI6	com.tapjoy.tapdefense	READ_PHONE_STATE	-1.0
33	A119DDDRWS9UI6	com.uken.android.ageoflegends	READ_PHONE_STATE	1.0
34	A119DDDRWS9UI6	com.uken.android.forcesofwar	READ_PHONE_STATE	-1.0
35	A119DDDRWS9UI6	com.westriversw.CatWar	READ_PHONE_STATE	-1.0
36	A119DDDRWS9UI6	com.westriversw.MushroomWar	READ_PHONE_STATE	1.0
37	A119DDDRWS9UI6	itesta.shipcombat	READ_PHONE_STATE	1.0
38	A119DDDRWS9UI6	smartteam.fishingmaster.lite.en	READ_PHONE_STATE	-1.0
39	A119DDDRWS9UI6	vdm.activities	READ_PHONE_STATE	2.0
40	A11G4DVYTN8H14	com.teamandroid.game	READ_PHONE_STATE	-1.0
41	A11N2H7QSSS8VU	au.com.nab.mobile	ACCESS_FINE_LOCATION	1.0
42	A11N2H7QSSS8VU	com.folkalley.android	READ_PHONE_STATE	-2.0
43	A11N2H7QSSS8VU	com.triposo.droidguide.amsterdam	ACCESS_FINE_LOCATION	2.0
44	A11W0929K3TOW3	au.com.nab.mobile	READ_PHONE_STATE	-2.0
45	A11W0929K3TOW3	com.burrotech.scan2pdf	CAMERA	2.0
46	A11W0929K3TOW3	com.fontaines	ACCESS_FINE_LOCATION	2.0
47	A11W0929K3TOW3	com.novalibra.cashierlive.inventory	CAMERA	2.0
48	A11W0929K3TOW3	com.teamandroid.game	READ_PHONE_STATE	-1.0
49	A11W0929K3TOW3	jp.kmkz.android.wifimap	ACCESS_FINE_LOCATION	2.0
50	A11W0929K3TOW3	net.maicas.android.idiotizer	RECORD_AUDIO	2.0
51	A11ZTQS8VDEJK0	ar.com.ps3argentina.trophies	GET_ACCOUNTS	2.0
52	A11ZTQS8VDEJK0	com.breakapps.breakdotcom	ACCESS_FINE_LOCATION	1.0
53	A11ZTQS8VDEJK0	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	1.0
54	A11ZTQS8VDEJK0	com.favoritemedium	GET_ACCOUNTS	2.0
55	A11ZTQS8VDEJK0	com.forrestheller.trippingfest.free	ACCESS_FINE_LOCATION	-2.0
56	A11ZTQS8VDEJK0	eu.inmite.android.vodafone.vanoce	READ_PHONE_STATE	1.0
57	A11ZTQS8VDEJK0	jiangyou4.wallpaper.japan4	ACCESS_FINE_LOCATION	-2.0
58	A12928IRL5PXSB	com.gameforge.xmobile.war	READ_PHONE_STATE	-1.0
59	A12928IRL5PXSB	com.stuckpixelinc.epicfail	READ_PHONE_STATE	-2.0
60	A12928IRL5PXSB	com.uken.android.thestreetz	READ_PHONE_STATE	-2.0
61	A12H2RTXSAQPRH	ch.xot.droid_catcher	ACCESS_FINE_LOCATION	-2.0
62	A12H2RTXSAQPRH	com.clinkybot.geodroid0	ACCESS_FINE_LOCATION	2.0
63	A12H2RTXSAQPRH	com.eliteextra.driver	ACCESS_FINE_LOCATION	2.0
64	A12H2RTXSAQPRH	com.geogame.event	ACCESS_FINE_LOCATION	-1.0
65	A12H2RTXSAQPRH	com.geogame.event	READ_PHONE_STATE	1.0
66	A12H2RTXSAQPRH	com.jointhearmy	ACCESS_FINE_LOCATION	-1.0
67	A12H2RTXSAQPRH	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	-2.0
68	A12H2RTXSAQPRH	de.eos.uptrade.android.fahrinfo.salzburg	ACCESS_FINE_LOCATION	1.0
69	A12H2RTXSAQPRH	meansoft.colorbook.musical.view	ACCESS_COARSE_LOCATION	-2.0
70	A12SMSQ6D5227J	bubbleshooter.android	ACCESS_FINE_LOCATION	-2.0
71	A12SMSQ6D5227J	cn.otlive.games.android.CashOut	SEND_SMS	-1.0
72	A12SMSQ6D5227J	com.GnarlyGames.GnarBikeTrials	ACCESS_COARSE_LOCATION	-1.0
73	A12SMSQ6D5227J	com.SnowfallLiveWallpapers	ACCESS_FINE_LOCATION	-1.0
74	A12SMSQ6D5227J	com.animocacollective.google.superstarFashionGirl	CAMERA	1.0
75	A12SMSQ6D5227J	com.clinkybot.geodroid0	ACCESS_FINE_LOCATION	2.0
