workerid	score
A32CMQGGTSUK6Z	6322
AST33WVZ5QC05	6231
AZYL4DXPS3AK4	6331
A4SKTCPDTV550	222
AVAQ4AJU45K1U	6221
AAXYYH9MI3PJM	6322
A3FSI6EIB1M6YR	6322
A20WD8YXVUQCQX	6322
A3JJXEVEPU8V9J	6322
A3GM27YVNOYZIW	6312
AL49DDQNUF01M	5322
A1CO67KW9NQ5NV	5322
A3UWM3KJYEL5XU	6222
AZF0WGPL5SL76	5221
A3AJR1PM02424Y	5321
A6IVYRP8FAIS	6322
A2IYAOQ0BY5EYD	5212
AIUKV0KVALMY6	6221
A12TIM3OYMOVWT	6221
AP1C3ZE41AMH1	6322
A1JRV4XD6CG12W	5322
A2OW2CIT4H7364	6221
A3C7SA7ADVLG3W	6222
A1U43ACI9M84MZ	6331
A1K3C8R6GW43CW	6322
A2YTOX7SEDJ1TC	6221
A1VS2PFZRWWPO3	6322
A3HFWLGG0K527B	6322
A3LXRZZ3GV0LRD	5322
APROFW08F7Z34	6332
A2DWQF4ZHHBLOW	6432
A771BLWJLMWYY	6221
A3I5PTITGTFEBW	6421
A1KF05U5IO9AFG	5211
A2LJAWY0LUIMN1	5311
A5IG6AWG6W638	6321
A1MO07YOP3THQ2	6322
A3FM158JCS0W7K	6222
A18TXM6GMU1411	5312
A295RZ1WX44RBH	6322
A2OCP3UDPBH0ME	6322
A1JT53BJT9J5HU	5232
A2I2YRPU8ZFDFK	5231
A2S96ZZ70YFPSK	5331
A1PVTLZ5V590EP	6331
AN1H7SQKQSWS3	5322
AKXNUZGMYOW6Q	5422
AVII5WIKWUWTK	6422
A9QYAH5BONH1W	6332
A1CGUFW3R6M234	6221
A1U3KTAUMV7QKT	6332
A1MLC8HETIE13W	6321
A3AXXVQ7GY5JO3	5322
A29JDEHW192FQY	5321
A1RUUT6L07VW6P	5322
A1XP77IRAJCX5B	5322
A2VJZZPAHHKAOW	6322
A2PGZ0W1LUKB0J	6221
A1DDQ8U2YRB25X	6322
APWXTMJO1I1ST	5321
A1F4D2PZ7NNWTL	6331
A3JGIPEXOZ0ZY6	5321
A119DDDRWS9UI6	5322
A20NZW7XGZNOCC	6212
A359L0HU2ATH6I	6311
A63759KWVJ94F	6321
A14IF6TCJEUQCS	6321
A2VSG0OWY55DGW	5312
AAOTQL1SCAC03	5331
A3Q9PT0RP133GV	5321
A13E3C65NKK51I	6322
AN7F24ZJB2C37	6322
A335YICZ3FDA9J	6321
A2HWEJ5KJE5ZO6	6212
A37LY5UTJV2KYZ	6222
A2X8A8XLAEYSK4	5212
A15A09BRS1Q8W0	6322
A2U5UM9LTB91R6	6421
AIQU5HARE60W1	6322
A34JG5YYW98V22	5222
A3TN3GQAO61BVB	5332
AD1DGG7ZDRAIT	6232
AK46ZNEC6R89C	5322
A2ZU1P6UYE1UBU	6022
AALHA10KJZX0O	5322
A34DWBBWZRLO1X	5341
A1V9Y58SJKUJWS	5332
A3S8UNGS9Z0P0X	5422
A2S26VBZW2LB5B	6212
A1KX496A3GINRN	6322
A36F8IGSCR2N5N	6421
A1LZWU72K42V92	5232
A3RYH6OUH7BJ4Z	6322
AZLBLEDRP6UYM	6322
A1BI7SPDU7FS1X	5222
ALGL826MO4BKZ	5321
A7TP8TTJ88Y0R	6231
A37TAB2GX3SFFO	5322
AMJAP6BGF5LVM	6322
A3FKV60NWC2EQ0	5212
A2W8PRUWAN6KVP	6311
A2TF8IP4PM7KAO	6341
AO4ZHD0B9KUNE	5321
A2D2QC99X4UZSK	5322
A29VL3MZE7YPBZ	6221
A2EKR8RZJ75SR9	5322
A2NUKIGRRJ89CK	5312
A2PF17SV72U84G	5341
A25ZADCJI3D5AF	6422
A2F738CHD66KOW	5321
A17DZP7SI14EA2	5221
A1JYGNIFHS9TEA	6221
A7GC7HT9VLRZE	5432
ASXIEBMMWW1NE	5341
A1SGAJ57ZPB1QH	6232
A3GWV2AEZ1Y6DF	6221
A3SEUVWC42BVF6	6322
A1V4H8TUGZLWRD	5322
A3SKQVTDNNK58B	6322
A1TS2SKXPX7ZED	6332
A2E72ZI1VESTMR	5332
AHXWX666GANH1	6321
A1POAEM6VP9C7S	5322
A3JMW8FYE9LJIV	6312
A3DYARPST6A0VK	6222
AMUTMRVKAYWUL	5212
AAQ4Q3ULMAF5H	6321
A2Y8UVZ5AGXE6C	5321
AJFM54LLRKT47	5321
A186CM5SYWP10Y	6212
A3SWVCOJPJM7KQ	5322
A3UMKT8RU5J7DJ	6322
A3GXBXAFN2VV35	6322
A1EWHEV37216YU	5321
A14SXXOGFMEFM6	5431
A3F6SDO4GYBE4Y	6221
A27X6AYXR32U96	6212
A1BQEQF6HBD4OZ	6222
A17BQ2QRW1V9AO	5232
AZJEGHE4605S5	6322
AC25X12LNYY6Y	5321
A2F79GFUWU5O96	6321
A3GM65DMOMZ0WY	6221
A1OY40VC86UZZ5	6321
A1YRVRV46ZOVMP	5321
A3AROFXSS8WLSY	6321
A3PN5FA5Z10N83	6212
A1DY4DM16TBFPL	6322
A24WQPX0B1A05J	6222
A042274229VCDRN12COMF	6212
A2X19WQ6ZDDVY4	6322
ARQ9DY4UL4WJ4	6221
A3NSX46VYD9J49	6331
AQL98174U37EF	6322
A1ANSYNB40OKHX	6322
A175ZTL2OZO9YU	6331
A1IAK1JCYVR3R5	5222
A25ZDX7L2NZ4X8	5331
A1845VY68OGOOM	6322
A2AO7QP5THYKQF	6222
A5YWWF994EH1R	5331
A56E6Z0KH4WGZ	6321
A3193MI1J3OGLA	6312
A2I64UK6DJ8ZLO	5322
A1C4H7A7447AEI	5212
A1MHGD46DB5Z7H	6221
A65NLFVBHAXJ0	5222
A2Y0SIZH81B265	6322
A294UCHXS5Z86L	6232
A1TM1ZFU4OIPTD	6221
A39R17C5NG9TOG	5322
A1FKCYWMD3HCXU	5322
A2QQKVIN9R45N6	6221
A3VIRYIGUMADFS	6322
A98IRKK6GKERP	5342
AP6FR5CEIV606	6332
A3O81LHBBI8NPK	6321
A21S5KBNLY5YZB	5222
A38JGCZ8N68TGD	5221
A3LNKXG5P4C83A	6222
A16CKTIFQYNGP6	6221
AK30IDAH8Z6Q5	6312
A1421I54656YSD	6232
A7NZ814Q5MX2R	5431
A31FLXZMDXZTB2	5322
AOEGNU6G10Y6W	6331
A194E79BDFEZIU	6242
AVZ76FUE8VET9	6322
A1LX3YP9PCKI72	6222
A19XMRUYE6ILIR	5231
AL2WKE1L2IZY6	6322
A22OZI9XS3B2FZ	6322
A18TCR555RWUZV	5322
AIQB7XXL5K2FR	6321
A13JINJ9A5MIKR	6322
A6VQAFNKCFVS7	5322
A1HJLW84GIDPKD	5322
A1DWLAKLCTCU71	6222
A12928IRL5PXSB	6322
A1434R69YV3Y3I	5322
A2QJGPYZZ1DTIP	6322
A1G3GN1MWUT25I	6041
AK7LGB1QOGA1P	5331
A2D8ZM1E0USP73	6222
A3VBS09FLWEOAD	6211
A3AFXPGOHL9D23	6321
A2SWJ2C2YOUGRF	5222
A2TMSM19YCEXLE	6431
A21067N8V2SXXU	6221
A2T5TKB5P9UQSF	5322
A37QW51L039KKQ	5322
A16G716K9428HM	5432
A35Z1QH3JQEZG6	6322
A19887HPPXDM09	6211
A3TGXARHDRR7JQ	6321
AE837QZ9XU1UQ	5221
ADDZC3QY00IEK	6321
AJ5BWL80V0HW3	5321
A1159C6RKPZURE	5322
A1RL8TKX352T7I	5322
A2SMPFCZDRQG0R	5222
AP0A2XBW34SZJ	5332
A3FP4YWBOZKPKZ	6322
A3G2NBQKB9DX7E	5211
A2VZHXY8UNLI8B	6322
A20VG7NZ13S29U	5221
A25FURVQSRD3BH	6332
AOU08YOV10IRX	6311
A1T8EFHGSEE3RD	6321
A3C3LEJ7FJRTV9	5222
A1UDTHEPV5TL92	6321
A1CD4W0F9NGGLK	6322
AJZ9HV5VBD7CA	6222
A1CTJ8UT7SF317	6422
A2AT0G92TP7HCG	6222
A3JX5WINGY8PEM	5322
A11ZTQS8VDEJK0	6322
ABXFTRP10MC0S	5212
A3BMEVFSETVOUR	5212
AA8NS0HGQX7K7	5322
A2QLVGIAKUQOUN	5221
A22SZHZTF72TRM	6321
AOPZSU77ONJXS	6322
AS9E0S6DBSWH7	5322
AD0F6ADE4GL00	6322
A3IPMQ11MHNRUU	6422
A367LM2QEQRPPB	6322
A359HMOD4EINQ2	6321
A2XXU0C8CY5N7M	5431
A2JZQHB8N6LS7T	6321
A391YPR0NFTCLK	5342
A2WGW5Y3ZFBDEC	6332
A2H5FQFR4C014A	6322
A1815O0GXEZUC	6221
A2O4Q2BDGWN73Q	1321
A1DSL2NUBKWU7B	5422
A3VPLI0RYL3Y3O	6322
A68PQP2VAVN8D	6322
A2HM35CWB7IIFM	5341
A3JZS32RQUWGJM	6322
A2WPDVXKLZRD78	6331
A19R3D03IAUCLU	6241
A12SMSQ6D5227J	5321
A3QS0S6B9P169W	6342
A1YG4ZN78HHICE	5331
