,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.3292180995305011,-0.05263157894736838,-0.33292849187764795,0.0,-0.33292849187764795
1,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.31974762880680935,-0.21052631578947353,-0.17492920507882612,0.0,-0.17492920507882612
2,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.3254970091909887,-0.25,-0.23354210020026744,0.0,-0.23354210020026744
3,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.3263659078312856,-0.3,-0.32414077419858794,0.0,-0.32414077419858794
4,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.32518868031673054,0.0,-0.1717708319552997,0.0,-0.1717708319552997
5,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.44560544464384805,-0.6896551724137935,-0.7837400967389127,0.0,-0.7837400967389127
6,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.32613832119939434,0.23529411764705885,-0.17735649037582193,0.0,-0.17735649037582193
7,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.32135484735467673,-0.4000000000000002,-0.1732855309665453,0.0,-0.1732855309665453
8,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.3210516597083908,-0.7647058823529417,-0.32648390088074536,0.0,-0.32648390088074536
9,com.alpha_aps.naked_scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4389770082676954,-0.8999999999999996,-0.43859471126768773,0.0,-0.43859471126768773
10,com.alpha_aps.naked_scanner,READ_PHONE_STATE,TARGETED_ADS,-0.32258905034965496,-0.3499999999999998,-0.38092150556414517,0.0,-0.38092150556414517
11,com.androp.cube.dolphin,READ_PHONE_STATE,TARGETED_ADS,-0.32376238898798626,0.0,-0.5039898584902875,0.0,-0.5039898584902875
12,com.animoca.prettyPetSalonSeasons,READ_PHONE_STATE,TARGETED_ADS,-0.32181194608501257,-0.31578947368421056,-0.1501622053020976,0.0,-0.1501622053020976
13,com.appmania.ironwars.hd,READ_PHONE_STATE,TARGETED_ADS,-0.3258911578901438,-0.10000000000000005,-0.3412537901059356,0.0,-0.3412537901059356
