,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.3212804231189294,-0.05263157894736838,-0.30983539272882205,0.0,-0.30983539272882205
1,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.3235190975392891,-0.21052631578947353,-0.22338345149703506,0.0,-0.22338345149703506
2,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.32476698773127344,-0.25,-0.3034960331174212,0.0,-0.3034960331174212
3,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.32467989473208886,-0.3,-0.40328948505395024,0.0,-0.40328948505395024
4,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.3227909646759273,0.0,-0.13477543911298664,0.0,-0.13477543911298664
5,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.44344733551664434,-0.6896551724137935,-0.6775523926846706,0.0,-0.6775523926846706
6,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.3292522885200804,0.23529411764705885,-0.2336034311611643,0.0,-0.2336034311611643
7,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.32498241075293766,-0.4000000000000002,-0.162378072835708,0.0,-0.162378072835708
8,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.31706677479719053,-0.7647058823529417,-0.3684725236182915,0.0,-0.3684725236182915
9,com.alpha_aps.naked_scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4439584348171673,-0.8999999999999996,-0.46523879016383807,0.0,-0.46523879016383807
10,com.alpha_aps.naked_scanner,READ_PHONE_STATE,TARGETED_ADS,-0.32153499526563495,-0.3499999999999998,-0.37400711524609337,0.0,-0.37400711524609337
11,com.androp.cube.dolphin,READ_PHONE_STATE,TARGETED_ADS,-0.32421110826443145,0.0,-0.5044698294402943,0.0,-0.5044698294402943
12,com.animoca.prettyPetSalonSeasons,READ_PHONE_STATE,TARGETED_ADS,-0.3273480926307445,-0.31578947368421056,-0.1707002480214888,0.0,-0.1707002480214888
13,com.appmania.ironwars.hd,READ_PHONE_STATE,TARGETED_ADS,-0.32934790725069846,-0.10000000000000005,-0.3710327699393815,0.0,-0.3710327699393815
