,packageName,permission,purpose,avgScore,comfortScore,hybridScore,isHybridAvg,regScore
0,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-0.32335358775096246,-0.05263157894736838,-0.33588929813904034,0.0,-0.33588929813904034
1,amep.games.af_final,READ_PHONE_STATE,TARGETED_ADS,-0.3208900307819946,-0.21052631578947353,-0.22963976059598779,0.0,-0.22963976059598779
2,atticlab.ScaryMazedGame,READ_PHONE_STATE,TARGETED_ADS,-0.3223451754120835,-0.25,-0.27440348786283497,0.0,-0.27440348786283497
3,atticlab.whip,READ_PHONE_STATE,TARGETED_ADS,-0.31822992272273143,-0.3,-0.35828110991611933,0.0,-0.35828110991611933
4,br.com.jera.vikings,READ_PHONE_STATE,TARGETED_ADS,-0.32494046085332495,0.0,-0.21622363871382017,0.0,-0.21622363871382017
5,ch.xot.droid_catcher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.44548533088837,-0.6896551724137935,-0.6447226744878946,0.0,-0.6447226744878946
6,com.Ama.PanicFlightFree,READ_PHONE_STATE,TARGETED_ADS,-0.32518961144504865,0.23529411764705885,-0.2083755502870694,0.0,-0.2083755502870694
7,com.Conquer3.Kingdoms.game.good.haha,READ_PHONE_STATE,TARGETED_ADS,-0.3210329160104833,-0.4000000000000002,-0.21827116345603093,0.0,-0.21827116345603093
8,com.alaskajim.whosingsit1990s,READ_PHONE_STATE,TARGETED_ADS,-0.3181410603529198,-0.7647058823529417,-0.36972972910347524,0.0,-0.36972972910347524
9,com.alpha_aps.naked_scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4428304400566117,-0.8999999999999996,-0.41574768412479024,0.0,-0.41574768412479024
10,com.alpha_aps.naked_scanner,READ_PHONE_STATE,TARGETED_ADS,-0.32599729733106003,-0.3499999999999998,-0.3352657538825014,0.0,-0.3352657538825014
11,com.androp.cube.dolphin,READ_PHONE_STATE,TARGETED_ADS,-0.32615067775667345,0.0,-0.4563374247130181,0.0,-0.4563374247130181
12,com.animoca.prettyPetSalonSeasons,READ_PHONE_STATE,TARGETED_ADS,-0.3197913552886415,-0.31578947368421056,-0.209560960950343,0.0,-0.209560960950343
13,com.appmania.ironwars.hd,READ_PHONE_STATE,TARGETED_ADS,-0.32493996270030273,-0.10000000000000005,-0.3064521850307554,0.0,-0.3064521850307554
14,com.appmox.jgirl,READ_PHONE_STATE,TARGETED_ADS,-0.31906605032955343,-1.2999999999999998,-0.36370741061077744,0.0,-0.36370741061077744
15,com.artofbytes.gravedefence.hd.free,READ_PHONE_STATE,TARGETED_ADS,-0.32496274130878205,-0.5,-0.22868411656366552,0.0,-0.22868411656366552
16,com.berobo.android.scanner,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.46327320887612466,-0.26315789473684226,-0.587576984455922,0.0,-0.587576984455922
17,com.berobo.android.scanner,READ_PHONE_STATE,TARGETED_ADS,-0.323680692516999,-0.4499999999999998,-0.35009674742967273,0.0,-0.35009674742967273
18,com.bestcoolfungames.antsmasher,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4427911519507369,-0.8000000000000004,-0.5900787781410928,0.0,-0.5900787781410928
19,com.bestcoolfungames.antsmasher,RECORD_AUDIO,TARGETED_ADS,-0.7897159633784253,-1.3500000000000008,-0.7897159633784253,1.0,-0.6360698480043822
20,com.bigbluebubble.fatfree,READ_PHONE_STATE,TARGETED_ADS,-0.3285345749803257,-0.1875,-0.2739405259650927,0.0,-0.2739405259650927
21,com.bodyfitness.health.bnht,READ_PHONE_STATE,TARGETED_ADS,-0.32003333736680223,-0.15,-0.28019128444060315,0.0,-0.28019128444060315
22,com.breakapps.breakdotcom,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4570496300137669,-0.31578947368421056,-0.3639354905928824,0.0,-0.3639354905928824
23,com.codemonkey.titanturret,READ_PHONE_STATE,TARGETED_ADS,-0.3261838726543912,-0.10000000000000005,-0.1922529509292503,0.0,-0.1922529509292503
24,com.codingcaveman.SoloTrial,READ_PHONE_STATE,TARGETED_ADS,-0.32553091119988287,-0.11764705882352942,-0.3010234481180301,0.0,-0.3010234481180301
25,com.com2us.imo.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32572923015077376,-0.1875,-0.21244330443191697,0.0,-0.21244330443191697
26,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32176263819149914,-0.05263157894736838,-0.3189926972166846,0.0,-0.3189926972166846
27,com.com2us.minigameparadise.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32763782540233904,-0.16666666666666666,-0.18517068970620004,0.0,-0.18517068970620004
28,com.com2us.ovenbreak.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-0.32380647514500793,-0.26315789473684226,-0.22137990024522716,0.0,-0.22137990024522716
29,com.cracked.android.lite,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45683946688005933,-0.23529411764705885,-0.35458683737530805,0.0,-0.35458683737530805
30,com.creativemobile.DragRacing,READ_PHONE_STATE,TARGETED_ADS,-0.31949266966288187,-0.8500000000000003,-0.6172953158797337,0.0,-0.6172953158797337
31,com.darksummoner,READ_PHONE_STATE,TARGETED_ADS,-0.32116347656084143,-0.47368421052631554,-0.2039427004996381,0.0,-0.2039427004996381
32,com.dedalord.runningfred,READ_PHONE_STATE,TARGETED_ADS,-0.32042740126735875,-0.31578947368421056,-0.23189140081448975,0.0,-0.23189140081448975
33,com.dogsbestlivewallpaper.dogs,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.45735106406466497,-0.5500000000000003,-0.5153197883298986,0.0,-0.5153197883298986
34,com.dogsbestlivewallpaper.dogs,READ_PHONE_STATE,TARGETED_ADS,-0.3190470216283073,-0.4000000000000002,-0.36456387072923924,0.0,-0.36456387072923924
35,com.dragonplay.liveholdempro,READ_PHONE_STATE,TARGETED_ADS,-0.31864327173900364,-0.6,-0.5961902318859854,0.0,-0.5961902318859854
36,com.dreamcortex.talkingPet_android,READ_PHONE_STATE,TARGETED_ADS,-0.31954602304195606,-0.5500000000000003,-0.30650162617393834,0.0,-0.30650162617393834
37,com.dreamfabpapaya.savingyello,READ_PHONE_STATE,TARGETED_ADS,-0.3269899986333929,-0.050000000000000024,-0.24355708762847905,0.0,-0.24355708762847905
38,com.droidhen.game.speedhiker,READ_PHONE_STATE,TARGETED_ADS,-0.32350598643359246,-0.5789473684210529,-0.15503990846090188,0.0,-0.15503990846090188
39,com.duckygo.shoottheducks,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4416723926327723,-0.5789473684210529,-0.46069291566131265,0.0,-0.46069291566131265
40,com.emrosswar,READ_PHONE_STATE,TARGETED_ADS,-0.32774238752160917,0.050000000000000024,-0.2431860857317302,0.0,-0.2431860857317302
41,com.er.popularfunny,READ_PHONE_STATE,TARGETED_ADS,-0.32560579205642937,-0.15,-0.3008392627143746,0.0,-0.3008392627143746
42,com.er.scary,READ_PHONE_STATE,TARGETED_ADS,-0.3235612298920299,-0.26315789473684226,-0.31872803622965223,0.0,-0.31872803622965223
43,com.expedition107.bells.light,READ_PHONE_STATE,TARGETED_ADS,-0.3186035615673347,-0.5,-0.41106885700445567,0.0,-0.41106885700445567
44,com.favoritemedium,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4605740077524268,-0.10000000000000005,-0.37509609367296676,0.0,-0.37509609367296676
45,com.favoritemedium,READ_PHONE_STATE,TARGETED_ADS,-0.3264838824219742,0.10000000000000005,-0.25905994156729534,0.0,-0.25905994156729534
46,com.feelingtouch.FlyMan,READ_PHONE_STATE,TARGETED_ADS,-0.32593620310311805,-0.050000000000000024,-0.15950468625522704,0.0,-0.15950468625522704
47,com.feelingtouch.bugswar,READ_PHONE_STATE,TARGETED_ADS,-0.331034328567033,0.6999999999999996,-0.22259220620419418,0.0,-0.22259220620419418
48,com.feelingtouch.dragon.ice,READ_PHONE_STATE,TARGETED_ADS,-0.324740268345994,-0.050000000000000024,-0.17949858735363586,0.0,-0.17949858735363586
49,com.fingersoft.nightvisioncamera,READ_PHONE_STATE,TARGETED_ADS,-0.3221941639301908,-0.5263157894736845,-0.33322791326801793,0.0,-0.33322791326801793
50,com.fivemobile.cineplex,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.47145972164899724,0.3,-0.37315374187950356,0.0,-0.37315374187950356
51,com.forrestheller.trippingfest.free,ACCESS_FINE_LOCATION,TARGETED_ADS,-0.4360418638925336,-0.9444444444444439,-0.5165608245890565,0.0,-0.5165608245890565
